trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"C.O.N.F.O.R.M. (feat. Gift of Gab, Lateef the Truth Speaker, Infamous Taz)",DJ Shadow,64744,downtempo,0.684,0.978,6.0,-5.446,0.0,0.136,0.181,0.000151,0.135,0.224,95.977,audio_features,5LALGxzq4bUqFb5PXKuSOr,spotify:track:5LALGxzq4bUqFb5PXKuSOr,https://api.spotify.com/v1/tracks/5LALGxzq4bUqFb5PXKuSOr,https://api.spotify.com/v1/audio-analysis/5LALGxzq4bUqFb5PXKuSOr,171533.0,4.0
Flite,The Cinematic Orchestra,5240,downtempo,0.541,0.779,11.0,-11.082,0.0,0.0363,0.165,0.921,0.108,0.321,137.033,audio_features,1g7bl2LDCom7jtX2EmHRSF,spotify:track:1g7bl2LDCom7jtX2EmHRSF,https://api.spotify.com/v1/tracks/1g7bl2LDCom7jtX2EmHRSF,https://api.spotify.com/v1/audio-analysis/1g7bl2LDCom7jtX2EmHRSF,395707.0,1.0
Impossible,Röyksopp,387760,downtempo,0.729,0.844,1.0,-9.153,1.0,0.043,0.115,0.936,0.0914,0.0688,121.023,audio_features,0TVcPTk3MMkT6WqkuatPSr,spotify:track:0TVcPTk3MMkT6WqkuatPSr,https://api.spotify.com/v1/tracks/0TVcPTk3MMkT6WqkuatPSr,https://api.spotify.com/v1/audio-analysis/0TVcPTk3MMkT6WqkuatPSr,555573.0,4.0
Kiara,Bonobo,2040,downtempo,0.595,0.788,3.0,-10.128,0.0,0.363,0.195,0.202,0.153,0.414,97.012,audio_features,7sqii6BhIDpJChYpU3WjwS,spotify:track:7sqii6BhIDpJChYpU3WjwS,https://api.spotify.com/v1/tracks/7sqii6BhIDpJChYpU3WjwS,https://api.spotify.com/v1/audio-analysis/7sqii6BhIDpJChYpU3WjwS,230307.0,4.0
Midnight In A Perfect World,DJ Shadow,23215,downtempo,0.664,0.645,7.0,-9.334,0.0,0.0353,0.532,0.652,0.251,0.643,79.526,audio_features,1a9maLxqpx3cxjY1lTj62B,spotify:track:1a9maLxqpx3cxjY1lTj62B,https://api.spotify.com/v1/tracks/1a9maLxqpx3cxjY1lTj62B,https://api.spotify.com/v1/audio-analysis/1a9maLxqpx3cxjY1lTj62B,298373.0,4.0
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,931899,downtempo,0.747,0.641,1.0,-4.502,1.0,0.0925,0.25,0.00107,0.106,0.453,100.028,audio_features,7HdZY9UJTylIiNcSDFyUDc,spotify:track:7HdZY9UJTylIiNcSDFyUDc,https://api.spotify.com/v1/tracks/7HdZY9UJTylIiNcSDFyUDc,https://api.spotify.com/v1/audio-analysis/7HdZY9UJTylIiNcSDFyUDc,186231.0,4.0
Nobody Speak,DJ Shadow,9822125,downtempo,0.618,0.814,2.0,-5.937,1.0,0.157,0.0403,0.00236,0.263,0.301,160.078,audio_features,7Gc9OoiYsUrByC8tzD7kYY,spotify:track:7Gc9OoiYsUrByC8tzD7kYY,https://api.spotify.com/v1/tracks/7Gc9OoiYsUrByC8tzD7kYY,https://api.spotify.com/v1/audio-analysis/7Gc9OoiYsUrByC8tzD7kYY,195966.0,4.0
Pitter Patter,DJ Shadow,43230,downtempo,0.412,0.667,5.0,-9.185,0.0,0.147,0.12,0.371,0.577,0.368,172.033,audio_features,4TmmKwwvsUfQwBrHcPVLDr,spotify:track:4TmmKwwvsUfQwBrHcPVLDr,https://api.spotify.com/v1/tracks/4TmmKwwvsUfQwBrHcPVLDr,https://api.spotify.com/v1/audio-analysis/4TmmKwwvsUfQwBrHcPVLDr,204147.0,4.0
Rising Urge (Lost Tapes) - Original,Röyksopp,612630,downtempo,0.348,0.109,5.0,-23.84,0.0,0.027,0.953,0.875,0.124,0.119,94.976,audio_features,4D2zAaCFuDMlIboD7UH8X5,spotify:track:4D2zAaCFuDMlIboD7UH8X5,https://api.spotify.com/v1/tracks/4D2zAaCFuDMlIboD7UH8X5,https://api.spotify.com/v1/audio-analysis/4D2zAaCFuDMlIboD7UH8X5,306316.0,4.0
Six Days - Remix,DJ Shadow,241287,downtempo,0.641,0.943,5.0,-6.254,0.0,0.264,0.0351,0.000259,0.328,0.718,171.811,audio_features,5j3QqRGflS4o5jbsFSwKW1,spotify:track:5j3QqRGflS4o5jbsFSwKW1,https://api.spotify.com/v1/tracks/5j3QqRGflS4o5jbsFSwKW1,https://api.spotify.com/v1/audio-analysis/5j3QqRGflS4o5jbsFSwKW1,232000.0,4.0
Swimmers,Zero 7,237597,downtempo,0.651,0.492,6.0,-11.808,1.0,0.0301,0.0805,0.0206,0.0912,0.79,152.034,audio_features,3RMuJ4qdkgs71mBNbPpZu0,spotify:track:3RMuJ4qdkgs71mBNbPpZu0,https://api.spotify.com/v1/tracks/3RMuJ4qdkgs71mBNbPpZu0,https://api.spotify.com/v1/audio-analysis/3RMuJ4qdkgs71mBNbPpZu0,237598.0,4.0
The Fever,Bonobo,9130,downtempo,0.688,0.761,4.0,-9.097,0.0,0.0396,0.431,0.847,0.0849,0.744,99.999,audio_features,2sV6e0dKolT5CBG38u2feB,spotify:track:2sV6e0dKolT5CBG38u2feB,https://api.spotify.com/v1/tracks/2sV6e0dKolT5CBG38u2feB,https://api.spotify.com/v1/audio-analysis/2sV6e0dKolT5CBG38u2feB,261467.0,4.0
