trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Empty Love (Ft. Ruel) - Acoustic,GRACEY,68477,uk pop,0.426,0.307,2.0,-8.955,1.0,0.052,0.814,0.0,0.108,0.353,173.456,audio_features,09HCvtlxNRpifu8jG1NRWk,spotify:track:09HCvtlxNRpifu8jG1NRWk,https://api.spotify.com/v1/tracks/09HCvtlxNRpifu8jG1NRWk,https://api.spotify.com/v1/audio-analysis/09HCvtlxNRpifu8jG1NRWk,233159.0,3.0
History (feat. Lostboycrow),Beren Olivia,5706769,uk pop,0.676,0.543,5.0,-7.177,1.0,0.0414,0.424,0.0,0.103,0.318,131.93,audio_features,1bojkU1Mrm3cxSQXyR0jag,spotify:track:1bojkU1Mrm3cxSQXyR0jag,https://api.spotify.com/v1/tracks/1bojkU1Mrm3cxSQXyR0jag,https://api.spotify.com/v1/audio-analysis/1bojkU1Mrm3cxSQXyR0jag,202563.0,4.0
Holy Water,JP Cooper,1755698,uk pop,0.405,0.661,8.0,-4.128,0.0,0.163,0.675,0.0,0.601,0.674,78.983,audio_features,5bmdRp4NYwYrwSGUQekdiG,spotify:track:5bmdRp4NYwYrwSGUQekdiG,https://api.spotify.com/v1/tracks/5bmdRp4NYwYrwSGUQekdiG,https://api.spotify.com/v1/audio-analysis/5bmdRp4NYwYrwSGUQekdiG,261183.0,4.0
Into The Fire,Declan J Donovan,19329,uk pop,0.546,0.708,9.0,-3.929,0.0,0.0602,0.0129,0.0,0.187,0.406,143.991,audio_features,7BPNnaH7sze0E9U6iy1jNp,spotify:track:7BPNnaH7sze0E9U6iy1jNp,https://api.spotify.com/v1/tracks/7BPNnaH7sze0E9U6iy1jNp,https://api.spotify.com/v1/audio-analysis/7BPNnaH7sze0E9U6iy1jNp,194048.0,4.0
Is That What You Like Now,Beren Olivia,1111172,uk pop,0.651,0.626,5.0,-6.036,1.0,0.0428,0.0559,0.0,0.123,0.39,120.061,audio_features,5GYFceOhqamIBKHHjI3G1f,spotify:track:5GYFceOhqamIBKHHjI3G1f,https://api.spotify.com/v1/tracks/5GYFceOhqamIBKHHjI3G1f,https://api.spotify.com/v1/audio-analysis/5GYFceOhqamIBKHHjI3G1f,194750.0,4.0
Little Bit of Love,Tom Grennan,2278559,uk pop,0.689,0.706,1.0,-4.48,0.0,0.0312,0.0833,0.0,0.105,0.623,106.52,audio_features,78q4ESvMkPVJzHAV11LAGE,spotify:track:78q4ESvMkPVJzHAV11LAGE,https://api.spotify.com/v1/tracks/78q4ESvMkPVJzHAV11LAGE,https://api.spotify.com/v1/audio-analysis/78q4ESvMkPVJzHAV11LAGE,226268.0,4.0
Lost Without You,Freya Ridings,225723,uk pop,0.386,0.136,6.0,-9.267,1.0,0.0458,0.932,0.0,0.0653,0.0976,67.016,audio_features,3cWI6Hj9LQ0MfMuhw9uSMc,spotify:track:3cWI6Hj9LQ0MfMuhw9uSMc,https://api.spotify.com/v1/tracks/3cWI6Hj9LQ0MfMuhw9uSMc,https://api.spotify.com/v1/audio-analysis/3cWI6Hj9LQ0MfMuhw9uSMc,225853.0,3.0
One Foot in Front of the Other,Griff,1391775,uk pop,0.798,0.723,6.0,-4.913,1.0,0.0568,0.48,0.0,0.104,0.512,112.043,audio_features,032DRv0baStN644jRO2lMV,spotify:track:032DRv0baStN644jRO2lMV,https://api.spotify.com/v1/tracks/032DRv0baStN644jRO2lMV,https://api.spotify.com/v1/audio-analysis/032DRv0baStN644jRO2lMV,192075.0,4.0
Perfectly Imperfect,Declan J Donovan,1231934,uk pop,0.698,0.367,2.0,-5.811,1.0,0.0329,0.649,0.0,0.119,0.246,104.853,audio_features,6TbkMxKZudkP6Sty7rkLU9,spotify:track:6TbkMxKZudkP6Sty7rkLU9,https://api.spotify.com/v1/tracks/6TbkMxKZudkP6Sty7rkLU9,https://api.spotify.com/v1/audio-analysis/6TbkMxKZudkP6Sty7rkLU9,204309.0,3.0
WHAT WOULD YOU DO? (feat. Pink Sweat$),HONNE,4065815,uk pop,0.871,0.513,7.0,-8.516,0.0,0.101,0.093,0.00302,0.352,0.647,111.976,audio_features,63CGV6P4cEYZvUgvVhZWAl,spotify:track:63CGV6P4cEYZvUgvVhZWAl,https://api.spotify.com/v1/tracks/63CGV6P4cEYZvUgvVhZWAl,https://api.spotify.com/v1/audio-analysis/63CGV6P4cEYZvUgvVhZWAl,192467.0,4.0
