trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
CranMango,WILLIS,699922,alabama indie,0.611,0.529,4.0,-10.299,1.0,0.0243,0.618,0.224,0.21,0.4,106.012,audio_features,71jNQM19si8M1Lj4ZKcHEU,spotify:track:71jNQM19si8M1Lj4ZKcHEU,https://api.spotify.com/v1/tracks/71jNQM19si8M1Lj4ZKcHEU,https://api.spotify.com/v1/audio-analysis/71jNQM19si8M1Lj4ZKcHEU,175400.0,4.0
FTV,WILLIS,42331,alabama indie,0.554,0.515,7.0,-7.892,1.0,0.0259,0.289,0.00112,0.128,0.676,166.99,audio_features,4psplHWQfO9vEtEPGiQix4,spotify:track:4psplHWQfO9vEtEPGiQix4,https://api.spotify.com/v1/tracks/4psplHWQfO9vEtEPGiQix4,https://api.spotify.com/v1/audio-analysis/4psplHWQfO9vEtEPGiQix4,189043.0,4.0
I Think I Like When It Rains,WILLIS,8901555,alabama indie,0.622,0.455,9.0,-7.116,1.0,0.0282,0.0401,0.0,0.0957,0.274,124.412,audio_features,1A3tuE6ti9qoZDwB3LB0t2,spotify:track:1A3tuE6ti9qoZDwB3LB0t2,https://api.spotify.com/v1/tracks/1A3tuE6ti9qoZDwB3LB0t2,https://api.spotify.com/v1/audio-analysis/1A3tuE6ti9qoZDwB3LB0t2,278293.0,4.0
In Between,WILLIS,7008263,alabama indie,0.716,0.707,1.0,-7.305,0.0,0.0402,0.25,0.553,0.109,0.545,117.992,audio_features,2CflhAseTVffTL1GdsTBCE,spotify:track:2CflhAseTVffTL1GdsTBCE,https://api.spotify.com/v1/tracks/2CflhAseTVffTL1GdsTBCE,https://api.spotify.com/v1/audio-analysis/2CflhAseTVffTL1GdsTBCE,147963.0,4.0
Lovers Do,The Brummies,2475948,alabama indie,0.548,0.372,7.0,-8.598,1.0,0.0305,0.588,0.00557,0.347,0.304,149.712,audio_features,2gdwaznV8yFi6jGk6rgMDh,spotify:track:2gdwaznV8yFi6jGk6rgMDh,https://api.spotify.com/v1/tracks/2gdwaznV8yFi6jGk6rgMDh,https://api.spotify.com/v1/audio-analysis/2gdwaznV8yFi6jGk6rgMDh,190787.0,4.0
Overthinker,WILLIS,211405,alabama indie,0.562,0.53,1.0,-8.302,0.0,0.0277,0.429,0.267,0.109,0.722,153.871,audio_features,5Oc7VGoYNOqSCEPyTHGUio,spotify:track:5Oc7VGoYNOqSCEPyTHGUio,https://api.spotify.com/v1/tracks/5Oc7VGoYNOqSCEPyTHGUio,https://api.spotify.com/v1/audio-analysis/5Oc7VGoYNOqSCEPyTHGUio,209642.0,4.0
Pool House,WILLIS,239146,alabama indie,0.696,0.654,3.0,-7.031,0.0,0.0266,0.0796,0.00479,0.0695,0.828,118.04,audio_features,0H0CIU7nnkttV6vcZRX5AV,spotify:track:0H0CIU7nnkttV6vcZRX5AV,https://api.spotify.com/v1/tracks/0H0CIU7nnkttV6vcZRX5AV,https://api.spotify.com/v1/audio-analysis/0H0CIU7nnkttV6vcZRX5AV,239321.0,4.0
Potassium,WILLIS,179937,alabama indie,0.464,0.659,2.0,-5.814,1.0,0.0241,0.0951,0.204,0.0862,0.62,160.037,audio_features,1yIwbPoR5EUm2oWUxxU1w5,spotify:track:1yIwbPoR5EUm2oWUxxU1w5,https://api.spotify.com/v1/tracks/1yIwbPoR5EUm2oWUxxU1w5,https://api.spotify.com/v1/audio-analysis/1yIwbPoR5EUm2oWUxxU1w5,180874.0,4.0
Slow Party,WILLIS,217,alabama indie,0.204,0.747,9.0,-6.72,0.0,0.0338,0.00703,0.000261,0.13,0.146,150.804,audio_features,2gjZlOFRtrwnoGy0Vzb66Y,spotify:track:2gjZlOFRtrwnoGy0Vzb66Y,https://api.spotify.com/v1/tracks/2gjZlOFRtrwnoGy0Vzb66Y,https://api.spotify.com/v1/audio-analysis/2gjZlOFRtrwnoGy0Vzb66Y,313173.0,4.0
Waiting,WILLIS,898113,alabama indie,0.764,0.524,0.0,-7.451,0.0,0.0348,0.203,0.0683,0.129,0.916,122.004,audio_features,5t8BsfzrBJGJhyX3ndE8pU,spotify:track:5t8BsfzrBJGJhyX3ndE8pU,https://api.spotify.com/v1/tracks/5t8BsfzrBJGJhyX3ndE8pU,https://api.spotify.com/v1/audio-analysis/5t8BsfzrBJGJhyX3ndE8pU,157294.0,4.0
