trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Aaj Bhi,Vishal Mishra,1793602,desi pop,0.581,0.304,1.0,-9.707,0.0,0.0274,0.886,2.79e-05,0.103,0.0973,109.006,audio_features,65jpYG7TQCh0T7TtKO4Rjj,spotify:track:65jpYG7TQCh0T7TtKO4Rjj,https://api.spotify.com/v1/tracks/65jpYG7TQCh0T7TtKO4Rjj,https://api.spotify.com/v1/audio-analysis/65jpYG7TQCh0T7TtKO4Rjj,241206.0,4.0
Aaj Bhi - WORMONO LoFi Remake,Vishal Mishra,76002,desi pop,0.307,0.265,1.0,-14.701,0.0,0.0497,0.561,0.000517,0.398,0.0569,94.115,audio_features,0muXl7VdnqjsMH3IDS2JFI,spotify:track:0muXl7VdnqjsMH3IDS2JFI,https://api.spotify.com/v1/tracks/0muXl7VdnqjsMH3IDS2JFI,https://api.spotify.com/v1/audio-analysis/0muXl7VdnqjsMH3IDS2JFI,217976.0,1.0
Akhiyaan,Mitraz,18183,desi pop,0.724,0.618,2.0,-9.007,1.0,0.0534,0.0533,0.704,0.0886,0.0683,100.021,audio_features,2l3dFxtoSMgMQVyRIUHjpz,spotify:track:2l3dFxtoSMgMQVyRIUHjpz,https://api.spotify.com/v1/tracks/2l3dFxtoSMgMQVyRIUHjpz,https://api.spotify.com/v1/audio-analysis/2l3dFxtoSMgMQVyRIUHjpz,191869.0,4.0
Aziyat 2.0 - Reprise Version,Pratsofficial,195568,desi pop,0.445,0.28,10.0,-12.668,1.0,0.0275,0.819,1.29e-05,0.111,0.299,104.743,audio_features,3fwyItGexa88kR8j76dIqv,spotify:track:3fwyItGexa88kR8j76dIqv,https://api.spotify.com/v1/tracks/3fwyItGexa88kR8j76dIqv,https://api.spotify.com/v1/audio-analysis/3fwyItGexa88kR8j76dIqv,194286.0,4.0
Baarish Lete Aana,Darshan Raval,231155,desi pop,0.537,0.35,2.0,-8.937,1.0,0.0248,0.838,0.0,0.108,0.318,67.018,audio_features,6Oq4lIhSSYdA6WuXU9sPeG,spotify:track:6Oq4lIhSSYdA6WuXU9sPeG,https://api.spotify.com/v1/tracks/6Oq4lIhSSYdA6WuXU9sPeG,https://api.spotify.com/v1/audio-analysis/6Oq4lIhSSYdA6WuXU9sPeG,213500.0,4.0
Bapu Zimidar,Jassie Gill,368290,desi pop,0.723,0.911,6.0,-2.656,1.0,0.0443,0.14,0.0,0.235,0.9,80.949,audio_features,0lx4lIIJFuml4T70332ZPC,spotify:track:0lx4lIIJFuml4T70332ZPC,https://api.spotify.com/v1/tracks/0lx4lIIJFuml4T70332ZPC,https://api.spotify.com/v1/audio-analysis/0lx4lIIJFuml4T70332ZPC,180528.0,4.0
dooriyan,Zaeden,9691,desi pop,0.735,0.593,11.0,-7.473,1.0,0.0885,0.731,0.178,0.135,0.475,160.07,audio_features,1HGtTmgl1sEycuS9lJviWQ,spotify:track:1HGtTmgl1sEycuS9lJviWQ,https://api.spotify.com/v1/tracks/1HGtTmgl1sEycuS9lJviWQ,https://api.spotify.com/v1/audio-analysis/1HGtTmgl1sEycuS9lJviWQ,161625.0,4.0
kya karoon?,Zaeden,23301,desi pop,0.723,0.56,5.0,-8.324,0.0,0.035,0.645,7.42e-06,0.228,0.619,145.022,audio_features,6nXwthh92R2HlnyBWtHgHP,spotify:track:6nXwthh92R2HlnyBWtHgHP,https://api.spotify.com/v1/tracks/6nXwthh92R2HlnyBWtHgHP,https://api.spotify.com/v1/audio-analysis/6nXwthh92R2HlnyBWtHgHP,200276.0,4.0
Chaand Baaliyan,Aditya A,239796,desi pop,0.729,0.396,0.0,-8.98,1.0,0.0359,0.796,0.0,0.104,0.886,97.281,audio_features,0snQrp1VaY5Pj1YIHRJpRJ,spotify:track:0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/tracks/0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/audio-analysis/0snQrp1VaY5Pj1YIHRJpRJ,103265.0,4.0
Chitta,Manan Bhardwaj,514879,desi pop,0.412,0.494,6.0,-9.282,1.0,0.0536,0.706,0.0,0.0772,0.496,169.93,audio_features,6JUQViD0hLXlvWXCV4uUF8,spotify:track:6JUQViD0hLXlvWXCV4uUF8,https://api.spotify.com/v1/tracks/6JUQViD0hLXlvWXCV4uUF8,https://api.spotify.com/v1/audio-analysis/6JUQViD0hLXlvWXCV4uUF8,228189.0,4.0
Dekhte Dekhte,Rochak Kohli,786411,desi pop,0.799,0.828,9.0,-4.846,0.0,0.0782,0.424,0.0,0.145,0.627,105.04,audio_features,1scGwkyXNCl19wrBDhnAWg,spotify:track:1scGwkyXNCl19wrBDhnAWg,https://api.spotify.com/v1/tracks/1scGwkyXNCl19wrBDhnAWg,https://api.spotify.com/v1/audio-analysis/1scGwkyXNCl19wrBDhnAWg,256271.0,4.0
"Ghalat Fehmi - From ""Superstar""",Asim Azhar,650512,desi pop,0.758,0.588,11.0,-7.777,0.0,0.091,0.608,9.3e-05,0.189,0.796,134.014,audio_features,5mnvugwfFYnJm9zuyGkgqF,spotify:track:5mnvugwfFYnJm9zuyGkgqF,https://api.spotify.com/v1/tracks/5mnvugwfFYnJm9zuyGkgqF,https://api.spotify.com/v1/audio-analysis/5mnvugwfFYnJm9zuyGkgqF,286008.0,4.0
Guitar Sikhda,Jassie Gill,162740,desi pop,0.794,0.736,5.0,-3.831,0.0,0.0444,0.379,0.0,0.0686,0.962,89.965,audio_features,7HGhE2zK1VToDev4SLCXHK,spotify:track:7HGhE2zK1VToDev4SLCXHK,https://api.spotify.com/v1/tracks/7HGhE2zK1VToDev4SLCXHK,https://api.spotify.com/v1/audio-analysis/7HGhE2zK1VToDev4SLCXHK,189333.0,4.0
High Heels,Jaz Dhami,297606,desi pop,0.891,0.913,1.0,-4.453,1.0,0.149,0.394,0.000173,0.373,0.772,130.045,audio_features,7q7eYVerltlW2sYBuga6Mj,spotify:track:7q7eYVerltlW2sYBuga6Mj,https://api.spotify.com/v1/tracks/7q7eYVerltlW2sYBuga6Mj,https://api.spotify.com/v1/audio-analysis/7q7eYVerltlW2sYBuga6Mj,297771.0,4.0
KTMBK,Zaeden,323306,desi pop,0.898,0.435,6.0,-8.834,1.0,0.0489,0.555,0.0,0.139,0.836,115.034,audio_features,4R8VBRb5nKbEfi1EIA2B7p,spotify:track:4R8VBRb5nKbEfi1EIA2B7p,https://api.spotify.com/v1/tracks/4R8VBRb5nKbEfi1EIA2B7p,https://api.spotify.com/v1/audio-analysis/4R8VBRb5nKbEfi1EIA2B7p,154435.0,4.0
Kamariya,Aastha Gill,187982,desi pop,0.825,0.666,4.0,-4.847,0.0,0.0554,0.143,2.81e-06,0.237,0.763,96.987,audio_features,5cjVsWqIkBQC7acTRhL0RO,spotify:track:5cjVsWqIkBQC7acTRhL0RO,https://api.spotify.com/v1/tracks/5cjVsWqIkBQC7acTRhL0RO,https://api.spotify.com/v1/audio-analysis/5cjVsWqIkBQC7acTRhL0RO,187983.0,4.0
Khayaal,Abhijeet Srivastava,39903,desi pop,0.5,0.677,0.0,-7.73,0.0,0.0634,0.21,0.0,0.118,0.524,149.751,audio_features,18qN1yxa4SVwmykQq1Icrl,spotify:track:18qN1yxa4SVwmykQq1Icrl,https://api.spotify.com/v1/tracks/18qN1yxa4SVwmykQq1Icrl,https://api.spotify.com/v1/audio-analysis/18qN1yxa4SVwmykQq1Icrl,162207.0,3.0
Kya Karein,Aditya Rikhari,3766,desi pop,0.528,0.344,6.0,-11.787,1.0,0.0586,0.616,0.0,0.232,0.461,107.626,audio_features,7qZClRjuyBwaKQsU0LxX5y,spotify:track:7qZClRjuyBwaKQsU0LxX5y,https://api.spotify.com/v1/tracks/7qZClRjuyBwaKQsU0LxX5y,https://api.spotify.com/v1/audio-analysis/7qZClRjuyBwaKQsU0LxX5y,158825.0,4.0
Maahi (Lofi),JalRaj,192000,desi pop,0.589,0.456,7.0,-9.581,0.0,0.0307,0.608,0.0,0.249,0.205,75.012,audio_features,5IvV6X170dmEZCCbmNH4eQ,spotify:track:5IvV6X170dmEZCCbmNH4eQ,https://api.spotify.com/v1/tracks/5IvV6X170dmEZCCbmNH4eQ,https://api.spotify.com/v1/audio-analysis/5IvV6X170dmEZCCbmNH4eQ,192000.0,4.0
Main Woh Chaand,Darshan Raval,1702519,desi pop,0.583,0.45,5.0,-7.218,0.0,0.0292,0.364,0.00166,0.141,0.217,92.043,audio_features,06uNwpGEx0XElATDWFwsxZ,spotify:track:06uNwpGEx0XElATDWFwsxZ,https://api.spotify.com/v1/tracks/06uNwpGEx0XElATDWFwsxZ,https://api.spotify.com/v1/audio-analysis/06uNwpGEx0XElATDWFwsxZ,322809.0,4.0
Manjha,Vishal Mishra,175253,desi pop,0.524,0.515,11.0,-7.478,0.0,0.0427,0.674,0.0,0.104,0.368,169.882,audio_features,0UZLaEOSIc5kg0cc7eszqC,spotify:track:0UZLaEOSIc5kg0cc7eszqC,https://api.spotify.com/v1/tracks/0UZLaEOSIc5kg0cc7eszqC,https://api.spotify.com/v1/audio-analysis/0UZLaEOSIc5kg0cc7eszqC,191647.0,4.0
Medley: Kehna Galat Galat / Halka Halka Suroor,Madhur Sharma,15002,desi pop,0.731,0.506,8.0,-8.579,1.0,0.037,0.484,0.0,0.0944,0.703,114.986,audio_features,4tMwHkxBwnGkts9mxFpwQy,spotify:track:4tMwHkxBwnGkts9mxFpwQy,https://api.spotify.com/v1/tracks/4tMwHkxBwnGkts9mxFpwQy,https://api.spotify.com/v1/audio-analysis/4tMwHkxBwnGkts9mxFpwQy,490435.0,4.0
Mitti Di Khushboo,Rochak Kohli,37604,desi pop,0.64,0.754,6.0,-4.873,0.0,0.0392,0.395,0.0,0.209,0.355,94.989,audio_features,7tp4iYvcZksGp1u7feUrrO,spotify:track:7tp4iYvcZksGp1u7feUrrO,https://api.spotify.com/v1/tracks/7tp4iYvcZksGp1u7feUrrO,https://api.spotify.com/v1/audio-analysis/7tp4iYvcZksGp1u7feUrrO,247223.0,4.0
Pal,Javed-Mohsin,989125,desi pop,0.51,0.502,7.0,-7.016,0.0,0.0325,0.71,0.0,0.0708,0.321,133.885,audio_features,5G7pZ8G8NFvS1MQ9H4L7dC,spotify:track:5G7pZ8G8NFvS1MQ9H4L7dC,https://api.spotify.com/v1/tracks/5G7pZ8G8NFvS1MQ9H4L7dC,https://api.spotify.com/v1/audio-analysis/5G7pZ8G8NFvS1MQ9H4L7dC,247286.0,4.0
Preet,Jasleen Royal,3221306,desi pop,0.578,0.561,10.0,-7.048,0.0,0.0597,0.731,0.0126,0.171,0.529,167.887,audio_features,5Br8K1CLLVB7AuuM0t4G7r,spotify:track:5Br8K1CLLVB7AuuM0t4G7r,https://api.spotify.com/v1/tracks/5Br8K1CLLVB7AuuM0t4G7r,https://api.spotify.com/v1/audio-analysis/5Br8K1CLLVB7AuuM0t4G7r,303673.0,4.0
Rockstar,Ali Zafar,432137,desi pop,0.596,0.627,7.0,-6.923,1.0,0.0827,0.305,0.0,0.299,0.399,150.088,audio_features,1VRf5mWXYHhOy0IwDhGeyf,spotify:track:1VRf5mWXYHhOy0IwDhGeyf,https://api.spotify.com/v1/tracks/1VRf5mWXYHhOy0IwDhGeyf,https://api.spotify.com/v1/audio-analysis/1VRf5mWXYHhOy0IwDhGeyf,404174.0,4.0
Saadi Galli Aaja,Rochak Kohli,1440260,desi pop,0.739,0.836,2.0,-5.155,1.0,0.0325,0.195,3.64e-06,0.197,0.677,109.011,audio_features,6riCsiX9csuomBYnenrtGd,spotify:track:6riCsiX9csuomBYnenrtGd,https://api.spotify.com/v1/tracks/6riCsiX9csuomBYnenrtGd,https://api.spotify.com/v1/audio-analysis/6riCsiX9csuomBYnenrtGd,253417.0,4.0
Safar,Bhuvan Bam,853252,desi pop,0.642,0.728,7.0,-6.692,1.0,0.0315,0.245,0.00238,0.101,0.411,124.983,audio_features,4S9oFNsKx4ZzW4eFws0iYO,spotify:track:4S9oFNsKx4ZzW4eFws0iYO,https://api.spotify.com/v1/tracks/4S9oFNsKx4ZzW4eFws0iYO,https://api.spotify.com/v1/audio-analysis/4S9oFNsKx4ZzW4eFws0iYO,211380.0,4.0
Saudebazi (Encore),Javed Ali,352077,desi pop,0.69,0.73,5.0,-6.588,1.0,0.0307,0.122,0.0,0.346,0.776,113.969,audio_features,7lNbI1xd39QRdf6Mj8tvTv,spotify:track:7lNbI1xd39QRdf6Mj8tvTv,https://api.spotify.com/v1/tracks/7lNbI1xd39QRdf6Mj8tvTv,https://api.spotify.com/v1/audio-analysis/7lNbI1xd39QRdf6Mj8tvTv,354863.0,4.0
Tere Jeya Hor Disda (LoFi),Madhur Sharma,54401,desi pop,0.363,0.469,7.0,-8.404,0.0,0.0528,0.794,0.0176,0.106,0.102,171.988,audio_features,3dBlOhEY4xdQB2Ge4NzULx,spotify:track:3dBlOhEY4xdQB2Ge4NzULx,https://api.spotify.com/v1/tracks/3dBlOhEY4xdQB2Ge4NzULx,https://api.spotify.com/v1/audio-analysis/3dBlOhEY4xdQB2Ge4NzULx,117422.0,4.0
Valley of the Hills,Sanjoy,2419695,desi pop,0.591,0.559,3.0,-4.139,0.0,0.0536,0.182,0.0,0.146,0.347,104.612,audio_features,4WTXH3F4P3vHmRbpZeTYn3,spotify:track:4WTXH3F4P3vHmRbpZeTYn3,https://api.spotify.com/v1/tracks/4WTXH3F4P3vHmRbpZeTYn3,https://api.spotify.com/v1/audio-analysis/4WTXH3F4P3vHmRbpZeTYn3,149717.0,4.0
Yaad,Asim Azhar,21735,desi pop,0.742,0.491,9.0,-8.009,0.0,0.226,0.108,0.0,0.121,0.321,148.182,audio_features,7jdHemolm8HmaireObpqXt,spotify:track:7jdHemolm8HmaireObpqXt,https://api.spotify.com/v1/tracks/7jdHemolm8HmaireObpqXt,https://api.spotify.com/v1/audio-analysis/7jdHemolm8HmaireObpqXt,270811.0,4.0
Aaj Bhi,Vishal Mishra,1793602,desi pop,0.581,0.304,1.0,-9.707,0.0,0.0274,0.886,2.79e-05,0.103,0.0973,109.006,audio_features,65jpYG7TQCh0T7TtKO4Rjj,spotify:track:65jpYG7TQCh0T7TtKO4Rjj,https://api.spotify.com/v1/tracks/65jpYG7TQCh0T7TtKO4Rjj,https://api.spotify.com/v1/audio-analysis/65jpYG7TQCh0T7TtKO4Rjj,241206.0,4.0
Aaj Bhi - WORMONO LoFi Remake,Vishal Mishra,76002,desi pop,0.307,0.265,1.0,-14.701,0.0,0.0497,0.561,0.000517,0.398,0.0569,94.115,audio_features,0muXl7VdnqjsMH3IDS2JFI,spotify:track:0muXl7VdnqjsMH3IDS2JFI,https://api.spotify.com/v1/tracks/0muXl7VdnqjsMH3IDS2JFI,https://api.spotify.com/v1/audio-analysis/0muXl7VdnqjsMH3IDS2JFI,217976.0,1.0
Akhiyaan,Mitraz,18183,desi pop,0.724,0.618,2.0,-9.007,1.0,0.0534,0.0533,0.704,0.0886,0.0683,100.021,audio_features,2l3dFxtoSMgMQVyRIUHjpz,spotify:track:2l3dFxtoSMgMQVyRIUHjpz,https://api.spotify.com/v1/tracks/2l3dFxtoSMgMQVyRIUHjpz,https://api.spotify.com/v1/audio-analysis/2l3dFxtoSMgMQVyRIUHjpz,191869.0,4.0
Aziyat 2.0 - Reprise Version,Pratsofficial,195568,desi pop,0.445,0.28,10.0,-12.668,1.0,0.0275,0.819,1.29e-05,0.111,0.299,104.743,audio_features,3fwyItGexa88kR8j76dIqv,spotify:track:3fwyItGexa88kR8j76dIqv,https://api.spotify.com/v1/tracks/3fwyItGexa88kR8j76dIqv,https://api.spotify.com/v1/audio-analysis/3fwyItGexa88kR8j76dIqv,194286.0,4.0
Baarish Lete Aana,Darshan Raval,231155,desi pop,0.537,0.35,2.0,-8.937,1.0,0.0248,0.838,0.0,0.108,0.318,67.018,audio_features,6Oq4lIhSSYdA6WuXU9sPeG,spotify:track:6Oq4lIhSSYdA6WuXU9sPeG,https://api.spotify.com/v1/tracks/6Oq4lIhSSYdA6WuXU9sPeG,https://api.spotify.com/v1/audio-analysis/6Oq4lIhSSYdA6WuXU9sPeG,213500.0,4.0
Bapu Zimidar,Jassie Gill,368290,desi pop,0.723,0.911,6.0,-2.656,1.0,0.0443,0.14,0.0,0.235,0.9,80.949,audio_features,0lx4lIIJFuml4T70332ZPC,spotify:track:0lx4lIIJFuml4T70332ZPC,https://api.spotify.com/v1/tracks/0lx4lIIJFuml4T70332ZPC,https://api.spotify.com/v1/audio-analysis/0lx4lIIJFuml4T70332ZPC,180528.0,4.0
dooriyan,Zaeden,9691,desi pop,0.735,0.593,11.0,-7.473,1.0,0.0885,0.731,0.178,0.135,0.475,160.07,audio_features,1HGtTmgl1sEycuS9lJviWQ,spotify:track:1HGtTmgl1sEycuS9lJviWQ,https://api.spotify.com/v1/tracks/1HGtTmgl1sEycuS9lJviWQ,https://api.spotify.com/v1/audio-analysis/1HGtTmgl1sEycuS9lJviWQ,161625.0,4.0
kya karoon?,Zaeden,23301,desi pop,0.723,0.56,5.0,-8.324,0.0,0.035,0.645,7.42e-06,0.228,0.619,145.022,audio_features,6nXwthh92R2HlnyBWtHgHP,spotify:track:6nXwthh92R2HlnyBWtHgHP,https://api.spotify.com/v1/tracks/6nXwthh92R2HlnyBWtHgHP,https://api.spotify.com/v1/audio-analysis/6nXwthh92R2HlnyBWtHgHP,200276.0,4.0
Chaand Baaliyan,Aditya A,239796,desi pop,0.729,0.396,0.0,-8.98,1.0,0.0359,0.796,0.0,0.104,0.886,97.281,audio_features,0snQrp1VaY5Pj1YIHRJpRJ,spotify:track:0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/tracks/0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/audio-analysis/0snQrp1VaY5Pj1YIHRJpRJ,103265.0,4.0
Chitta,Manan Bhardwaj,514879,desi pop,0.412,0.494,6.0,-9.282,1.0,0.0536,0.706,0.0,0.0772,0.496,169.93,audio_features,6JUQViD0hLXlvWXCV4uUF8,spotify:track:6JUQViD0hLXlvWXCV4uUF8,https://api.spotify.com/v1/tracks/6JUQViD0hLXlvWXCV4uUF8,https://api.spotify.com/v1/audio-analysis/6JUQViD0hLXlvWXCV4uUF8,228189.0,4.0
Dekhte Dekhte,Rochak Kohli,786411,desi pop,0.799,0.828,9.0,-4.846,0.0,0.0782,0.424,0.0,0.145,0.627,105.04,audio_features,1scGwkyXNCl19wrBDhnAWg,spotify:track:1scGwkyXNCl19wrBDhnAWg,https://api.spotify.com/v1/tracks/1scGwkyXNCl19wrBDhnAWg,https://api.spotify.com/v1/audio-analysis/1scGwkyXNCl19wrBDhnAWg,256271.0,4.0
"Ghalat Fehmi - From ""Superstar""",Asim Azhar,650512,desi pop,0.758,0.588,11.0,-7.777,0.0,0.091,0.608,9.3e-05,0.189,0.796,134.014,audio_features,5mnvugwfFYnJm9zuyGkgqF,spotify:track:5mnvugwfFYnJm9zuyGkgqF,https://api.spotify.com/v1/tracks/5mnvugwfFYnJm9zuyGkgqF,https://api.spotify.com/v1/audio-analysis/5mnvugwfFYnJm9zuyGkgqF,286008.0,4.0
