trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Better Place,Rachel Platten,705267,post-teen pop,0.557,0.4,0.0,-8.16,1.0,0.0274,0.914,0.000897,0.107,0.348,100.205,audio_features,7xbXQeepclfQNqI3mLPb3c,spotify:track:7xbXQeepclfQNqI3mLPb3c,https://api.spotify.com/v1/tracks/7xbXQeepclfQNqI3mLPb3c,https://api.spotify.com/v1/audio-analysis/7xbXQeepclfQNqI3mLPb3c,176387.0,4.0
shut up,Greyson Chance,1085734,post-teen pop,0.822,0.448,9.0,-4.33,1.0,0.0465,0.296,3.28e-06,0.0683,0.45,105.01,audio_features,0vBlrSOT8xxEBgKay0Otr4,spotify:track:0vBlrSOT8xxEBgKay0Otr4,https://api.spotify.com/v1/tracks/0vBlrSOT8xxEBgKay0Otr4,https://api.spotify.com/v1/audio-analysis/0vBlrSOT8xxEBgKay0Otr4,170364.0,4.0
Can I Have This Dance,High School Musical Cast,12638,post-teen pop,0.555,0.619,0.0,-5.246,1.0,0.0296,0.203,0.0,0.265,0.426,136.069,audio_features,6YXG34IWbilypPwjBTOrUC,spotify:track:6YXG34IWbilypPwjBTOrUC,https://api.spotify.com/v1/tracks/6YXG34IWbilypPwjBTOrUC,https://api.spotify.com/v1/audio-analysis/6YXG34IWbilypPwjBTOrUC,243773.0,3.0
Good As Gold,Greyson Chance,228420,post-teen pop,0.48,0.587,2.0,-6.155,1.0,0.0351,0.302,0.0,0.104,0.236,84.846,audio_features,7sxiJ4a8uROYMvhkgGbQcK,spotify:track:7sxiJ4a8uROYMvhkgGbQcK,https://api.spotify.com/v1/tracks/7sxiJ4a8uROYMvhkgGbQcK,https://api.spotify.com/v1/audio-analysis/7sxiJ4a8uROYMvhkgGbQcK,205747.0,4.0
Hate How Much I Love You,Conor Maynard,175897,post-teen pop,0.779,0.42,0.0,-8.396,1.0,0.221,0.665,0.0,0.0862,0.688,105.076,audio_features,2v00WuRHH1WdnXxlHnyURi,spotify:track:2v00WuRHH1WdnXxlHnyURi,https://api.spotify.com/v1/tracks/2v00WuRHH1WdnXxlHnyURi,https://api.spotify.com/v1/audio-analysis/2v00WuRHH1WdnXxlHnyURi,175898.0,4.0
High School Musical,High School Musical Cast,394750,post-teen pop,0.529,0.931,0.0,-3.022,1.0,0.102,0.241,0.0,0.411,0.624,165.054,audio_features,5m4RHs0THdfyn579MONxcV,spotify:track:5m4RHs0THdfyn579MONxcV,https://api.spotify.com/v1/tracks/5m4RHs0THdfyn579MONxcV,https://api.spotify.com/v1/audio-analysis/5m4RHs0THdfyn579MONxcV,231093.0,4.0
I Want It All,High School Musical Cast,279320,post-teen pop,0.791,0.813,6.0,-3.444,1.0,0.139,0.179,0.0,0.0549,0.913,142.876,audio_features,5sTC1imYc0QzNe3i5snLy7,spotify:track:5sTC1imYc0QzNe3i5snLy7,https://api.spotify.com/v1/tracks/5sTC1imYc0QzNe3i5snLy7,https://api.spotify.com/v1/audio-analysis/5sTC1imYc0QzNe3i5snLy7,277307.0,4.0
Just Wanna Be With You,High School Musical Cast,328242,post-teen pop,0.547,0.723,2.0,-4.804,0.0,0.0323,0.312,0.0,0.112,0.377,102.003,audio_features,3SMxd9vNy41n9Xk4UFw36S,spotify:track:3SMxd9vNy41n9Xk4UFw36S,https://api.spotify.com/v1/tracks/3SMxd9vNy41n9Xk4UFw36S,https://api.spotify.com/v1/audio-analysis/3SMxd9vNy41n9Xk4UFw36S,156187.0,4.0
Now Or Never,High School Musical Cast,417039,post-teen pop,0.747,0.983,5.0,-3.883,0.0,0.181,0.112,0.0,0.706,0.553,114.993,audio_features,4WQJPsbGOdqe24mUVHa8xb,spotify:track:4WQJPsbGOdqe24mUVHa8xb,https://api.spotify.com/v1/tracks/4WQJPsbGOdqe24mUVHa8xb,https://api.spotify.com/v1/audio-analysis/4WQJPsbGOdqe24mUVHa8xb,270733.0,4.0
"Right Here, Right Now",High School Musical Cast,39652,post-teen pop,0.562,0.797,2.0,-5.386,1.0,0.0356,0.328,0.0,0.0752,0.296,110.049,audio_features,5EBd8sbeMSyIotWaMnR7s4,spotify:track:5EBd8sbeMSyIotWaMnR7s4,https://api.spotify.com/v1/tracks/5EBd8sbeMSyIotWaMnR7s4,https://api.spotify.com/v1/audio-analysis/5EBd8sbeMSyIotWaMnR7s4,235733.0,4.0
Scream,High School Musical Cast,175224,post-teen pop,0.632,0.843,3.0,-4.374,0.0,0.0429,0.0603,0.0,0.0662,0.542,110.983,audio_features,20QRXRV7wUFOIgBQCGnUy3,spotify:track:20QRXRV7wUFOIgBQCGnUy3,https://api.spotify.com/v1/tracks/20QRXRV7wUFOIgBQCGnUy3,https://api.spotify.com/v1/audio-analysis/20QRXRV7wUFOIgBQCGnUy3,236400.0,4.0
The Boys Are Back,High School Musical Cast,260541,post-teen pop,0.706,0.915,1.0,-3.169,1.0,0.0535,0.00742,1.1e-06,0.0343,0.872,114.992,audio_features,6YoYLN155MLavQcl3bHmvY,spotify:track:6YoYLN155MLavQcl3bHmvY,https://api.spotify.com/v1/tracks/6YoYLN155MLavQcl3bHmvY,https://api.spotify.com/v1/audio-analysis/6YoYLN155MLavQcl3bHmvY,224667.0,4.0
Walk Away,High School Musical Cast,3956,post-teen pop,0.685,0.787,8.0,-3.696,1.0,0.0348,0.429,0.0888,0.223,0.624,97.995,audio_features,0qbP1p2jMDkCKXIanfmYtI,spotify:track:0qbP1p2jMDkCKXIanfmYtI,https://api.spotify.com/v1/tracks/0qbP1p2jMDkCKXIanfmYtI,https://api.spotify.com/v1/audio-analysis/0qbP1p2jMDkCKXIanfmYtI,228027.0,4.0
You Broke Me First,Conor Maynard,160942,post-teen pop,0.399,0.274,2.0,-7.474,1.0,0.0313,0.848,0.0,0.109,0.198,113.526,audio_features,2xKy8HbpMFgHV2xZhpQf12,spotify:track:2xKy8HbpMFgHV2xZhpQf12,https://api.spotify.com/v1/tracks/2xKy8HbpMFgHV2xZhpQf12,https://api.spotify.com/v1/audio-analysis/2xKy8HbpMFgHV2xZhpQf12,160943.0,4.0
