trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sinatra,Forrest Nolan,1579483,modern indie pop,0.444,0.301,0.0,-8.88,1.0,0.0334,0.886,0.0,0.183,0.35,95.278,audio_features,1USo158Kncaxfyq9q306dn,spotify:track:1USo158Kncaxfyq9q306dn,https://api.spotify.com/v1/tracks/1USo158Kncaxfyq9q306dn,https://api.spotify.com/v1/audio-analysis/1USo158Kncaxfyq9q306dn,156342.0,3.0
Summer Vibe,Forrest Nolan,3289861,modern indie pop,0.891,0.627,4.0,-8.458,1.0,0.0566,0.435,0.0,0.266,0.922,136.024,audio_features,1SdItcSOTD14tvIo8UzA6k,spotify:track:1SdItcSOTD14tvIo8UzA6k,https://api.spotify.com/v1/tracks/1SdItcSOTD14tvIo8UzA6k,https://api.spotify.com/v1/audio-analysis/1SdItcSOTD14tvIo8UzA6k,200293.0,4.0
The War,SYML,708532,modern indie pop,0.247,0.19,9.0,-12.596,0.0,0.0379,0.586,0.000877,0.0568,0.0393,126.77,audio_features,0EnZoG9AaD0uXoffiC8KAQ,spotify:track:0EnZoG9AaD0uXoffiC8KAQ,https://api.spotify.com/v1/tracks/0EnZoG9AaD0uXoffiC8KAQ,https://api.spotify.com/v1/audio-analysis/0EnZoG9AaD0uXoffiC8KAQ,354267.0,4.0
Things I Hate,Motel 7,216890,modern indie pop,0.652,0.692,6.0,-6.87,1.0,0.0653,0.119,8.73e-06,0.109,0.131,161.937,audio_features,30rX6yMaXXWJ3CFShHLQGm,spotify:track:30rX6yMaXXWJ3CFShHLQGm,https://api.spotify.com/v1/tracks/30rX6yMaXXWJ3CFShHLQGm,https://api.spotify.com/v1/audio-analysis/30rX6yMaXXWJ3CFShHLQGm,217102.0,4.0
Traveling Alone,Tom The Mail Man,160165,modern indie pop,0.691,0.595,8.0,-6.865,0.0,0.0377,0.0888,5.56e-05,0.0886,0.415,121.004,audio_features,00c6I4e1BL1vqbD97KIh50,spotify:track:00c6I4e1BL1vqbD97KIh50,https://api.spotify.com/v1/tracks/00c6I4e1BL1vqbD97KIh50,https://api.spotify.com/v1/audio-analysis/00c6I4e1BL1vqbD97KIh50,160165.0,4.0
Upside Down (feat. Charlie Puth),JVKE,1156676,modern indie pop,0.816,0.444,2.0,-9.635,1.0,0.0546,0.284,0.0243,0.225,0.566,120.022,audio_features,4nZhS4vsnO50wnSyMJraBj,spotify:track:4nZhS4vsnO50wnSyMJraBj,https://api.spotify.com/v1/tracks/4nZhS4vsnO50wnSyMJraBj,https://api.spotify.com/v1/audio-analysis/4nZhS4vsnO50wnSyMJraBj,116000.0,4.0
Weatherman,Eddie Benjamin,7649,modern indie pop,0.772,0.437,6.0,-6.877,1.0,0.0298,0.183,0.0,0.243,0.814,96.971,audio_features,5CmIIBRVQWLX2uXAkuBlS8,spotify:track:5CmIIBRVQWLX2uXAkuBlS8,https://api.spotify.com/v1/tracks/5CmIIBRVQWLX2uXAkuBlS8,https://api.spotify.com/v1/audio-analysis/5CmIIBRVQWLX2uXAkuBlS8,145979.0,3.0
Where's My Love,SYML,126581,modern indie pop,0.604,0.36,0.0,-10.109,0.0,0.0253,0.868,0.0343,0.112,0.37,103.985,audio_features,1B62o4CbdL9ckGvwsz2cgn,spotify:track:1B62o4CbdL9ckGvwsz2cgn,https://api.spotify.com/v1/tracks/1B62o4CbdL9ckGvwsz2cgn,https://api.spotify.com/v1/audio-analysis/1B62o4CbdL9ckGvwsz2cgn,202000.0,4.0
Where's My Love - Sped Up,SYML,168341,modern indie pop,0.612,0.378,6.0,-11.234,1.0,0.0303,0.883,0.0217,0.132,0.429,124.726,audio_features,6UHkwuFF6CXKMqBtDRxk8C,spotify:track:6UHkwuFF6CXKMqBtDRxk8C,https://api.spotify.com/v1/tracks/6UHkwuFF6CXKMqBtDRxk8C,https://api.spotify.com/v1/audio-analysis/6UHkwuFF6CXKMqBtDRxk8C,168342.0,4.0
Wrap Me In Plastic - Slowed Down Version,CHROMANCE,6182976,modern indie pop,0.94,0.616,0.0,-3.153,0.0,0.0936,0.225,0.0,0.13,0.535,131.294,audio_features,74PdooqFwI8VhklmayQ7dz,spotify:track:74PdooqFwI8VhklmayQ7dz,https://api.spotify.com/v1/tracks/74PdooqFwI8VhklmayQ7dz,https://api.spotify.com/v1/audio-analysis/74PdooqFwI8VhklmayQ7dz,147578.0,4.0
Alive,Audrey Mika,393226,modern indie pop,0.591,0.335,9.0,-8.331,0.0,0.0339,0.601,0.0,0.0976,0.293,86.448,audio_features,39LmkwLmeETbr80Uy7HIVU,spotify:track:39LmkwLmeETbr80Uy7HIVU,https://api.spotify.com/v1/tracks/39LmkwLmeETbr80Uy7HIVU,https://api.spotify.com/v1/audio-analysis/39LmkwLmeETbr80Uy7HIVU,197224.0,5.0
a song from yesterday,Forrest Nolan,397440,modern indie pop,0.761,0.415,1.0,-8.43,1.0,0.114,0.54,0.0,0.105,0.725,93.933,audio_features,1rIvV3vogPZDoEz4Ra0bei,spotify:track:1rIvV3vogPZDoEz4Ra0bei,https://api.spotify.com/v1/tracks/1rIvV3vogPZDoEz4Ra0bei,https://api.spotify.com/v1/audio-analysis/1rIvV3vogPZDoEz4Ra0bei,198720.0,4.0
dumb dumb - sped up,mazie,102663,modern indie pop,0.71,0.596,9.0,-6.655,0.0,0.0575,0.132,0.000713,0.212,0.721,148.869,audio_features,2pJmSaPh5lMe4npn0Z6m8A,spotify:track:2pJmSaPh5lMe4npn0Z6m8A,https://api.spotify.com/v1/tracks/2pJmSaPh5lMe4npn0Z6m8A,https://api.spotify.com/v1/audio-analysis/2pJmSaPh5lMe4npn0Z6m8A,102664.0,4.0
glass half empty,dempsey hope,408888,modern indie pop,0.468,0.275,9.0,-13.311,1.0,0.145,0.753,0.0,0.0943,0.379,142.875,audio_features,1t2n68SZzCnuQ6tITQxTPS,spotify:track:1t2n68SZzCnuQ6tITQxTPS,https://api.spotify.com/v1/tracks/1t2n68SZzCnuQ6tITQxTPS,https://api.spotify.com/v1/audio-analysis/1t2n68SZzCnuQ6tITQxTPS,136296.0,4.0
golden hour,JVKE,6434777,modern indie pop,0.515,0.593,4.0,-4.801,1.0,0.0322,0.653,0.162,0.25,0.153,94.467,audio_features,5odlY52u43F5BjByhxg7wg,spotify:track:5odlY52u43F5BjByhxg7wg,https://api.spotify.com/v1/tracks/5odlY52u43F5BjByhxg7wg,https://api.spotify.com/v1/audio-analysis/5odlY52u43F5BjByhxg7wg,209260.0,3.0
"he's not your boyfriend, he's your boy friend",remy,175500,modern indie pop,0.733,0.605,6.0,-7.961,1.0,0.0606,0.274,0.000287,0.0892,0.737,160.004,audio_features,6ID9Av5ISfFescfxuCAeUg,spotify:track:6ID9Av5ISfFescfxuCAeUg,https://api.spotify.com/v1/tracks/6ID9Av5ISfFescfxuCAeUg,https://api.spotify.com/v1/audio-analysis/6ID9Av5ISfFescfxuCAeUg,175500.0,4.0
i can't help it,JVKE,6249836,modern indie pop,0.459,0.639,1.0,-4.152,1.0,0.0638,0.236,0.00922,0.248,0.344,155.935,audio_features,3F3roWqJPMtmLbPPl93bbR,spotify:track:3F3roWqJPMtmLbPPl93bbR,https://api.spotify.com/v1/tracks/3F3roWqJPMtmLbPPl93bbR,https://api.spotify.com/v1/audio-analysis/3F3roWqJPMtmLbPPl93bbR,177887.0,4.0
i don't care - bonus track,young friend,1355868,modern indie pop,0.724,0.225,4.0,-14.13,0.0,0.0461,0.768,0.00596,0.111,0.698,169.913,audio_features,3pM7NQahwmilUQ2JSBJOzA,spotify:track:3pM7NQahwmilUQ2JSBJOzA,https://api.spotify.com/v1/tracks/3pM7NQahwmilUQ2JSBJOzA,https://api.spotify.com/v1/audio-analysis/3pM7NQahwmilUQ2JSBJOzA,160941.0,4.0
i'm glad that you found someone,sad alex,1589654,modern indie pop,0.807,0.629,11.0,-4.317,1.0,0.141,0.677,0.000223,0.108,0.311,169.982,audio_features,2L9VAxwHwtHcNQyZPzmOpZ,spotify:track:2L9VAxwHwtHcNQyZPzmOpZ,https://api.spotify.com/v1/tracks/2L9VAxwHwtHcNQyZPzmOpZ,https://api.spotify.com/v1/audio-analysis/2L9VAxwHwtHcNQyZPzmOpZ,194823.0,4.0
ice cream,dempsey hope,136421,modern indie pop,0.677,0.29,5.0,-11.973,0.0,0.176,0.845,0.0,0.0976,0.77,94.853,audio_features,0gRGB5zwCHqNmk9kQ2pO7q,spotify:track:0gRGB5zwCHqNmk9kQ2pO7q,https://api.spotify.com/v1/tracks/0gRGB5zwCHqNmk9kQ2pO7q,https://api.spotify.com/v1/audio-analysis/0gRGB5zwCHqNmk9kQ2pO7q,136421.0,4.0
met this girl on the internet,young friend,865959,modern indie pop,0.734,0.206,4.0,-13.501,1.0,0.04,0.808,0.237,0.152,0.205,126.072,audio_features,6VomQpgjGXJOwNy6CrCn7T,spotify:track:6VomQpgjGXJOwNy6CrCn7T,https://api.spotify.com/v1/tracks/6VomQpgjGXJOwNy6CrCn7T,https://api.spotify.com/v1/audio-analysis/6VomQpgjGXJOwNy6CrCn7T,179446.0,4.0
moon and back,JVKE,2521175,modern indie pop,0.594,0.494,2.0,-4.262,1.0,0.0722,0.571,2.48e-05,0.206,0.486,180.132,audio_features,4228YpK0ZZuY4CZzBDVi3q,spotify:track:4228YpK0ZZuY4CZzBDVi3q,https://api.spotify.com/v1/tracks/4228YpK0ZZuY4CZzBDVi3q,https://api.spotify.com/v1/audio-analysis/4228YpK0ZZuY4CZzBDVi3q,148298.0,4.0
one that got away,sad alex,141741,modern indie pop,0.734,0.579,11.0,-5.988,1.0,0.0958,0.372,1.17e-06,0.0646,0.485,102.029,audio_features,6D9tzZdTwuPMxVZ2gD6GqJ,spotify:track:6D9tzZdTwuPMxVZ2gD6GqJ,https://api.spotify.com/v1/tracks/6D9tzZdTwuPMxVZ2gD6GqJ,https://api.spotify.com/v1/audio-analysis/6D9tzZdTwuPMxVZ2gD6GqJ,141765.0,4.0
this is what falling in love feels like,JVKE,1410897,modern indie pop,0.422,0.44,11.0,-5.53,1.0,0.0544,0.617,0.0,0.0837,0.332,128.934,audio_features,2PWTZV5znjLtZC5T1EVJvL,spotify:track:2PWTZV5znjLtZC5T1EVJvL,https://api.spotify.com/v1/tracks/2PWTZV5znjLtZC5T1EVJvL,https://api.spotify.com/v1/audio-analysis/2PWTZV5znjLtZC5T1EVJvL,120308.0,5.0
this is what falling in love feels like - Leon Leiden Remix,JVKE,70369,modern indie pop,0.411,0.547,11.0,-4.815,1.0,0.0706,0.66,0.0,0.078,0.552,128.44,audio_features,0T2zPVlS2Oyy0BXlmvYKTe,spotify:track:0T2zPVlS2Oyy0BXlmvYKTe,https://api.spotify.com/v1/tracks/0T2zPVlS2Oyy0BXlmvYKTe,https://api.spotify.com/v1/audio-analysis/0T2zPVlS2Oyy0BXlmvYKTe,120157.0,5.0
this is what heartbreak feels like,JVKE,73240,modern indie pop,0.707,0.474,1.0,-4.603,1.0,0.0672,0.578,0.0,0.11,0.538,109.991,audio_features,4RxdAzEmkPXTiIU6ULLoXh,spotify:track:4RxdAzEmkPXTiIU6ULLoXh,https://api.spotify.com/v1/tracks/4RxdAzEmkPXTiIU6ULLoXh,https://api.spotify.com/v1/audio-analysis/4RxdAzEmkPXTiIU6ULLoXh,157636.0,4.0
INFERNO,Sub Urban,38920,modern indie pop,0.82,0.611,9.0,-5.02,0.0,0.122,0.0766,2.5e-05,0.0684,0.637,127.883,audio_features,6e2YNCn1sP5eqnUe17vtxv,spotify:track:6e2YNCn1sP5eqnUe17vtxv,https://api.spotify.com/v1/tracks/6e2YNCn1sP5eqnUe17vtxv,https://api.spotify.com/v1/audio-analysis/6e2YNCn1sP5eqnUe17vtxv,133134.0,4.0
LAst dAy oN EaRTh,Tai Verdes,9450101,modern indie pop,0.494,0.553,5.0,-5.57,1.0,0.197,0.413,4.17e-05,0.218,0.359,82.061,audio_features,0fVDu1evgjX9CFD0cmuRrM,spotify:track:0fVDu1evgjX9CFD0cmuRrM,https://api.spotify.com/v1/tracks/0fVDu1evgjX9CFD0cmuRrM,https://api.spotify.com/v1/audio-analysis/0fVDu1evgjX9CFD0cmuRrM,172756.0,4.0
Let's go to Hell,Tai Verdes,141480,modern indie pop,0.782,0.798,4.0,-5.07,0.0,0.0337,0.141,0.0,0.685,0.905,127.89,audio_features,38XLUjlR84JEwK0SOvX77a,spotify:track:38XLUjlR84JEwK0SOvX77a,https://api.spotify.com/v1/tracks/38XLUjlR84JEwK0SOvX77a,https://api.spotify.com/v1/audio-analysis/38XLUjlR84JEwK0SOvX77a,152182.0,4.0
Marlboro Nights,Lonely God,81273,modern indie pop,0.466,0.823,2.0,-6.635,1.0,0.311,0.00237,0.000321,0.332,0.782,175.797,audio_features,755inykyaG4w22GWAsA3MX,spotify:track:755inykyaG4w22GWAsA3MX,https://api.spotify.com/v1/tracks/755inykyaG4w22GWAsA3MX,https://api.spotify.com/v1/audio-analysis/755inykyaG4w22GWAsA3MX,68523.0,4.0
Mr. Sandman,SYML,2155828,modern indie pop,0.341,0.37,9.0,-10.661,0.0,0.0393,0.918,0.258,0.074,0.0417,96.677,audio_features,6sPpUfwcYBgW3kTXStNsVM,spotify:track:6sPpUfwcYBgW3kTXStNsVM,https://api.spotify.com/v1/tracks/6sPpUfwcYBgW3kTXStNsVM,https://api.spotify.com/v1/audio-analysis/6sPpUfwcYBgW3kTXStNsVM,206493.0,4.0
PARAMOUR (feat. AURORA),Sub Urban,1448740,modern indie pop,0.716,0.465,2.0,-7.818,1.0,0.236,0.553,1.14e-06,0.771,0.575,165.836,audio_features,3PIla3hOLQxw5l6GW2jdZu,spotify:track:3PIla3hOLQxw5l6GW2jdZu,https://api.spotify.com/v1/tracks/3PIla3hOLQxw5l6GW2jdZu,https://api.spotify.com/v1/audio-analysis/3PIla3hOLQxw5l6GW2jdZu,168434.0,4.0
Shut up My Moms Calling,Hotel Ugly,519402,modern indie pop,0.485,0.409,9.0,-10.711,0.0,0.101,0.325,0.0,0.103,0.376,138.419,audio_features,3hxIUxnT27p5WcmjGUXNwx,spotify:track:3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/tracks/3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/audio-analysis/3hxIUxnT27p5WcmjGUXNwx,164571.0,4.0
Shut up My Moms Calling - (Sped Up),Hotel Ugly,135529,modern indie pop,0.653,0.474,5.0,-10.899,0.0,0.103,0.312,6.65e-06,0.119,0.361,85.024,audio_features,31mzt4ZV8C0f52pIz1NSwd,spotify:track:31mzt4ZV8C0f52pIz1NSwd,https://api.spotify.com/v1/tracks/31mzt4ZV8C0f52pIz1NSwd,https://api.spotify.com/v1/audio-analysis/31mzt4ZV8C0f52pIz1NSwd,135529.0,4.0
Sinatra,Forrest Nolan,1579483,modern indie pop,0.444,0.301,0.0,-8.88,1.0,0.0334,0.886,0.0,0.183,0.35,95.278,audio_features,1USo158Kncaxfyq9q306dn,spotify:track:1USo158Kncaxfyq9q306dn,https://api.spotify.com/v1/tracks/1USo158Kncaxfyq9q306dn,https://api.spotify.com/v1/audio-analysis/1USo158Kncaxfyq9q306dn,156342.0,3.0
Summer Vibe,Forrest Nolan,3289861,modern indie pop,0.891,0.627,4.0,-8.458,1.0,0.0566,0.435,0.0,0.266,0.922,136.024,audio_features,1SdItcSOTD14tvIo8UzA6k,spotify:track:1SdItcSOTD14tvIo8UzA6k,https://api.spotify.com/v1/tracks/1SdItcSOTD14tvIo8UzA6k,https://api.spotify.com/v1/audio-analysis/1SdItcSOTD14tvIo8UzA6k,200293.0,4.0
The War,SYML,708532,modern indie pop,0.247,0.19,9.0,-12.596,0.0,0.0379,0.586,0.000877,0.0568,0.0393,126.77,audio_features,0EnZoG9AaD0uXoffiC8KAQ,spotify:track:0EnZoG9AaD0uXoffiC8KAQ,https://api.spotify.com/v1/tracks/0EnZoG9AaD0uXoffiC8KAQ,https://api.spotify.com/v1/audio-analysis/0EnZoG9AaD0uXoffiC8KAQ,354267.0,4.0
Things I Hate,Motel 7,216890,modern indie pop,0.652,0.692,6.0,-6.87,1.0,0.0653,0.119,8.73e-06,0.109,0.131,161.937,audio_features,30rX6yMaXXWJ3CFShHLQGm,spotify:track:30rX6yMaXXWJ3CFShHLQGm,https://api.spotify.com/v1/tracks/30rX6yMaXXWJ3CFShHLQGm,https://api.spotify.com/v1/audio-analysis/30rX6yMaXXWJ3CFShHLQGm,217102.0,4.0
Traveling Alone,Tom The Mail Man,160165,modern indie pop,0.691,0.595,8.0,-6.865,0.0,0.0377,0.0888,5.56e-05,0.0886,0.415,121.004,audio_features,00c6I4e1BL1vqbD97KIh50,spotify:track:00c6I4e1BL1vqbD97KIh50,https://api.spotify.com/v1/tracks/00c6I4e1BL1vqbD97KIh50,https://api.spotify.com/v1/audio-analysis/00c6I4e1BL1vqbD97KIh50,160165.0,4.0
Upside Down (feat. Charlie Puth),JVKE,1156676,modern indie pop,0.816,0.444,2.0,-9.635,1.0,0.0546,0.284,0.0243,0.225,0.566,120.022,audio_features,4nZhS4vsnO50wnSyMJraBj,spotify:track:4nZhS4vsnO50wnSyMJraBj,https://api.spotify.com/v1/tracks/4nZhS4vsnO50wnSyMJraBj,https://api.spotify.com/v1/audio-analysis/4nZhS4vsnO50wnSyMJraBj,116000.0,4.0
Weatherman,Eddie Benjamin,7649,modern indie pop,0.772,0.437,6.0,-6.877,1.0,0.0298,0.183,0.0,0.243,0.814,96.971,audio_features,5CmIIBRVQWLX2uXAkuBlS8,spotify:track:5CmIIBRVQWLX2uXAkuBlS8,https://api.spotify.com/v1/tracks/5CmIIBRVQWLX2uXAkuBlS8,https://api.spotify.com/v1/audio-analysis/5CmIIBRVQWLX2uXAkuBlS8,145979.0,3.0
Where's My Love,SYML,126581,modern indie pop,0.604,0.36,0.0,-10.109,0.0,0.0253,0.868,0.0343,0.112,0.37,103.985,audio_features,1B62o4CbdL9ckGvwsz2cgn,spotify:track:1B62o4CbdL9ckGvwsz2cgn,https://api.spotify.com/v1/tracks/1B62o4CbdL9ckGvwsz2cgn,https://api.spotify.com/v1/audio-analysis/1B62o4CbdL9ckGvwsz2cgn,202000.0,4.0
Where's My Love - Sped Up,SYML,168341,modern indie pop,0.612,0.378,6.0,-11.234,1.0,0.0303,0.883,0.0217,0.132,0.429,124.726,audio_features,6UHkwuFF6CXKMqBtDRxk8C,spotify:track:6UHkwuFF6CXKMqBtDRxk8C,https://api.spotify.com/v1/tracks/6UHkwuFF6CXKMqBtDRxk8C,https://api.spotify.com/v1/audio-analysis/6UHkwuFF6CXKMqBtDRxk8C,168342.0,4.0
Wrap Me In Plastic - Slowed Down Version,CHROMANCE,6182976,modern indie pop,0.94,0.616,0.0,-3.153,0.0,0.0936,0.225,0.0,0.13,0.535,131.294,audio_features,74PdooqFwI8VhklmayQ7dz,spotify:track:74PdooqFwI8VhklmayQ7dz,https://api.spotify.com/v1/tracks/74PdooqFwI8VhklmayQ7dz,https://api.spotify.com/v1/audio-analysis/74PdooqFwI8VhklmayQ7dz,147578.0,4.0
