trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All My Life,ODESZA,192266,chillwave,0.303,0.68,9.0,-5.318,1.0,0.0731,0.547,0.929,0.872,0.0397,118.581,audio_features,6txjv1bYloEaQ65SainV1Y,spotify:track:6txjv1bYloEaQ65SainV1Y,https://api.spotify.com/v1/tracks/6txjv1bYloEaQ65SainV1Y,https://api.spotify.com/v1/audio-analysis/6txjv1bYloEaQ65SainV1Y,192267.0,3.0
Blood,Chrome Sparks,3808566,chillwave,0.593,0.529,1.0,-6.694,0.0,0.0313,0.435,1.43e-06,0.129,0.682,89.915,audio_features,6qGyxIijWIscsjxHLZBLhG,spotify:track:6qGyxIijWIscsjxHLZBLhG,https://api.spotify.com/v1/tracks/6qGyxIijWIscsjxHLZBLhG,https://api.spotify.com/v1/audio-analysis/6qGyxIijWIscsjxHLZBLhG,161240.0,4.0
Bloom,ODESZA,202556,chillwave,0.555,0.585,2.0,-6.672,1.0,0.0272,0.0149,0.86,0.0707,0.0803,130.004,audio_features,0vtX8UMG38p7IXpP4lZJ2z,spotify:track:0vtX8UMG38p7IXpP4lZJ2z,https://api.spotify.com/v1/tracks/0vtX8UMG38p7IXpP4lZJ2z,https://api.spotify.com/v1/audio-analysis/0vtX8UMG38p7IXpP4lZJ2z,195692.0,4.0
Falls (feat. Sasha Alex Sloan),ODESZA,232936,chillwave,0.797,0.78,10.0,-8.943,0.0,0.184,0.478,0.896,0.379,0.207,123.997,audio_features,3Q8N40f3RvtQoaPnEwYj6d,spotify:track:3Q8N40f3RvtQoaPnEwYj6d,https://api.spotify.com/v1/tracks/3Q8N40f3RvtQoaPnEwYj6d,https://api.spotify.com/v1/audio-analysis/3Q8N40f3RvtQoaPnEwYj6d,305806.0,4.0
How Did I Get Here,ODESZA,131250,chillwave,0.707,0.579,0.0,-6.198,0.0,0.0293,0.384,0.72,0.408,0.357,96.062,audio_features,4aJnMRNeuDZSQN7FaSNGtM,spotify:track:4aJnMRNeuDZSQN7FaSNGtM,https://api.spotify.com/v1/tracks/4aJnMRNeuDZSQN7FaSNGtM,https://api.spotify.com/v1/audio-analysis/4aJnMRNeuDZSQN7FaSNGtM,131250.0,4.0
If There's Time,ODESZA,196000,chillwave,0.47,0.633,10.0,-9.323,0.0,0.0323,0.0016,0.00453,0.257,0.149,140.12,audio_features,1a5Hi6hk75ftgzAVMkj5Lw,spotify:track:1a5Hi6hk75ftgzAVMkj5Lw,https://api.spotify.com/v1/tracks/1a5Hi6hk75ftgzAVMkj5Lw,https://api.spotify.com/v1/audio-analysis/1a5Hi6hk75ftgzAVMkj5Lw,196000.0,4.0
Keep Her Close,ODESZA,214153,chillwave,0.484,0.844,9.0,-6.096,0.0,0.0479,0.0332,0.0319,0.22,0.49,130.062,audio_features,0XhFy7NAFb8b1grm26Xwh2,spotify:track:0XhFy7NAFb8b1grm26Xwh2,https://api.spotify.com/v1/tracks/0XhFy7NAFb8b1grm26Xwh2,https://api.spotify.com/v1/audio-analysis/0XhFy7NAFb8b1grm26Xwh2,214154.0,4.0
Kusanagi,ODESZA,208000,chillwave,0.335,0.33,0.0,-8.302,1.0,0.031,0.472,0.41,0.164,0.04,75.07,audio_features,3i2Q3cFdFzJ39nV9sAt3Pc,spotify:track:3i2Q3cFdFzJ39nV9sAt3Pc,https://api.spotify.com/v1/tracks/3i2Q3cFdFzJ39nV9sAt3Pc,https://api.spotify.com/v1/audio-analysis/3i2Q3cFdFzJ39nV9sAt3Pc,208000.0,4.0
Late Night,ODESZA,456150,chillwave,0.612,0.628,2.0,-6.754,1.0,0.0752,0.0358,0.00898,0.193,0.434,125.043,audio_features,5Nu5Uyoauauy9LFePYL1Z3,spotify:track:5Nu5Uyoauauy9LFePYL1Z3,https://api.spotify.com/v1/tracks/5Nu5Uyoauauy9LFePYL1Z3,https://api.spotify.com/v1/audio-analysis/5Nu5Uyoauauy9LFePYL1Z3,228155.0,4.0
Maybes - RAC Mix,Giraffage,51538,chillwave,0.569,0.791,6.0,-6.757,1.0,0.0355,0.143,0.655,0.109,0.298,139.78,audio_features,2QbTsEUF97LixvDbyKUdCj,spotify:track:2QbTsEUF97LixvDbyKUdCj,https://api.spotify.com/v1/tracks/2QbTsEUF97LixvDbyKUdCj,https://api.spotify.com/v1/audio-analysis/2QbTsEUF97LixvDbyKUdCj,234971.0,4.0
My Friends Never Die,ODESZA,171500,chillwave,0.489,0.595,4.0,-8.106,0.0,0.0374,0.00439,0.878,0.0855,0.56,170.05,audio_features,2eMh8ISgK9dylE51SJUixA,spotify:track:2eMh8ISgK9dylE51SJUixA,https://api.spotify.com/v1/tracks/2eMh8ISgK9dylE51SJUixA,https://api.spotify.com/v1/audio-analysis/2eMh8ISgK9dylE51SJUixA,171500.0,4.0
This Version Of You (feat. Julianna Barwick),ODESZA,171785,chillwave,0.671,0.666,6.0,-9.968,0.0,0.0284,0.0036,0.339,0.226,0.126,123.994,audio_features,77ENvLDRWHladlRZJ8L7Y3,spotify:track:77ENvLDRWHladlRZJ8L7Y3,https://api.spotify.com/v1/tracks/77ENvLDRWHladlRZJ8L7Y3,https://api.spotify.com/v1/audio-analysis/77ENvLDRWHladlRZJ8L7Y3,309663.0,4.0
