trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
01:22,colours in the dark,516640,lo-fi sleep,0.62,0.122,2.0,-19.47,0.0,0.0428,0.967,0.963,0.0726,0.0502,72.019,audio_features,3mZxGT3FA0vICzX4owzYGq,spotify:track:3mZxGT3FA0vICzX4owzYGq,https://api.spotify.com/v1/tracks/3mZxGT3FA0vICzX4owzYGq,https://api.spotify.com/v1/audio-analysis/3mZxGT3FA0vICzX4owzYGq,129160.0,3.0
cozy blanket,kairos,276922,lo-fi sleep,0.357,0.0675,2.0,-22.515,1.0,0.0342,0.979,0.913,0.06,0.125,130.047,audio_features,6ZYTXqGNXsu6bqL1P8mgxt,spotify:track:6ZYTXqGNXsu6bqL1P8mgxt,https://api.spotify.com/v1/tracks/6ZYTXqGNXsu6bqL1P8mgxt,https://api.spotify.com/v1/audio-analysis/6ZYTXqGNXsu6bqL1P8mgxt,138462.0,4.0
gentle snow,kairos,543000,lo-fi sleep,0.566,0.212,6.0,-19.451,1.0,0.0505,0.947,0.918,0.155,0.188,130.02,audio_features,2mEk3YZ2CdsJBySy2b1AgD,spotify:track:2mEk3YZ2CdsJBySy2b1AgD,https://api.spotify.com/v1/tracks/2mEk3YZ2CdsJBySy2b1AgD,https://api.spotify.com/v1/audio-analysis/2mEk3YZ2CdsJBySy2b1AgD,181000.0,4.0
one year has passed (look at all we've been through),colours in the dark,564000,lo-fi sleep,0.528,0.0887,7.0,-22.654,1.0,0.0392,0.906,0.913,0.0891,0.058,119.995,audio_features,40MySZuE1XLm9ytnL3qDqy,spotify:track:40MySZuE1XLm9ytnL3qDqy,https://api.spotify.com/v1/tracks/40MySZuE1XLm9ytnL3qDqy,https://api.spotify.com/v1/audio-analysis/40MySZuE1XLm9ytnL3qDqy,141000.0,4.0
powder,kairos,540000,lo-fi sleep,0.566,0.0848,10.0,-22.699,1.0,0.0352,0.893,0.919,0.101,0.0772,126.031,audio_features,1cM5ZxP4h3TC1BH7auvZTE,spotify:track:1cM5ZxP4h3TC1BH7auvZTE,https://api.spotify.com/v1/tracks/1cM5ZxP4h3TC1BH7auvZTE,https://api.spotify.com/v1/audio-analysis/1cM5ZxP4h3TC1BH7auvZTE,180000.0,4.0
snowfall,kairos,427500,lo-fi sleep,0.492,0.0511,2.0,-23.325,1.0,0.0315,0.979,0.915,0.0948,0.0584,128.159,audio_features,0JJOMTq5ct7VdYlimQ7pJL,spotify:track:0JJOMTq5ct7VdYlimQ7pJL,https://api.spotify.com/v1/tracks/0JJOMTq5ct7VdYlimQ7pJL,https://api.spotify.com/v1/audio-analysis/0JJOMTq5ct7VdYlimQ7pJL,213750.0,4.0
the night is just humming,96 Zeus,252502,lo-fi sleep,0.681,0.0663,3.0,-29.287,1.0,0.0419,0.991,0.972,0.106,0.161,79.967,audio_features,0giBb5q4vwZi6Zn6BviLgI,spotify:track:0giBb5q4vwZi6Zn6BviLgI,https://api.spotify.com/v1/tracks/0giBb5q4vwZi6Zn6BviLgI,https://api.spotify.com/v1/audio-analysis/0giBb5q4vwZi6Zn6BviLgI,126252.0,3.0
À Deriva,colours in the dark,340614,lo-fi sleep,0.552,0.139,3.0,-23.934,0.0,0.0301,0.924,0.913,0.321,0.131,130.04,audio_features,6xU5ky93riHj0PEElwZy2n,spotify:track:6xU5ky93riHj0PEElwZy2n,https://api.spotify.com/v1/tracks/6xU5ky93riHj0PEElwZy2n,https://api.spotify.com/v1/audio-analysis/6xU5ky93riHj0PEElwZy2n,170308.0,4.0
Childhood Memories,Corey J. Beats,531060,lo-fi sleep,0.502,0.0687,0.0,-22.779,1.0,0.0317,0.949,0.92,0.0986,0.118,119.97,audio_features,1KU1h4FO5hvSMMWWYJZm22,spotify:track:1KU1h4FO5hvSMMWWYJZm22,https://api.spotify.com/v1/tracks/1KU1h4FO5hvSMMWWYJZm22,https://api.spotify.com/v1/audio-analysis/1KU1h4FO5hvSMMWWYJZm22,177021.0,4.0
Conscious Sleep,Krynoze,245664,lo-fi sleep,0.5,0.13,2.0,-21.538,0.0,0.0463,0.934,0.879,0.334,0.0385,64.013,audio_features,5VKciY7jDqADwrYgwDod8t,spotify:track:5VKciY7jDqADwrYgwDod8t,https://api.spotify.com/v1/tracks/5VKciY7jDqADwrYgwDod8t,https://api.spotify.com/v1/audio-analysis/5VKciY7jDqADwrYgwDod8t,122832.0,4.0
Cradled by the Sea,Lenny Loops,468000,lo-fi sleep,0.477,0.0629,0.0,-24.232,0.0,0.0382,0.872,0.903,0.132,0.0784,120.02,audio_features,348it0K9N5pMERlgo0MHRF,spotify:track:348it0K9N5pMERlgo0MHRF,https://api.spotify.com/v1/tracks/348it0K9N5pMERlgo0MHRF,https://api.spotify.com/v1/audio-analysis/348it0K9N5pMERlgo0MHRF,156000.0,4.0
Dismal Smile,Krynoze,233842,lo-fi sleep,0.599,0.109,5.0,-22.396,1.0,0.0396,0.953,0.94,0.116,0.0874,133.937,audio_features,5kzwRr1EKDrupiOySWTgTc,spotify:track:5kzwRr1EKDrupiOySWTgTc,https://api.spotify.com/v1/tracks/5kzwRr1EKDrupiOySWTgTc,https://api.spotify.com/v1/audio-analysis/5kzwRr1EKDrupiOySWTgTc,116922.0,4.0
Ease Your Mind,Dimension 32,285500,lo-fi sleep,0.687,0.17,10.0,-16.478,1.0,0.0304,0.897,0.885,0.115,0.116,120.01,audio_features,6js2oxYoTCQFsoW8bV2oL0,spotify:track:6js2oxYoTCQFsoW8bV2oL0,https://api.spotify.com/v1/tracks/6js2oxYoTCQFsoW8bV2oL0,https://api.spotify.com/v1/audio-analysis/6js2oxYoTCQFsoW8bV2oL0,142750.0,4.0
Essence of the Forest,Mondo Loops,168000,lo-fi sleep,0.702,0.154,7.0,-17.943,1.0,0.0527,0.786,0.858,0.112,0.416,131.961,audio_features,1wFGZZgPRBDnyfeJPOxuES,spotify:track:1wFGZZgPRBDnyfeJPOxuES,https://api.spotify.com/v1/tracks/1wFGZZgPRBDnyfeJPOxuES,https://api.spotify.com/v1/audio-analysis/1wFGZZgPRBDnyfeJPOxuES,168000.0,4.0
Fallin' Asleep,Dimension 32,309190,lo-fi sleep,0.454,0.0834,0.0,-21.809,1.0,0.0343,0.942,0.883,0.101,0.0791,147.928,audio_features,6vKcePDnMxOGChJYEOzu91,spotify:track:6vKcePDnMxOGChJYEOzu91,https://api.spotify.com/v1/tracks/6vKcePDnMxOGChJYEOzu91,https://api.spotify.com/v1/audio-analysis/6vKcePDnMxOGChJYEOzu91,154595.0,4.0
Fast Asleep,Corey J. Beats,435543,lo-fi sleep,0.494,0.06,0.0,-26.011,1.0,0.0372,0.943,0.9,0.0839,0.0353,61.992,audio_features,1wrUZ93D3xYNxf3ujAnRBU,spotify:track:1wrUZ93D3xYNxf3ujAnRBU,https://api.spotify.com/v1/tracks/1wrUZ93D3xYNxf3ujAnRBU,https://api.spotify.com/v1/audio-analysis/1wrUZ93D3xYNxf3ujAnRBU,145181.0,4.0
Fire Camp,Dimension 32,434928,lo-fi sleep,0.575,0.146,7.0,-20.354,1.0,0.0311,0.961,0.883,0.108,0.1,92.044,audio_features,6WvmloHN8cSPkrbQKtpc3b,spotify:track:6WvmloHN8cSPkrbQKtpc3b,https://api.spotify.com/v1/tracks/6WvmloHN8cSPkrbQKtpc3b,https://api.spotify.com/v1/audio-analysis/6WvmloHN8cSPkrbQKtpc3b,144976.0,4.0
Free Spirit,Dimension 32,326466,lo-fi sleep,0.577,0.211,6.0,-16.601,1.0,0.0423,0.985,0.829,0.172,0.0399,96.009,audio_features,3KRIJxNN7D1efRaGNKbbuk,spotify:track:3KRIJxNN7D1efRaGNKbbuk,https://api.spotify.com/v1/tracks/3KRIJxNN7D1efRaGNKbbuk,https://api.spotify.com/v1/audio-analysis/3KRIJxNN7D1efRaGNKbbuk,163233.0,4.0
Funambule,Dimension 32,344560,lo-fi sleep,0.642,0.191,4.0,-15.986,1.0,0.0377,0.987,0.818,0.105,0.0779,125.987,audio_features,71VA9K04DjVSdXpHFqML2s,spotify:track:71VA9K04DjVSdXpHFqML2s,https://api.spotify.com/v1/tracks/71VA9K04DjVSdXpHFqML2s,https://api.spotify.com/v1/audio-analysis/71VA9K04DjVSdXpHFqML2s,172281.0,4.0
Gone,Dimension 32,277714,lo-fi sleep,0.528,0.197,4.0,-13.592,0.0,0.0295,0.974,0.864,0.0919,0.169,140.28,audio_features,6UevhXcN2ISs6SS8oJOM1n,spotify:track:6UevhXcN2ISs6SS8oJOM1n,https://api.spotify.com/v1/tracks/6UevhXcN2ISs6SS8oJOM1n,https://api.spotify.com/v1/audio-analysis/6UevhXcN2ISs6SS8oJOM1n,138857.0,4.0
Insomnia Dream,colours in the dark,648000,lo-fi sleep,0.488,0.174,2.0,-18.624,0.0,0.0277,0.918,0.947,0.84,0.123,100.022,audio_features,1wkD1pgESRrQysLpioCew3,spotify:track:1wkD1pgESRrQysLpioCew3,https://api.spotify.com/v1/tracks/1wkD1pgESRrQysLpioCew3,https://api.spotify.com/v1/audio-analysis/1wkD1pgESRrQysLpioCew3,162000.0,4.0
Lisergia,colours in the dark,332154,lo-fi sleep,0.435,0.133,1.0,-23.796,1.0,0.0431,0.813,0.913,0.42,0.114,107.992,audio_features,64cJzItg1k1j7ILw9txYYz,spotify:track:64cJzItg1k1j7ILw9txYYz,https://api.spotify.com/v1/tracks/64cJzItg1k1j7ILw9txYYz,https://api.spotify.com/v1/audio-analysis/64cJzItg1k1j7ILw9txYYz,166078.0,4.0
