trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
143,Josh Golden,3799565,la pop,0.652,0.713,6.0,-8.331,0.0,0.105,0.413,0.0048,0.265,0.692,156.031,audio_features,5nx28cE13vK0gko3qjPkQK,spotify:track:5nx28cE13vK0gko3qjPkQK,https://api.spotify.com/v1/tracks/5nx28cE13vK0gko3qjPkQK,https://api.spotify.com/v1/audio-analysis/5nx28cE13vK0gko3qjPkQK,187885.0,4.0
dancing in the kitchen,LANY,2331787,la pop,0.646,0.736,11.0,-7.658,1.0,0.0396,0.0334,0.0,0.0807,0.28,94.024,audio_features,2VhY69P0Q15rHfEKaMlR5x,spotify:track:2VhY69P0Q15rHfEKaMlR5x,https://api.spotify.com/v1/tracks/2VhY69P0Q15rHfEKaMlR5x,https://api.spotify.com/v1/audio-analysis/2VhY69P0Q15rHfEKaMlR5x,208809.0,4.0
dying together,Josh Golden,4088433,la pop,0.794,0.528,11.0,-6.983,0.0,0.0403,0.697,0.00118,0.22,0.581,95.072,audio_features,4rT2YF1iXeCemJhhee2pQN,spotify:track:4rT2YF1iXeCemJhhee2pQN,https://api.spotify.com/v1/tracks/4rT2YF1iXeCemJhhee2pQN,https://api.spotify.com/v1/audio-analysis/4rT2YF1iXeCemJhhee2pQN,156217.0,4.0
ex i never had,LANY,1051870,la pop,0.65,0.388,10.0,-7.065,1.0,0.0332,0.306,0.0,0.114,0.628,96.001,audio_features,1NAyq9TrQIpLHWStUX4xAQ,spotify:track:1NAyq9TrQIpLHWStUX4xAQ,https://api.spotify.com/v1/tracks/1NAyq9TrQIpLHWStUX4xAQ,https://api.spotify.com/v1/audio-analysis/1NAyq9TrQIpLHWStUX4xAQ,201442.0,4.0
happysad,Josh Golden,206579,la pop,0.73,0.4,8.0,-7.062,1.0,0.0613,0.0346,0.00222,0.256,0.487,83.509,audio_features,5NG9pVD8oClwcxeIHNXpBd,spotify:track:5NG9pVD8oClwcxeIHNXpBd,https://api.spotify.com/v1/tracks/5NG9pVD8oClwcxeIHNXpBd,https://api.spotify.com/v1/audio-analysis/5NG9pVD8oClwcxeIHNXpBd,174038.0,4.0
heaven come,Josh Golden,4863376,la pop,0.8,0.54,5.0,-7.539,1.0,0.0417,0.181,0.285,0.115,0.502,119.983,audio_features,1GLn6QTiwZVyFksUlZUV0P,spotify:track:1GLn6QTiwZVyFksUlZUV0P,https://api.spotify.com/v1/tracks/1GLn6QTiwZVyFksUlZUV0P,https://api.spotify.com/v1/audio-analysis/1GLn6QTiwZVyFksUlZUV0P,176228.0,4.0
hurt people,Josh Golden,356316,la pop,0.794,0.596,1.0,-5.82,0.0,0.126,0.434,8.92e-05,0.179,0.33,91.973,audio_features,2Ylrq2Qhtj3bWr1QeTSvls,spotify:track:2Ylrq2Qhtj3bWr1QeTSvls,https://api.spotify.com/v1/tracks/2Ylrq2Qhtj3bWr1QeTSvls,https://api.spotify.com/v1/audio-analysis/2Ylrq2Qhtj3bWr1QeTSvls,163859.0,4.0
love me blind,Josh Golden,341517,la pop,0.371,0.565,1.0,-7.222,1.0,0.0427,0.0643,0.00319,0.35,0.068,113.385,audio_features,6zo4vzjKdiVHQj83e7FjxC,spotify:track:6zo4vzjKdiVHQj83e7FjxC,https://api.spotify.com/v1/tracks/6zo4vzjKdiVHQj83e7FjxC,https://api.spotify.com/v1/audio-analysis/6zo4vzjKdiVHQj83e7FjxC,209736.0,5.0
mama i'm so sorry..,Josh Golden,624688,la pop,0.623,0.609,11.0,-3.827,0.0,0.0345,0.437,0.0,0.0888,0.217,105.137,audio_features,3nvO8e555P44mjEfdiP9p7,spotify:track:3nvO8e555P44mjEfdiP9p7,https://api.spotify.com/v1/tracks/3nvO8e555P44mjEfdiP9p7,https://api.spotify.com/v1/audio-analysis/3nvO8e555P44mjEfdiP9p7,151146.0,4.0
"never mind, let's break up",LANY,798229,la pop,0.658,0.74,7.0,-6.631,1.0,0.0331,0.0992,0.0,0.186,0.285,101.026,audio_features,3uwqqyI7wOt14iz5aWglZb,spotify:track:3uwqqyI7wOt14iz5aWglZb,https://api.spotify.com/v1/tracks/3uwqqyI7wOt14iz5aWglZb,https://api.spotify.com/v1/audio-analysis/3uwqqyI7wOt14iz5aWglZb,162316.0,4.0
nobody else,LANY,10289176,la pop,0.569,0.291,0.0,-14.509,1.0,0.043,0.744,0.0,0.137,0.313,151.659,audio_features,7GLBqDKAJLCLIsj2GEDkSw,spotify:track:7GLBqDKAJLCLIsj2GEDkSw,https://api.spotify.com/v1/tracks/7GLBqDKAJLCLIsj2GEDkSw,https://api.spotify.com/v1/audio-analysis/7GLBqDKAJLCLIsj2GEDkSw,197480.0,4.0
purple circles,Jades Goudreault,200807,la pop,0.58,0.474,1.0,-13.952,0.0,0.2,0.791,2.48e-05,0.141,0.369,119.908,audio_features,2XetkGYnzGVJKcw467pqKA,spotify:track:2XetkGYnzGVJKcw467pqKA,https://api.spotify.com/v1/tracks/2XetkGYnzGVJKcw467pqKA,https://api.spotify.com/v1/audio-analysis/2XetkGYnzGVJKcw467pqKA,212010.0,4.0
used to,Josh Golden,18958528,la pop,0.622,0.723,7.0,-5.219,0.0,0.0509,0.396,0.0,0.61,0.436,139.958,audio_features,5vF8nrR4e8V8Rj2itbrC9B,spotify:track:5vF8nrR4e8V8Rj2itbrC9B,https://api.spotify.com/v1/tracks/5vF8nrR4e8V8Rj2itbrC9B,https://api.spotify.com/v1/audio-analysis/5vF8nrR4e8V8Rj2itbrC9B,181090.0,4.0
you don't love me,Josh Golden,4354737,la pop,0.535,0.398,9.0,-7.864,0.0,0.0564,0.595,0.0,0.249,0.732,201.556,audio_features,5ZgwB1cOswiOfKY9qi1D2r,spotify:track:5ZgwB1cOswiOfKY9qi1D2r,https://api.spotify.com/v1/tracks/5ZgwB1cOswiOfKY9qi1D2r,https://api.spotify.com/v1/audio-analysis/5ZgwB1cOswiOfKY9qi1D2r,162585.0,4.0
Black Dress,Josh Golden,588516,la pop,0.832,0.408,5.0,-9.208,1.0,0.0457,0.252,1.5e-05,0.133,0.299,132.971,audio_features,5zB8z2lhlHDEADHqgIkNYo,spotify:track:5zB8z2lhlHDEADHqgIkNYo,https://api.spotify.com/v1/tracks/5zB8z2lhlHDEADHqgIkNYo,https://api.spotify.com/v1/audio-analysis/5zB8z2lhlHDEADHqgIkNYo,152785.0,4.0
Body Bag (w/ Ethan Tasch),Peter Fenn,705465,la pop,0.73,0.468,3.0,-8.698,1.0,0.0759,0.376,5.01e-06,0.35,0.652,91.942,audio_features,1x6xmj2HRJDYJB94sgzkpp,spotify:track:1x6xmj2HRJDYJB94sgzkpp,https://api.spotify.com/v1/tracks/1x6xmj2HRJDYJB94sgzkpp,https://api.spotify.com/v1/audio-analysis/1x6xmj2HRJDYJB94sgzkpp,141094.0,4.0
California,Stephen,3359240,la pop,0.235,0.592,4.0,-6.487,0.0,0.0779,0.64,0.0223,0.112,0.146,78.536,audio_features,7uaOlb01lshT82oRgPL7fK,spotify:track:7uaOlb01lshT82oRgPL7fK,https://api.spotify.com/v1/tracks/7uaOlb01lshT82oRgPL7fK,https://api.spotify.com/v1/audio-analysis/7uaOlb01lshT82oRgPL7fK,235200.0,4.0
Cold Sweat,Axel Mansoor,3599875,la pop,0.732,0.34,0.0,-9.769,1.0,0.376,0.455,0.0,0.212,0.34,145.02,audio_features,0mvIqnPTy01sQ8EM84ckJ1,spotify:track:0mvIqnPTy01sQ8EM84ckJ1,https://api.spotify.com/v1/tracks/0mvIqnPTy01sQ8EM84ckJ1,https://api.spotify.com/v1/audio-analysis/0mvIqnPTy01sQ8EM84ckJ1,151974.0,4.0
Elephant In The Room,Confetti,159036,la pop,0.605,0.619,0.0,-4.691,1.0,0.148,0.0102,0.0,0.164,0.796,166.018,audio_features,1cmkY5LNyHpESfwiQ1SH9v,spotify:track:1cmkY5LNyHpESfwiQ1SH9v,https://api.spotify.com/v1/tracks/1cmkY5LNyHpESfwiQ1SH9v,https://api.spotify.com/v1/audio-analysis/1cmkY5LNyHpESfwiQ1SH9v,159036.0,4.0
Everything's Good - slowed + reverb,Phil Good,71163,la pop,0.681,0.549,1.0,-9.275,0.0,0.0606,0.514,0.00185,0.113,0.485,200.011,audio_features,7AlaXfx2sqPDyv5iTnVJVf,spotify:track:7AlaXfx2sqPDyv5iTnVJVf,https://api.spotify.com/v1/tracks/7AlaXfx2sqPDyv5iTnVJVf,https://api.spotify.com/v1/audio-analysis/7AlaXfx2sqPDyv5iTnVJVf,227106.0,4.0
Falling,Phil Good,1873444,la pop,0.635,0.762,10.0,-6.784,1.0,0.0621,0.565,3.13e-05,0.0953,0.295,157.027,audio_features,4jeBx7Xm7zwmRx28Ysfevw,spotify:track:4jeBx7Xm7zwmRx28Ysfevw,https://api.spotify.com/v1/tracks/4jeBx7Xm7zwmRx28Ysfevw,https://api.spotify.com/v1/audio-analysis/4jeBx7Xm7zwmRx28Ysfevw,170310.0,4.0
Far Away,Peter Fenn,131937,la pop,0.806,0.493,8.0,-8.847,1.0,0.0348,0.493,0.0,0.107,0.454,110.078,audio_features,0HKzYLiNdTdGFfgStbfpQV,spotify:track:0HKzYLiNdTdGFfgStbfpQV,https://api.spotify.com/v1/tracks/0HKzYLiNdTdGFfgStbfpQV,https://api.spotify.com/v1/audio-analysis/0HKzYLiNdTdGFfgStbfpQV,131937.0,4.0
Fly Down,Stephen,3517513,la pop,0.692,0.412,0.0,-6.72,0.0,0.38,0.764,8.84e-06,0.116,0.06,87.025,audio_features,7aBWUHQtmHKQJU7CM0HFW1,spotify:track:7aBWUHQtmHKQJU7CM0HFW1,https://api.spotify.com/v1/tracks/7aBWUHQtmHKQJU7CM0HFW1,https://api.spotify.com/v1/audio-analysis/7aBWUHQtmHKQJU7CM0HFW1,197045.0,4.0
Ghost,Magdalena Bay,0,la pop,0.791,0.806,5.0,-4.191,0.0,0.0296,0.0165,0.0973,0.109,0.859,114.981,audio_features,6NhwQKQbh3na3Drn5MVAPK,spotify:track:6NhwQKQbh3na3Drn5MVAPK,https://api.spotify.com/v1/tracks/6NhwQKQbh3na3Drn5MVAPK,https://api.spotify.com/v1/audio-analysis/6NhwQKQbh3na3Drn5MVAPK,185739.0,4.0
Haunt You (feat. chloe moriondo),X Lovers,167320,la pop,0.582,0.527,3.0,-7.658,1.0,0.0372,0.547,0.0,0.498,0.446,100.926,audio_features,185cmBOExC1AHWe3xrbmQ8,spotify:track:185cmBOExC1AHWe3xrbmQ8,https://api.spotify.com/v1/tracks/185cmBOExC1AHWe3xrbmQ8,https://api.spotify.com/v1/audio-analysis/185cmBOExC1AHWe3xrbmQ8,167320.0,4.0
"I Love You, But..",Josh Golden,3644305,la pop,0.745,0.72,2.0,-4.354,0.0,0.0419,0.217,1.07e-06,0.106,0.658,139.971,audio_features,0kh7FgvC8qMXvie4En98mn,spotify:track:0kh7FgvC8qMXvie4En98mn,https://api.spotify.com/v1/tracks/0kh7FgvC8qMXvie4En98mn,https://api.spotify.com/v1/audio-analysis/0kh7FgvC8qMXvie4En98mn,140879.0,4.0
I Never Stay In Love,Stephen,3477963,la pop,0.47,0.532,0.0,-7.921,0.0,0.302,0.7,0.000761,0.179,0.509,173.702,audio_features,5cO0rXAZioDhq1SkhMk5Qp,spotify:track:5cO0rXAZioDhq1SkhMk5Qp,https://api.spotify.com/v1/tracks/5cO0rXAZioDhq1SkhMk5Qp,https://api.spotify.com/v1/audio-analysis/5cO0rXAZioDhq1SkhMk5Qp,244800.0,4.0
Living With No One,Phil Good,5447739,la pop,0.938,0.405,6.0,-6.017,1.0,0.0465,0.205,1.41e-05,0.124,0.799,100.042,audio_features,7imMaU3xinJn9QQITBDMwQ,spotify:track:7imMaU3xinJn9QQITBDMwQ,https://api.spotify.com/v1/tracks/7imMaU3xinJn9QQITBDMwQ,https://api.spotify.com/v1/audio-analysis/7imMaU3xinJn9QQITBDMwQ,173667.0,4.0
Love Sucks,Annika Wells,2178209,la pop,0.576,0.403,3.0,-8.849,0.0,0.08,0.68,0.0,0.527,0.279,139.15,audio_features,1aXOa3ExoCzxnSxCGkREiv,spotify:track:1aXOa3ExoCzxnSxCGkREiv,https://api.spotify.com/v1/tracks/1aXOa3ExoCzxnSxCGkREiv,https://api.spotify.com/v1/audio-analysis/1aXOa3ExoCzxnSxCGkREiv,154578.0,4.0
Malibu Nights,LANY,2864603,la pop,0.559,0.422,11.0,-11.89,1.0,0.195,0.701,1.99e-06,0.0853,0.191,74.002,audio_features,0Eqg0CQ7bK3RQIMPw1A7pl,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,https://api.spotify.com/v1/tracks/0Eqg0CQ7bK3RQIMPw1A7pl,https://api.spotify.com/v1/audio-analysis/0Eqg0CQ7bK3RQIMPw1A7pl,286928.0,4.0
Nights Like These,Will Jay,2172239,la pop,0.652,0.608,11.0,-5.656,1.0,0.054,0.188,5.81e-06,0.397,0.416,127.984,audio_features,3YmGQDtq6Ov8cnhssVJiEQ,spotify:track:3YmGQDtq6Ov8cnhssVJiEQ,https://api.spotify.com/v1/tracks/3YmGQDtq6Ov8cnhssVJiEQ,https://api.spotify.com/v1/audio-analysis/3YmGQDtq6Ov8cnhssVJiEQ,238111.0,4.0
Nights Like This,Josh Golden,428331,la pop,0.629,0.384,0.0,-7.708,1.0,0.0257,0.772,0.0,0.135,0.435,107.898,audio_features,41UhyBzOfsI1mqBviJq6AN,spotify:track:41UhyBzOfsI1mqBviJq6AN,https://api.spotify.com/v1/tracks/41UhyBzOfsI1mqBviJq6AN,https://api.spotify.com/v1/audio-analysis/41UhyBzOfsI1mqBviJq6AN,142778.0,4.0
OH NO!,Cody Lovaas,171185,la pop,0.722,0.398,7.0,-5.465,0.0,0.0857,0.206,1.39e-06,0.207,0.644,82.986,audio_features,7LiGptffUbVAtbxzQnvBi9,spotify:track:7LiGptffUbVAtbxzQnvBi9,https://api.spotify.com/v1/tracks/7LiGptffUbVAtbxzQnvBi9,https://api.spotify.com/v1/audio-analysis/7LiGptffUbVAtbxzQnvBi9,171186.0,4.0
Rainbows,Stephen,2096907,la pop,0.381,0.234,9.0,-10.604,1.0,0.0422,0.506,0.00767,0.13,0.107,127.763,audio_features,458tTHiuxYQsFtdMzUlWDa,spotify:track:458tTHiuxYQsFtdMzUlWDa,https://api.spotify.com/v1/tracks/458tTHiuxYQsFtdMzUlWDa,https://api.spotify.com/v1/audio-analysis/458tTHiuxYQsFtdMzUlWDa,242400.0,4.0
Remembering Myself,Stephen,2199067,la pop,0.6,0.782,9.0,-3.033,0.0,0.187,0.168,0.0,0.0443,0.494,149.877,audio_features,1bxC2M337HfYDOr6Dx5rlW,spotify:track:1bxC2M337HfYDOr6Dx5rlW,https://api.spotify.com/v1/tracks/1bxC2M337HfYDOr6Dx5rlW,https://api.spotify.com/v1/audio-analysis/1bxC2M337HfYDOr6Dx5rlW,210075.0,4.0
Rob A Bank,Confetti,1262668,la pop,0.647,0.815,1.0,-3.87,0.0,0.26,0.00598,0.0,0.0955,0.59,152.154,audio_features,4DZ1owekDuxYANUMiqe4mA,spotify:track:4DZ1owekDuxYANUMiqe4mA,https://api.spotify.com/v1/tracks/4DZ1owekDuxYANUMiqe4mA,https://api.spotify.com/v1/audio-analysis/4DZ1owekDuxYANUMiqe4mA,173684.0,4.0
Rockstar,Josh Golden,579525,la pop,0.659,0.646,0.0,-9.066,1.0,0.0315,0.324,0.00102,0.334,0.582,139.955,audio_features,2LKFIVvy78M91k0yYX9Yki,spotify:track:2LKFIVvy78M91k0yYX9Yki,https://api.spotify.com/v1/tracks/2LKFIVvy78M91k0yYX9Yki,https://api.spotify.com/v1/audio-analysis/2LKFIVvy78M91k0yYX9Yki,194014.0,4.0
Stay High,Annika Wells,412960,la pop,0.616,0.654,5.0,-5.538,1.0,0.0564,0.0487,0.0,0.113,0.274,153.901,audio_features,5VnejRpSUcb3LQootEXzJh,spotify:track:5VnejRpSUcb3LQootEXzJh,https://api.spotify.com/v1/tracks/5VnejRpSUcb3LQootEXzJh,https://api.spotify.com/v1/audio-analysis/5VnejRpSUcb3LQootEXzJh,205714.0,4.0
Violets,Josh Golden,6244831,la pop,0.57,0.63,9.0,-6.151,0.0,0.0715,0.627,0.0,0.464,0.536,95.1,audio_features,3Ukt7NkeA9noJ8b0vU8sNO,spotify:track:3Ukt7NkeA9noJ8b0vU8sNO,https://api.spotify.com/v1/tracks/3Ukt7NkeA9noJ8b0vU8sNO,https://api.spotify.com/v1/audio-analysis/3Ukt7NkeA9noJ8b0vU8sNO,115263.0,4.0
Voyeur Girl,Stephen,2143955,la pop,0.598,0.262,8.0,-10.505,0.0,0.153,0.797,0.00135,0.174,0.141,100.281,audio_features,6Bwa70yQ1HzKx9CODkRcuk,spotify:track:6Bwa70yQ1HzKx9CODkRcuk,https://api.spotify.com/v1/tracks/6Bwa70yQ1HzKx9CODkRcuk,https://api.spotify.com/v1/audio-analysis/6Bwa70yQ1HzKx9CODkRcuk,169200.0,4.0
Wannabe,why mona,10306834,la pop,0.578,0.724,6.0,-7.02,0.0,0.0865,0.192,2.38e-05,0.235,0.465,169.827,audio_features,5ACZOGjT6I5He0pDZED56Z,spotify:track:5ACZOGjT6I5He0pDZED56Z,https://api.spotify.com/v1/tracks/5ACZOGjT6I5He0pDZED56Z,https://api.spotify.com/v1/audio-analysis/5ACZOGjT6I5He0pDZED56Z,217412.0,4.0
Wannabe - Sped Up Version,why mona,73878220,la pop,0.669,0.782,5.0,-6.827,0.0,0.105,0.317,0.000355,0.466,0.342,92.528,audio_features,6BP729RazoZBV8nrOUJI85,spotify:track:6BP729RazoZBV8nrOUJI85,https://api.spotify.com/v1/tracks/6BP729RazoZBV8nrOUJI85,https://api.spotify.com/v1/audio-analysis/6BP729RazoZBV8nrOUJI85,191892.0,4.0
143,Josh Golden,3799565,la pop,0.652,0.713,6.0,-8.331,0.0,0.105,0.413,0.0048,0.265,0.692,156.031,audio_features,5nx28cE13vK0gko3qjPkQK,spotify:track:5nx28cE13vK0gko3qjPkQK,https://api.spotify.com/v1/tracks/5nx28cE13vK0gko3qjPkQK,https://api.spotify.com/v1/audio-analysis/5nx28cE13vK0gko3qjPkQK,187885.0,4.0
dancing in the kitchen,LANY,2331787,la pop,0.646,0.736,11.0,-7.658,1.0,0.0396,0.0334,0.0,0.0807,0.28,94.024,audio_features,2VhY69P0Q15rHfEKaMlR5x,spotify:track:2VhY69P0Q15rHfEKaMlR5x,https://api.spotify.com/v1/tracks/2VhY69P0Q15rHfEKaMlR5x,https://api.spotify.com/v1/audio-analysis/2VhY69P0Q15rHfEKaMlR5x,208809.0,4.0
dying together,Josh Golden,4088433,la pop,0.794,0.528,11.0,-6.983,0.0,0.0403,0.697,0.00118,0.22,0.581,95.072,audio_features,4rT2YF1iXeCemJhhee2pQN,spotify:track:4rT2YF1iXeCemJhhee2pQN,https://api.spotify.com/v1/tracks/4rT2YF1iXeCemJhhee2pQN,https://api.spotify.com/v1/audio-analysis/4rT2YF1iXeCemJhhee2pQN,156217.0,4.0
ex i never had,LANY,1051870,la pop,0.65,0.388,10.0,-7.065,1.0,0.0332,0.306,0.0,0.114,0.628,96.001,audio_features,1NAyq9TrQIpLHWStUX4xAQ,spotify:track:1NAyq9TrQIpLHWStUX4xAQ,https://api.spotify.com/v1/tracks/1NAyq9TrQIpLHWStUX4xAQ,https://api.spotify.com/v1/audio-analysis/1NAyq9TrQIpLHWStUX4xAQ,201442.0,4.0
happysad,Josh Golden,206579,la pop,0.73,0.4,8.0,-7.062,1.0,0.0613,0.0346,0.00222,0.256,0.487,83.509,audio_features,5NG9pVD8oClwcxeIHNXpBd,spotify:track:5NG9pVD8oClwcxeIHNXpBd,https://api.spotify.com/v1/tracks/5NG9pVD8oClwcxeIHNXpBd,https://api.spotify.com/v1/audio-analysis/5NG9pVD8oClwcxeIHNXpBd,174038.0,4.0
heaven come,Josh Golden,4863376,la pop,0.8,0.54,5.0,-7.539,1.0,0.0417,0.181,0.285,0.115,0.502,119.983,audio_features,1GLn6QTiwZVyFksUlZUV0P,spotify:track:1GLn6QTiwZVyFksUlZUV0P,https://api.spotify.com/v1/tracks/1GLn6QTiwZVyFksUlZUV0P,https://api.spotify.com/v1/audio-analysis/1GLn6QTiwZVyFksUlZUV0P,176228.0,4.0
hurt people,Josh Golden,356316,la pop,0.794,0.596,1.0,-5.82,0.0,0.126,0.434,8.92e-05,0.179,0.33,91.973,audio_features,2Ylrq2Qhtj3bWr1QeTSvls,spotify:track:2Ylrq2Qhtj3bWr1QeTSvls,https://api.spotify.com/v1/tracks/2Ylrq2Qhtj3bWr1QeTSvls,https://api.spotify.com/v1/audio-analysis/2Ylrq2Qhtj3bWr1QeTSvls,163859.0,4.0
