trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Andira,Myríad,144000,lo-fi jazzhop,0.559,0.354,5.0,-15.523,0.0,0.108,0.895,0.864,0.113,0.371,79.933,audio_features,7lPd7B5SFhLVuXXutjGssF,spotify:track:7lPd7B5SFhLVuXXutjGssF,https://api.spotify.com/v1/tracks/7lPd7B5SFhLVuXXutjGssF,https://api.spotify.com/v1/audio-analysis/7lPd7B5SFhLVuXXutjGssF,144000.0,4.0
Artful Haze,Obie Hans,160043,lo-fi jazzhop,0.65,0.286,8.0,-16.552,1.0,0.0549,0.53,0.933,0.111,0.234,156.031,audio_features,0Xlthct8SOi0gAdnn2GbRT,spotify:track:0Xlthct8SOi0gAdnn2GbRT,https://api.spotify.com/v1/tracks/0Xlthct8SOi0gAdnn2GbRT,https://api.spotify.com/v1/audio-analysis/0Xlthct8SOi0gAdnn2GbRT,160044.0,4.0
Beachwalker,Liphe,178000,lo-fi jazzhop,0.681,0.417,2.0,-15.041,1.0,0.0502,0.668,0.861,0.287,0.197,153.987,audio_features,5v8lrqU6G94yVU6yudWXJs,spotify:track:5v8lrqU6G94yVU6yudWXJs,https://api.spotify.com/v1/tracks/5v8lrqU6G94yVU6yudWXJs,https://api.spotify.com/v1/audio-analysis/5v8lrqU6G94yVU6yudWXJs,178000.0,4.0
Chimes,Khutko,137561,lo-fi jazzhop,0.644,0.182,9.0,-19.706,0.0,0.0457,0.937,0.825,0.0864,0.162,81.959,audio_features,2VSqvrU69abZOkDRr6iQq3,spotify:track:2VSqvrU69abZOkDRr6iQq3,https://api.spotify.com/v1/tracks/2VSqvrU69abZOkDRr6iQq3,https://api.spotify.com/v1/audio-analysis/2VSqvrU69abZOkDRr6iQq3,137561.0,4.0
Curious Shadows,Obie Hans,168020,lo-fi jazzhop,0.768,0.27,7.0,-17.331,1.0,0.0743,0.725,0.931,0.11,0.285,160.062,audio_features,2afipVQcYOHwXFxrQdoCZW,spotify:track:2afipVQcYOHwXFxrQdoCZW,https://api.spotify.com/v1/tracks/2afipVQcYOHwXFxrQdoCZW,https://api.spotify.com/v1/audio-analysis/2afipVQcYOHwXFxrQdoCZW,168020.0,4.0
Floating Between,Obie Hans,161038,lo-fi jazzhop,0.643,0.284,1.0,-15.849,0.0,0.0548,0.63,0.91,0.182,0.428,83.008,audio_features,6nqOGykFeVWsM3Okw3V73C,spotify:track:6nqOGykFeVWsM3Okw3V73C,https://api.spotify.com/v1/tracks/6nqOGykFeVWsM3Okw3V73C,https://api.spotify.com/v1/audio-analysis/6nqOGykFeVWsM3Okw3V73C,161039.0,4.0
Isolation,RINZ.,109859,lo-fi jazzhop,0.715,0.186,8.0,-11.769,0.0,0.0902,0.793,0.893,0.106,0.232,70.988,audio_features,35VdcFcw4g1ZxMYW7Z7T9f,spotify:track:35VdcFcw4g1ZxMYW7Z7T9f,https://api.spotify.com/v1/tracks/35VdcFcw4g1ZxMYW7Z7T9f,https://api.spotify.com/v1/audio-analysis/35VdcFcw4g1ZxMYW7Z7T9f,109859.0,4.0
Iya Valley,Oaty.,106310,lo-fi jazzhop,0.548,0.384,6.0,-15.053,0.0,0.0331,0.0352,0.0728,0.146,0.766,146.974,audio_features,4xwcjhQKYRJX4yMcJQDivh,spotify:track:4xwcjhQKYRJX4yMcJQDivh,https://api.spotify.com/v1/tracks/4xwcjhQKYRJX4yMcJQDivh,https://api.spotify.com/v1/audio-analysis/4xwcjhQKYRJX4yMcJQDivh,106310.0,4.0
Mai Tai,Oaty.,159050,lo-fi jazzhop,0.771,0.426,1.0,-5.671,1.0,0.13,0.857,0.946,0.107,0.365,86.016,audio_features,2AY6KaNaf91MbEl8mwWIR6,spotify:track:2AY6KaNaf91MbEl8mwWIR6,https://api.spotify.com/v1/tracks/2AY6KaNaf91MbEl8mwWIR6,https://api.spotify.com/v1/audio-analysis/2AY6KaNaf91MbEl8mwWIR6,159050.0,4.0
Oceansplash,Living Room,123428,lo-fi jazzhop,0.684,0.177,0.0,-18.859,1.0,0.0693,0.939,0.913,0.119,0.18,139.912,audio_features,5OXUiQcGXLFgplV8dnIeOy,spotify:track:5OXUiQcGXLFgplV8dnIeOy,https://api.spotify.com/v1/tracks/5OXUiQcGXLFgplV8dnIeOy,https://api.spotify.com/v1/audio-analysis/5OXUiQcGXLFgplV8dnIeOy,123429.0,4.0
Painting My Thoughts,Obie Hans,149831,lo-fi jazzhop,0.745,0.383,9.0,-17.446,1.0,0.0614,0.7,0.954,0.108,0.157,80.005,audio_features,6DTKZsmOR9drYUqPqxe48U,spotify:track:6DTKZsmOR9drYUqPqxe48U,https://api.spotify.com/v1/tracks/6DTKZsmOR9drYUqPqxe48U,https://api.spotify.com/v1/audio-analysis/6DTKZsmOR9drYUqPqxe48U,149831.0,4.0
Walk Out,Khutko,153506,lo-fi jazzhop,0.829,0.24,6.0,-13.585,0.0,0.203,0.716,0.903,0.177,0.517,77.028,audio_features,1TYPv1m4WCmSuoE48RIBAe,spotify:track:1TYPv1m4WCmSuoE48RIBAe,https://api.spotify.com/v1/tracks/1TYPv1m4WCmSuoE48RIBAe,https://api.spotify.com/v1/audio-analysis/1TYPv1m4WCmSuoE48RIBAe,153506.0,4.0
Xi Feng,Sweet Medicine,159452,lo-fi jazzhop,0.755,0.242,8.0,-15.421,0.0,0.0491,0.418,0.895,0.149,0.506,145.954,audio_features,0CU8mA5QPhbPh16BkNSxYf,spotify:track:0CU8mA5QPhbPh16BkNSxYf,https://api.spotify.com/v1/tracks/0CU8mA5QPhbPh16BkNSxYf,https://api.spotify.com/v1/audio-analysis/0CU8mA5QPhbPh16BkNSxYf,159452.0,4.0
