trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Devil,Barren Gates,533503,traprun,0.507,0.864,6.0,-1.421,0.0,0.168,0.343,2.57e-05,0.0891,0.41,150.075,audio_features,3lj59hy6FrRDyYNo8Onuud,spotify:track:3lj59hy6FrRDyYNo8Onuud,https://api.spotify.com/v1/tracks/3lj59hy6FrRDyYNo8Onuud,https://api.spotify.com/v1/audio-analysis/3lj59hy6FrRDyYNo8Onuud,176000.0,4.0
Emo Rhapsody,TOMYGONE,1004130,traprun,0.673,0.904,7.0,-3.346,0.0,0.117,0.0781,0.000144,0.12,0.207,149.935,audio_features,44FhaUriSuAQtDIgEoM1OD,spotify:track:44FhaUriSuAQtDIgEoM1OD,https://api.spotify.com/v1/tracks/44FhaUriSuAQtDIgEoM1OD,https://api.spotify.com/v1/audio-analysis/44FhaUriSuAQtDIgEoM1OD,209600.0,4.0
Enslaved,Barren Gates,0,traprun,0.503,0.829,5.0,-4.784,0.0,0.0592,0.141,0.000147,0.143,0.301,150.1,audio_features,5oAzvOgBW850aDUI2H9gGe,spotify:track:5oAzvOgBW850aDUI2H9gGe,https://api.spotify.com/v1/tracks/5oAzvOgBW850aDUI2H9gGe,https://api.spotify.com/v1/audio-analysis/5oAzvOgBW850aDUI2H9gGe,243200.0,4.0
Goodbye,CryJaxx,2096169,traprun,0.478,0.579,4.0,-8.377,0.0,0.224,0.00858,0.0,0.14,0.129,139.064,audio_features,1ktQvxV1DLBKvXgjk80Wc9,spotify:track:1ktQvxV1DLBKvXgjk80Wc9,https://api.spotify.com/v1/tracks/1ktQvxV1DLBKvXgjk80Wc9,https://api.spotify.com/v1/audio-analysis/1ktQvxV1DLBKvXgjk80Wc9,221156.0,4.0
Goodbye,Skan,3018646,traprun,0.483,0.677,3.0,-5.665,0.0,0.0377,0.0313,6.92e-05,0.148,0.232,130.086,audio_features,5maBBpIDvxOpagOJdSXwup,spotify:track:5maBBpIDvxOpagOJdSXwup,https://api.spotify.com/v1/tracks/5maBBpIDvxOpagOJdSXwup,https://api.spotify.com/v1/audio-analysis/5maBBpIDvxOpagOJdSXwup,214154.0,4.0
LOVE ME,KLOUD,1358539,traprun,0.587,0.902,8.0,-2.506,1.0,0.049,0.0336,0.000112,0.1,0.0878,102.029,audio_features,12LohWsGyAptv2o25tFPcA,spotify:track:12LohWsGyAptv2o25tFPcA,https://api.spotify.com/v1/tracks/12LohWsGyAptv2o25tFPcA,https://api.spotify.com/v1/audio-analysis/12LohWsGyAptv2o25tFPcA,204706.0,4.0
Mia Khalifa (feat. M.I.M.E),Skan,284647,traprun,0.813,0.888,11.0,-4.062,1.0,0.241,0.0509,1.29e-05,0.129,0.743,150.066,audio_features,6L65bozBqrHkZkXKqXzHcD,spotify:track:6L65bozBqrHkZkXKqXzHcD,https://api.spotify.com/v1/tracks/6L65bozBqrHkZkXKqXzHcD,https://api.spotify.com/v1/audio-analysis/6L65bozBqrHkZkXKqXzHcD,208000.0,4.0
Satisfied - Chapter IV,KLOUD,988671,traprun,0.481,0.912,0.0,-1.493,1.0,0.0414,0.0705,0.0,0.154,0.11,149.951,audio_features,6Kr6OpOWGEyVQaE5Qipw4K,spotify:track:6Kr6OpOWGEyVQaE5Qipw4K,https://api.spotify.com/v1/tracks/6Kr6OpOWGEyVQaE5Qipw4K,https://api.spotify.com/v1/audio-analysis/6Kr6OpOWGEyVQaE5Qipw4K,230400.0,4.0
WET,Brevis,1506866,traprun,0.814,0.647,1.0,-6.213,1.0,0.129,0.358,0.00468,0.146,0.539,94.978,audio_features,17KJtuPACSBQUNc5XBtrFG,spotify:track:17KJtuPACSBQUNc5XBtrFG,https://api.spotify.com/v1/tracks/17KJtuPACSBQUNc5XBtrFG,https://api.spotify.com/v1/audio-analysis/17KJtuPACSBQUNc5XBtrFG,145909.0,4.0
YN,KLOUD,1734888,traprun,0.369,0.725,9.0,-3.857,1.0,0.0396,0.00126,3.6e-06,0.0894,0.0732,139.748,audio_features,56dUxBOcz0jqrquSoP6AED,spotify:track:56dUxBOcz0jqrquSoP6AED,https://api.spotify.com/v1/tracks/56dUxBOcz0jqrquSoP6AED,https://api.spotify.com/v1/audio-analysis/56dUxBOcz0jqrquSoP6AED,243289.0,4.0
