trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Alvida - From ""Alvida""",Shafqat Amanat Ali,56827,classic pakistani pop,0.32,0.437,0.0,-13.057,0.0,0.0411,0.447,0.0,0.279,0.35,81.563,audio_features,36JAat3btntBNfrXuPEuQD,spotify:track:36JAat3btntBNfrXuPEuQD,https://api.spotify.com/v1/tracks/36JAat3btntBNfrXuPEuQD,https://api.spotify.com/v1/audio-analysis/36JAat3btntBNfrXuPEuQD,136759.0,4.0
Zaroori Tha,Rahat Fateh Ali Khan,1572811,classic pakistani pop,0.523,0.674,8.0,-4.832,0.0,0.0328,0.771,0.0,0.139,0.239,114.058,audio_features,0JChw6k59cZxegh0SGceE1,spotify:track:0JChw6k59cZxegh0SGceE1,https://api.spotify.com/v1/tracks/0JChw6k59cZxegh0SGceE1,https://api.spotify.com/v1/audio-analysis/0JChw6k59cZxegh0SGceE1,342024.0,4.0
Dildaara (Stand By Me),Shafqat Amanat Ali,499212,classic pakistani pop,0.622,0.779,9.0,-5.799,1.0,0.037,0.102,0.000934,0.145,0.761,100.013,audio_features,6ZoCBDOB308GqUdt2AJrV2,spotify:track:6ZoCBDOB308GqUdt2AJrV2,https://api.spotify.com/v1/tracks/6ZoCBDOB308GqUdt2AJrV2,https://api.spotify.com/v1/audio-analysis/6ZoCBDOB308GqUdt2AJrV2,249661.0,4.0
Jag Soona Soona Lage,Rahat Fateh Ali Khan,42886,classic pakistani pop,0.563,0.71,7.0,-6.212,1.0,0.0592,0.0663,0.0,0.105,0.262,133.873,audio_features,2sVzO3L0fdOMVe8wVlM0IE,spotify:track:2sVzO3L0fdOMVe8wVlM0IE,https://api.spotify.com/v1/tracks/2sVzO3L0fdOMVe8wVlM0IE,https://api.spotify.com/v1/audio-analysis/2sVzO3L0fdOMVe8wVlM0IE,329429.0,4.0
Laaree Chootee,Call,117769,classic pakistani pop,0.565,0.657,9.0,-9.84,0.0,0.0545,0.229,0.0,0.214,0.604,93.034,audio_features,3juoXpZ1CRCbWHnWk5rVbV,spotify:track:3juoXpZ1CRCbWHnWk5rVbV,https://api.spotify.com/v1/tracks/3juoXpZ1CRCbWHnWk5rVbV,https://api.spotify.com/v1/audio-analysis/3juoXpZ1CRCbWHnWk5rVbV,239406.0,4.0
Latthay Di Chaadar,Farhan Saeed,15374925,classic pakistani pop,0.675,0.607,10.0,-7.241,1.0,0.0366,0.613,2.64e-05,0.102,0.655,158.905,audio_features,58AkcBdW5NpM2TBbkKbdK3,spotify:track:58AkcBdW5NpM2TBbkKbdK3,https://api.spotify.com/v1/tracks/58AkcBdW5NpM2TBbkKbdK3,https://api.spotify.com/v1/audio-analysis/58AkcBdW5NpM2TBbkKbdK3,478808.0,3.0
Mera Mann Kehne Laga,Falak Shabbir,227330,classic pakistani pop,0.46,0.444,7.0,-6.217,1.0,0.123,0.714,2.65e-05,0.0881,0.7,74.977,audio_features,1ai3itvPFcWilE9NX0JTCf,spotify:track:1ai3itvPFcWilE9NX0JTCf,https://api.spotify.com/v1/tracks/1ai3itvPFcWilE9NX0JTCf,https://api.spotify.com/v1/audio-analysis/1ai3itvPFcWilE9NX0JTCf,227335.0,4.0
Pehli Dafa,Atif Aslam,35155,classic pakistani pop,0.679,0.537,4.0,-7.843,1.0,0.0322,0.844,3.34e-06,0.108,0.481,111.979,audio_features,4Tkb7zsDmsawB7S5TpKQV1,spotify:track:4Tkb7zsDmsawB7S5TpKQV1,https://api.spotify.com/v1/tracks/4Tkb7zsDmsawB7S5TpKQV1,https://api.spotify.com/v1/audio-analysis/4Tkb7zsDmsawB7S5TpKQV1,298771.0,4.0
Pehli Nazar Mein,Atif Aslam,16172,classic pakistani pop,0.488,0.57,9.0,-5.602,1.0,0.0775,0.251,0.0,0.107,0.668,169.702,audio_features,17opN752ZQpNuoptelsNQ1,spotify:track:17opN752ZQpNuoptelsNQ1,https://api.spotify.com/v1/tracks/17opN752ZQpNuoptelsNQ1,https://api.spotify.com/v1/audio-analysis/17opN752ZQpNuoptelsNQ1,312893.0,4.0
Tere Liye,Atif Aslam,558988,classic pakistani pop,0.624,0.906,11.0,-4.436,0.0,0.0514,0.0978,0.0,0.0963,0.632,129.99,audio_features,0fCQRUbk8LIQTdQYGNtGyv,spotify:track:0fCQRUbk8LIQTdQYGNtGyv,https://api.spotify.com/v1/tracks/0fCQRUbk8LIQTdQYGNtGyv,https://api.spotify.com/v1/audio-analysis/0fCQRUbk8LIQTdQYGNtGyv,279827.0,4.0
Teri Meri,Rahat Fateh Ali Khan,1408895,classic pakistani pop,0.401,0.517,2.0,-6.618,0.0,0.0481,0.0661,0.0,0.202,0.471,128.451,audio_features,1HT0RzPuChHC1kWbIplHyw,spotify:track:1HT0RzPuChHC1kWbIplHyw,https://api.spotify.com/v1/tracks/1HT0RzPuChHC1kWbIplHyw,https://api.spotify.com/v1/audio-analysis/1HT0RzPuChHC1kWbIplHyw,325312.0,4.0
