trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Always Looking for You,Jason Mraz,465882,acoustic pop,0.551,0.596,11.0,-8.116,1.0,0.0544,0.128,0.0,0.0679,0.636,169.786,audio_features,4lPvAuYbmxixv12m4TXVSk,spotify:track:4lPvAuYbmxixv12m4TXVSk,https://api.spotify.com/v1/tracks/4lPvAuYbmxixv12m4TXVSk,https://api.spotify.com/v1/audio-analysis/4lPvAuYbmxixv12m4TXVSk,232941.0,4.0
Butterfly,Jason Mraz,3320568,acoustic pop,0.718,0.658,10.0,-7.207,0.0,0.0664,0.146,0.0,0.202,0.804,108.103,audio_features,7rrmHHc1kY9vkIZnXrcH7T,spotify:track:7rrmHHc1kY9vkIZnXrcH7T,https://api.spotify.com/v1/tracks/7rrmHHc1kY9vkIZnXrcH7T,https://api.spotify.com/v1/audio-analysis/7rrmHHc1kY9vkIZnXrcH7T,299067.0,4.0
"Flightless Bird, American Mouth",Iron & Wine,1624716,acoustic pop,0.369,0.403,3.0,-7.996,1.0,0.0259,0.827,0.0541,0.106,0.177,154.899,audio_features,1fEGtTZjrjJW8eUeewnNJR,spotify:track:1fEGtTZjrjJW8eUeewnNJR,https://api.spotify.com/v1/tracks/1fEGtTZjrjJW8eUeewnNJR,https://api.spotify.com/v1/audio-analysis/1fEGtTZjrjJW8eUeewnNJR,241917.0,3.0
Hold On,Chord Overstreet,397706,acoustic pop,0.618,0.443,2.0,-9.681,1.0,0.0526,0.469,0.0,0.0829,0.167,119.949,audio_features,5vjLSffimiIP26QG5WcN2K,spotify:track:5vjLSffimiIP26QG5WcN2K,https://api.spotify.com/v1/tracks/5vjLSffimiIP26QG5WcN2K,https://api.spotify.com/v1/audio-analysis/5vjLSffimiIP26QG5WcN2K,198853.0,4.0
I Won't Give Up,Jason Mraz,25097,acoustic pop,0.483,0.303,4.0,-10.058,1.0,0.0429,0.694,0.0,0.115,0.139,133.406,audio_features,53QF56cjZA9RTuuMZDrSA6,spotify:track:53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/tracks/53QF56cjZA9RTuuMZDrSA6,https://api.spotify.com/v1/audio-analysis/53QF56cjZA9RTuuMZDrSA6,240166.0,3.0
I'm Yours,Jason Mraz,2784542,acoustic pop,0.698,0.45,11.0,-8.784,1.0,0.0442,0.571,0.0,0.113,0.68,150.999,audio_features,0RThch1q5qD0QnHQKBqjTu,spotify:track:0RThch1q5qD0QnHQKBqjTu,https://api.spotify.com/v1/tracks/0RThch1q5qD0QnHQKBqjTu,https://api.spotify.com/v1/audio-analysis/0RThch1q5qD0QnHQKBqjTu,242040.0,4.0
In My Veins - Feat. Erin Mccarley,Andrew Belle,50736,acoustic pop,0.548,0.42,0.0,-7.842,1.0,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,audio_features,7LwGBxB0h0CVmkOZxYKn0g,spotify:track:7LwGBxB0h0CVmkOZxYKn0g,https://api.spotify.com/v1/tracks/7LwGBxB0h0CVmkOZxYKn0g,https://api.spotify.com/v1/audio-analysis/7LwGBxB0h0CVmkOZxYKn0g,318909.0,4.0
Lucky,Jason Mraz,7156195,acoustic pop,0.625,0.414,0.0,-8.7,1.0,0.0369,0.294,0.0,0.151,0.669,130.088,audio_features,0IktbUcnAGrvD03AWnz3Q8,spotify:track:0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/tracks/0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/audio-analysis/0IktbUcnAGrvD03AWnz3Q8,189613.0,4.0
More Like Love,Ben Rector,61757,acoustic pop,0.432,0.147,9.0,-11.054,1.0,0.046,0.907,0.0,0.102,0.243,122.073,audio_features,5GSGN3hi9gLggMrZJLqfTy,spotify:track:5GSGN3hi9gLggMrZJLqfTy,https://api.spotify.com/v1/tracks/5GSGN3hi9gLggMrZJLqfTy,https://api.spotify.com/v1/audio-analysis/5GSGN3hi9gLggMrZJLqfTy,226680.0,3.0
Woodland,The Paper Kites,2528032,acoustic pop,0.433,0.523,0.0,-9.502,1.0,0.041,0.533,0.000112,0.162,0.374,178.299,audio_features,2dm13KtTfScU9ObCzYzGyS,spotify:track:2dm13KtTfScU9ObCzYzGyS,https://api.spotify.com/v1/tracks/2dm13KtTfScU9ObCzYzGyS,https://api.spotify.com/v1/audio-analysis/2dm13KtTfScU9ObCzYzGyS,231587.0,4.0
