trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Clique,Kanye West,293614,chicago rap,0.66,0.539,9.0,-5.947,0.0,0.324,0.0534,0.0,0.222,0.307,109.318,audio_features,65rRB2mspD309xE6YimZTl,spotify:track:65rRB2mspD309xE6YimZTl,https://api.spotify.com/v1/tracks/65rRB2mspD309xE6YimZTl,https://api.spotify.com/v1/audio-analysis/65rRB2mspD309xE6YimZTl,293613.0,5.0
Come & Go (with Marshmello),Juice WRLD,1777545,chicago rap,0.625,0.814,0.0,-5.181,1.0,0.0657,0.0172,0.0,0.158,0.535,144.991,audio_features,2Y0wPrPQBrGhoLn14xRYCG,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,https://api.spotify.com/v1/tracks/2Y0wPrPQBrGhoLn14xRYCG,https://api.spotify.com/v1/audio-analysis/2Y0wPrPQBrGhoLn14xRYCG,205485.0,4.0
Famous,Kanye West,11688,chicago rap,0.465,0.735,6.0,-3.715,1.0,0.117,0.0711,0.0,0.0975,0.409,173.935,audio_features,19a3JfW8BQwqHWUMbcqSx8,spotify:track:19a3JfW8BQwqHWUMbcqSx8,https://api.spotify.com/v1/tracks/19a3JfW8BQwqHWUMbcqSx8,https://api.spotify.com/v1/audio-analysis/19a3JfW8BQwqHWUMbcqSx8,196040.0,4.0
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,41126,chicago rap,0.701,0.65,6.0,-6.313,1.0,0.104,0.291,0.0,0.112,0.647,90.003,audio_features,0ada5XsQGLPUVbmTCkAP49,spotify:track:0ada5XsQGLPUVbmTCkAP49,https://api.spotify.com/v1/tracks/0ada5XsQGLPUVbmTCkAP49,https://api.spotify.com/v1/audio-analysis/0ada5XsQGLPUVbmTCkAP49,160212.0,4.0
Hide (feat. Seezyn),Juice WRLD,411600,chicago rap,0.715,0.639,5.0,-5.017,0.0,0.0752,0.0622,0.0,0.157,0.151,149.996,audio_features,6rz0dTA0PdhXImFV5EjM0w,spotify:track:6rz0dTA0PdhXImFV5EjM0w,https://api.spotify.com/v1/tracks/6rz0dTA0PdhXImFV5EjM0w,https://api.spotify.com/v1/audio-analysis/6rz0dTA0PdhXImFV5EjM0w,205800.0,4.0
Hmmm,Hott Headzz,2125691,chicago rap,0.801,0.898,4.0,-6.662,1.0,0.269,0.0398,3.17e-06,0.108,0.563,140.102,audio_features,7bEKga8eFygrhFWB5KTl3A,spotify:track:7bEKga8eFygrhFWB5KTl3A,https://api.spotify.com/v1/tracks/7bEKga8eFygrhFWB5KTl3A,https://api.spotify.com/v1/audio-analysis/7bEKga8eFygrhFWB5KTl3A,172248.0,4.0
"Hmmm, Pt. 2",Hott Headzz,180345,chicago rap,0.783,0.649,9.0,-8.722,0.0,0.271,0.158,0.0,0.781,0.53,130.02,audio_features,2My8r67cdHd1gD5FDvb3qe,spotify:track:2My8r67cdHd1gD5FDvb3qe,https://api.spotify.com/v1/tracks/2My8r67cdHd1gD5FDvb3qe,https://api.spotify.com/v1/audio-analysis/2My8r67cdHd1gD5FDvb3qe,160210.0,4.0
Moon,Kanye West,1064606,chicago rap,0.319,0.236,5.0,-9.644,1.0,0.0318,0.898,1.62e-05,0.272,0.254,162.351,audio_features,7CC6UbCs4iGsePSzFxYxNn,spotify:track:7CC6UbCs4iGsePSzFxYxNn,https://api.spotify.com/v1/tracks/7CC6UbCs4iGsePSzFxYxNn,https://api.spotify.com/v1/audio-analysis/7CC6UbCs4iGsePSzFxYxNn,156091.0,4.0
Stronger,Kanye West,323502,chicago rap,0.617,0.717,10.0,-7.858,0.0,0.153,0.00564,0.0,0.408,0.49,103.992,audio_features,0j2T0R9dR9qdJYsB7ciXhf,spotify:track:0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/tracks/0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/audio-analysis/0j2T0R9dR9qdJYsB7ciXhf,311867.0,4.0
Troop (feat. Smino),tobi lou,266181,chicago rap,0.881,0.357,9.0,-9.657,1.0,0.0765,0.507,0.0,0.114,0.55,109.973,audio_features,6OyDjQiFgIX4JnnfQ9zYf8,spotify:track:6OyDjQiFgIX4JnnfQ9zYf8,https://api.spotify.com/v1/tracks/6OyDjQiFgIX4JnnfQ9zYf8,https://api.spotify.com/v1/audio-analysis/6OyDjQiFgIX4JnnfQ9zYf8,266182.0,4.0
