trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Animal,Noah Kahan,2224823,pov: indie,0.709,0.48,11.0,-8.353,1.0,0.305,0.163,0.0,0.16,0.365,175.916,audio_features,00vhtWzNIISd9I04Cl3K7N,spotify:track:00vhtWzNIISd9I04Cl3K7N,https://api.spotify.com/v1/tracks/00vhtWzNIISd9I04Cl3K7N,https://api.spotify.com/v1/audio-analysis/00vhtWzNIISd9I04Cl3K7N,219555.0,4.0
Astrovan,Mt. Joy,186072,pov: indie,0.548,0.444,3.0,-9.4,1.0,0.0384,0.866,0.0,0.134,0.62,169.917,audio_features,14e46mURUUwB3i2vTe1gFz,spotify:track:14e46mURUUwB3i2vTe1gFz,https://api.spotify.com/v1/tracks/14e46mURUUwB3i2vTe1gFz,https://api.spotify.com/v1/audio-analysis/14e46mURUUwB3i2vTe1gFz,186133.0,4.0
Bad Luck,Noah Kahan,190459,pov: indie,0.624,0.346,11.0,-9.718,1.0,0.0631,0.635,0.0,0.115,0.241,143.439,audio_features,05CRP83e1AD3kl6rP1r5aB,spotify:track:05CRP83e1AD3kl6rP1r5aB,https://api.spotify.com/v1/tracks/05CRP83e1AD3kl6rP1r5aB,https://api.spotify.com/v1/audio-analysis/05CRP83e1AD3kl6rP1r5aB,191726.0,4.0
Fumari,Peach Tree Rascals,120000,pov: indie,0.908,0.636,4.0,-7.987,1.0,0.0364,0.066,0.0,0.161,0.925,126.027,audio_features,2OQMSCUE6ClEZFJFFNqNrQ,spotify:track:2OQMSCUE6ClEZFJFFNqNrQ,https://api.spotify.com/v1/tracks/2OQMSCUE6ClEZFJFFNqNrQ,https://api.spotify.com/v1/audio-analysis/2OQMSCUE6ClEZFJFFNqNrQ,120000.0,4.0
Hayloft,Mother Mother,51482,pov: indie,0.527,0.922,9.0,-2.666,0.0,0.0728,0.00475,0.000162,0.422,0.49,95.975,audio_features,2kS6td1yvmpNgZTt1q5pQq,spotify:track:2kS6td1yvmpNgZTt1q5pQq,https://api.spotify.com/v1/tracks/2kS6td1yvmpNgZTt1q5pQq,https://api.spotify.com/v1/audio-analysis/2kS6td1yvmpNgZTt1q5pQq,181680.0,4.0
I Love You Too,Peter McPoland,16667269,pov: indie,0.54,0.0534,10.0,-18.585,1.0,0.0432,0.939,0.00111,0.0986,0.145,94.111,audio_features,4Hvm9R3JYXBF8fcdi2F3oA,spotify:track:4Hvm9R3JYXBF8fcdi2F3oA,https://api.spotify.com/v1/tracks/4Hvm9R3JYXBF8fcdi2F3oA,https://api.spotify.com/v1/audio-analysis/4Hvm9R3JYXBF8fcdi2F3oA,189868.0,3.0
MISA MISA!,CORPSE,233367,pov: indie,0.672,0.981,1.0,-1.252,1.0,0.181,0.0302,2.36e-05,0.648,0.694,95.014,audio_features,2biZJ6YK8Pz1bUby8VDV3Q,spotify:track:2biZJ6YK8Pz1bUby8VDV3Q,https://api.spotify.com/v1/tracks/2biZJ6YK8Pz1bUby8VDV3Q,https://api.spotify.com/v1/audio-analysis/2biZJ6YK8Pz1bUby8VDV3Q,85895.0,4.0
Maple Syrup,The Backseat Lovers,806730,pov: indie,0.543,0.526,2.0,-9.703,1.0,0.0582,0.0447,0.0533,0.0778,0.384,153.0,audio_features,4MXE6VCvTsQitHWrAxj7Kg,spotify:track:4MXE6VCvTsQitHWrAxj7Kg,https://api.spotify.com/v1/tracks/4MXE6VCvTsQitHWrAxj7Kg,https://api.spotify.com/v1/audio-analysis/4MXE6VCvTsQitHWrAxj7Kg,243529.0,3.0
Mariposa,Peach Tree Rascals,2092831,pov: indie,0.676,0.525,9.0,-5.88,1.0,0.028,0.617,0.0,0.356,0.421,112.011,audio_features,4ja2gzrNh9VNigzoXfmbwD,spotify:track:4ja2gzrNh9VNigzoXfmbwD,https://api.spotify.com/v1/tracks/4ja2gzrNh9VNigzoXfmbwD,https://api.spotify.com/v1/audio-analysis/4ja2gzrNh9VNigzoXfmbwD,210000.0,4.0
Not Allowed,TV Girl,181367,pov: indie,0.67,0.905,1.0,-6.855,1.0,0.129,0.669,0.000227,0.349,0.563,104.965,audio_features,3IznIgmXtrUaoPWpQTy5jB,spotify:track:3IznIgmXtrUaoPWpQTy5jB,https://api.spotify.com/v1/tracks/3IznIgmXtrUaoPWpQTy5jB,https://api.spotify.com/v1/audio-analysis/3IznIgmXtrUaoPWpQTy5jB,167864.0,4.0
Part of Me,Noah Kahan,239027,pov: indie,0.689,0.687,7.0,-7.832,1.0,0.0376,0.0677,0.0,0.0805,0.248,109.986,audio_features,1o5WgxPWvoVgo20DQItKOE,spotify:track:1o5WgxPWvoVgo20DQItKOE,https://api.spotify.com/v1/tracks/1o5WgxPWvoVgo20DQItKOE,https://api.spotify.com/v1/audio-analysis/1o5WgxPWvoVgo20DQItKOE,239027.0,4.0
Pride (with mxmtoon),Noah Kahan,3904503,pov: indie,0.839,0.444,0.0,-6.386,1.0,0.226,0.475,2.58e-06,0.297,0.486,105.066,audio_features,708HrtYYClY6j6EOiToEBy,spotify:track:708HrtYYClY6j6EOiToEBy,https://api.spotify.com/v1/tracks/708HrtYYClY6j6EOiToEBy,https://api.spotify.com/v1/audio-analysis/708HrtYYClY6j6EOiToEBy,169453.0,4.0
