trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3005,Childish Gambino,167230,atl hip hop,0.664,0.447,6.0,-7.272,0.0,0.289,0.112,0.0,0.091,0.659,83.138,audio_features,5cc9Zbfp9u10sfJeKZ3h16,spotify:track:5cc9Zbfp9u10sfJeKZ3h16,https://api.spotify.com/v1/tracks/5cc9Zbfp9u10sfJeKZ3h16,https://api.spotify.com/v1/audio-analysis/5cc9Zbfp9u10sfJeKZ3h16,234215.0,4.0
Airplanes (feat. Hayley Williams of Paramore),B.o.B,928683,atl hip hop,0.66,0.867,6.0,-4.285,0.0,0.116,0.11,0.0,0.0368,0.377,93.033,audio_features,6lV2MSQmRIkycDScNtrBXO,spotify:track:6lV2MSQmRIkycDScNtrBXO,https://api.spotify.com/v1/tracks/6lV2MSQmRIkycDScNtrBXO,https://api.spotify.com/v1/audio-analysis/6lV2MSQmRIkycDScNtrBXO,180480.0,4.0
Crank That (Soulja Boy),Soulja Boy,221933,atl hip hop,0.736,0.74,0.0,-2.18,1.0,0.0786,0.515,0.0,0.0468,0.803,140.141,audio_features,66TRwr5uJwPt15mfFkzhbi,spotify:track:66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/audio-analysis/66TRwr5uJwPt15mfFkzhbi,221933.0,4.0
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,69777,atl hip hop,0.663,0.861,7.0,-3.398,0.0,0.109,0.0338,0.0,0.082,0.654,119.963,audio_features,4356Typ82hUiFAynbLYbPn,spotify:track:4356Typ82hUiFAynbLYbPn,https://api.spotify.com/v1/tracks/4356Typ82hUiFAynbLYbPn,https://api.spotify.com/v1/audio-analysis/4356Typ82hUiFAynbLYbPn,220800.0,4.0
Dead And Gone,T.I.,899238,atl hip hop,0.713,0.746,0.0,-4.99,1.0,0.259,0.0402,0.0,0.601,0.47,135.021,audio_features,7IhsLJMqdxoo7YAZjaSMru,spotify:track:7IhsLJMqdxoo7YAZjaSMru,https://api.spotify.com/v1/tracks/7IhsLJMqdxoo7YAZjaSMru,https://api.spotify.com/v1/audio-analysis/7IhsLJMqdxoo7YAZjaSMru,299747.0,4.0
Feels Like Summer,Childish Gambino,297404,atl hip hop,0.55,0.596,7.0,-8.214,1.0,0.134,0.162,0.00481,0.0805,0.253,165.736,audio_features,7p4vHnYXkxlzvfePJVpcTr,spotify:track:7p4vHnYXkxlzvfePJVpcTr,https://api.spotify.com/v1/tracks/7p4vHnYXkxlzvfePJVpcTr,https://api.spotify.com/v1/audio-analysis/7p4vHnYXkxlzvfePJVpcTr,297404.0,4.0
Heartbeat,Childish Gambino,4464541,atl hip hop,0.8,0.545,1.0,-7.002,0.0,0.127,0.00369,0.000461,0.0445,0.294,119.954,audio_features,0zo4aX57COch7Wh3NRImTM,spotify:track:0zo4aX57COch7Wh3NRImTM,https://api.spotify.com/v1/tracks/0zo4aX57COch7Wh3NRImTM,https://api.spotify.com/v1/audio-analysis/0zo4aX57COch7Wh3NRImTM,269840.0,4.0
IV. Sweatpants,Childish Gambino,137267,atl hip hop,0.712,0.463,1.0,-9.33,0.0,0.143,0.152,0.0,0.642,0.593,80.029,audio_features,3x4I4nRuZp5NdtGvCPw6Ms,spotify:track:3x4I4nRuZp5NdtGvCPw6Ms,https://api.spotify.com/v1/tracks/3x4I4nRuZp5NdtGvCPw6Ms,https://api.spotify.com/v1/audio-analysis/3x4I4nRuZp5NdtGvCPw6Ms,180675.0,4.0
Les,Childish Gambino,317293,atl hip hop,0.541,0.674,1.0,-7.04,0.0,0.0841,0.00649,9.76e-05,0.235,0.123,103.139,audio_features,0YsGMHid6sFq5PcToe3JZE,spotify:track:0YsGMHid6sFq5PcToe3JZE,https://api.spotify.com/v1/tracks/0YsGMHid6sFq5PcToe3JZE,https://api.spotify.com/v1/audio-analysis/0YsGMHid6sFq5PcToe3JZE,317293.0,4.0
Life Is Good (feat. Drake),Future,1477260,atl hip hop,0.676,0.609,2.0,-5.831,0.0,0.481,0.0706,0.0,0.152,0.508,142.037,audio_features,5yY9lUy8nbvjM1Uyo1Uqoc,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,https://api.spotify.com/v1/tracks/5yY9lUy8nbvjM1Uyo1Uqoc,https://api.spotify.com/v1/audio-analysis/5yY9lUy8nbvjM1Uyo1Uqoc,237735.0,4.0
Livin It Up (with Post Malone & A$AP Rocky),Young Thug,210906,atl hip hop,0.767,0.313,7.0,-12.059,1.0,0.0798,0.838,0.0,0.105,0.765,82.582,audio_features,7zjEyeBsaw9gV0jofJLfOM,spotify:track:7zjEyeBsaw9gV0jofJLfOM,https://api.spotify.com/v1/tracks/7zjEyeBsaw9gV0jofJLfOM,https://api.spotify.com/v1/audio-analysis/7zjEyeBsaw9gV0jofJLfOM,210907.0,4.0
Mask Off,Future,2008548,atl hip hop,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600.0,4.0
