trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Like My Father,Jax,8794378,gen z singer-songwriter,0.492,0.224,5.0,-8.098,1.0,0.0493,0.91,0.0,0.142,0.424,93.039,audio_features,5YVmHTAsdWnoanWXB7AwZX,spotify:track:5YVmHTAsdWnoanWXB7AwZX,https://api.spotify.com/v1/tracks/5YVmHTAsdWnoanWXB7AwZX,https://api.spotify.com/v1/audio-analysis/5YVmHTAsdWnoanWXB7AwZX,183429.0,4.0
Never Let You Go,Keenan Te,202434,gen z singer-songwriter,0.726,0.499,1.0,-9.056,1.0,0.0379,0.0921,0.0,0.0717,0.465,114.9,audio_features,5MdZOhx2f37BPtxaEn0F85,spotify:track:5MdZOhx2f37BPtxaEn0F85,https://api.spotify.com/v1/tracks/5MdZOhx2f37BPtxaEn0F85,https://api.spotify.com/v1/audio-analysis/5MdZOhx2f37BPtxaEn0F85,202435.0,4.0
Raining in June,Olive Klug,5000697,gen z singer-songwriter,0.369,0.195,2.0,-13.836,1.0,0.0369,0.935,4.62e-05,0.347,0.143,92.085,audio_features,72Q3BQhu0w6A81ouAUp7UL,spotify:track:72Q3BQhu0w6A81ouAUp7UL,https://api.spotify.com/v1/tracks/72Q3BQhu0w6A81ouAUp7UL,https://api.spotify.com/v1/audio-analysis/72Q3BQhu0w6A81ouAUp7UL,166139.0,4.0
The King,Sarah Kinsley,1291425,gen z singer-songwriter,0.632,0.668,6.0,-6.196,1.0,0.0514,0.078,0.111,0.0863,0.716,108.997,audio_features,3qs1ozCx271UQqmzC7oNuj,spotify:track:3qs1ozCx271UQqmzC7oNuj,https://api.spotify.com/v1/tracks/3qs1ozCx271UQqmzC7oNuj,https://api.spotify.com/v1/audio-analysis/3qs1ozCx271UQqmzC7oNuj,206373.0,4.0
Turning Page,Sydney Rose,4652172,gen z singer-songwriter,0.404,0.0182,2.0,-20.969,1.0,0.0414,0.964,0.00037,0.108,0.114,109.107,audio_features,2QFyOnJfJ49OnNgMvKXvTM,spotify:track:2QFyOnJfJ49OnNgMvKXvTM,https://api.spotify.com/v1/tracks/2QFyOnJfJ49OnNgMvKXvTM,https://api.spotify.com/v1/audio-analysis/2QFyOnJfJ49OnNgMvKXvTM,218452.0,4.0
Until I Found You,Stephen Sanchez,64160505,gen z singer-songwriter,0.551,0.55,10.0,-5.339,1.0,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440.0,3.0
Until I Found You - Piano Version,Stephen Sanchez,713287,gen z singer-songwriter,0.603,0.148,7.0,-10.449,1.0,0.0279,0.927,0.0,0.101,0.228,95.451,audio_features,06vNG6CiV4k8oNA0wUUAO7,spotify:track:06vNG6CiV4k8oNA0wUUAO7,https://api.spotify.com/v1/tracks/06vNG6CiV4k8oNA0wUUAO7,https://api.spotify.com/v1/audio-analysis/06vNG6CiV4k8oNA0wUUAO7,184895.0,3.0
When She Loved Me,Lyn Lapid,2175210,gen z singer-songwriter,0.604,0.0458,4.0,-19.031,1.0,0.0762,0.973,0.0,0.0963,0.617,76.235,audio_features,3198LMj0bpnXj8Mb1GLo3u,spotify:track:3198LMj0bpnXj8Mb1GLo3u,https://api.spotify.com/v1/tracks/3198LMj0bpnXj8Mb1GLo3u,https://api.spotify.com/v1/audio-analysis/3198LMj0bpnXj8Mb1GLo3u,187709.0,3.0
Why Can't I Have You,Gloria Laing,1996831,gen z singer-songwriter,0.827,0.195,7.0,-17.651,1.0,0.0638,0.662,0.141,0.0987,0.229,137.966,audio_features,2FpzO4dqbCUPtZUQDjcLL3,spotify:track:2FpzO4dqbCUPtZUQDjcLL3,https://api.spotify.com/v1/tracks/2FpzO4dqbCUPtZUQDjcLL3,https://api.spotify.com/v1/audio-analysis/2FpzO4dqbCUPtZUQDjcLL3,285209.0,4.0
A Soulmate Who Wasn’t Meant to Be,Jess Benko,9160154,gen z singer-songwriter,0.571,0.0274,9.0,-20.274,0.0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,audio_features,0gOz9JUXsaKVzLTSmFDtdo,spotify:track:0gOz9JUXsaKVzLTSmFDtdo,https://api.spotify.com/v1/tracks/0gOz9JUXsaKVzLTSmFDtdo,https://api.spotify.com/v1/audio-analysis/0gOz9JUXsaKVzLTSmFDtdo,316556.0,3.0
Bedroom Floor,Sydney Rose,1426403,gen z singer-songwriter,0.547,0.0562,0.0,-19.074,1.0,0.0444,0.983,3.91e-06,0.102,0.205,78.291,audio_features,2GjPJVgqtF8uSyoedh5Inf,spotify:track:2GjPJVgqtF8uSyoedh5Inf,https://api.spotify.com/v1/tracks/2GjPJVgqtF8uSyoedh5Inf,https://api.spotify.com/v1/audio-analysis/2GjPJVgqtF8uSyoedh5Inf,249660.0,3.0
chance with you,mehro,2241,gen z singer-songwriter,0.562,0.494,4.0,-8.13,0.0,0.0278,0.864,0.0259,0.153,0.383,144.104,audio_features,7qFtcljd0PZ5kJZos70YjT,spotify:track:7qFtcljd0PZ5kJZos70YjT,https://api.spotify.com/v1/tracks/7qFtcljd0PZ5kJZos70YjT,https://api.spotify.com/v1/audio-analysis/7qFtcljd0PZ5kJZos70YjT,215516.0,4.0
could you love me while i hate myself,Zeph,60333,gen z singer-songwriter,0.68,0.406,9.0,-11.313,1.0,0.0414,0.782,0.00019,0.11,0.551,119.901,audio_features,7uo2L5FAja3pWIBa3HJVeC,spotify:track:7uo2L5FAja3pWIBa3HJVeC,https://api.spotify.com/v1/tracks/7uo2L5FAja3pWIBa3HJVeC,https://api.spotify.com/v1/audio-analysis/7uo2L5FAja3pWIBa3HJVeC,60333.0,4.0
ghost me,Camylio,202698,gen z singer-songwriter,0.723,0.509,0.0,-12.309,1.0,0.0663,0.0577,0.0,0.0809,0.482,122.031,audio_features,1mB8PxWsXm2EjAgDzOZcbB,spotify:track:1mB8PxWsXm2EjAgDzOZcbB,https://api.spotify.com/v1/tracks/1mB8PxWsXm2EjAgDzOZcbB,https://api.spotify.com/v1/audio-analysis/1mB8PxWsXm2EjAgDzOZcbB,202698.0,4.0
howling,mehro,1264050,gen z singer-songwriter,0.496,0.335,4.0,-11.137,1.0,0.0347,0.891,0.439,0.113,0.207,75.96,audio_features,566yEfNfBoojymRCZRbkxU,spotify:track:566yEfNfBoojymRCZRbkxU,https://api.spotify.com/v1/tracks/566yEfNfBoojymRCZRbkxU,https://api.spotify.com/v1/audio-analysis/566yEfNfBoojymRCZRbkxU,213720.0,4.0
what does he have that i don't?,Zeph,273600,gen z singer-songwriter,0.386,0.187,1.0,-15.684,1.0,0.0435,0.96,0.0,0.136,0.561,149.888,audio_features,15MDjoryOggmkMTdh13IGx,spotify:track:15MDjoryOggmkMTdh13IGx,https://api.spotify.com/v1/tracks/15MDjoryOggmkMTdh13IGx,https://api.spotify.com/v1/audio-analysis/15MDjoryOggmkMTdh13IGx,91207.0,3.0
whore,mehro,490152,gen z singer-songwriter,0.766,0.265,7.0,-12.35,1.0,0.0315,0.904,0.0492,0.0899,0.369,136.063,audio_features,5kkSbXjKeAxmDllVqAjDq6,spotify:track:5kkSbXjKeAxmDllVqAjDq6,https://api.spotify.com/v1/tracks/5kkSbXjKeAxmDllVqAjDq6,https://api.spotify.com/v1/audio-analysis/5kkSbXjKeAxmDllVqAjDq6,163385.0,4.0
Burn You,Alexis Donn,810120,gen z singer-songwriter,0.825,0.275,11.0,-8.097,0.0,0.0547,0.561,0.0,0.203,0.348,129.982,audio_features,2RRXmi4dNVx8GSmf78eZZK,spotify:track:2RRXmi4dNVx8GSmf78eZZK,https://api.spotify.com/v1/tracks/2RRXmi4dNVx8GSmf78eZZK,https://api.spotify.com/v1/audio-analysis/2RRXmi4dNVx8GSmf78eZZK,176297.0,4.0
Bye.,Mia Smith,796452,gen z singer-songwriter,0.417,0.0529,7.0,-18.221,0.0,0.0411,0.992,0.0,0.129,0.197,71.82,audio_features,1jwCtXGGek7YNYttuDpEMJ,spotify:track:1jwCtXGGek7YNYttuDpEMJ,https://api.spotify.com/v1/tracks/1jwCtXGGek7YNYttuDpEMJ,https://api.spotify.com/v1/audio-analysis/1jwCtXGGek7YNYttuDpEMJ,199114.0,3.0
Changes,Hayd,4247927,gen z singer-songwriter,0.624,0.115,6.0,-17.139,1.0,0.0446,0.941,3.47e-05,0.11,0.287,120.198,audio_features,7KhzNtBj6hmB08fyJCIRb3,spotify:track:7KhzNtBj6hmB08fyJCIRb3,https://api.spotify.com/v1/tracks/7KhzNtBj6hmB08fyJCIRb3,https://api.spotify.com/v1/audio-analysis/7KhzNtBj6hmB08fyJCIRb3,214815.0,4.0
Closure,Hayd,1777822,gen z singer-songwriter,0.692,0.107,2.0,-16.182,1.0,0.0463,0.967,0.0,0.302,0.377,123.999,audio_features,3pt2acuxLXvIGproniPoq9,spotify:track:3pt2acuxLXvIGproniPoq9,https://api.spotify.com/v1/tracks/3pt2acuxLXvIGproniPoq9,https://api.spotify.com/v1/audio-analysis/3pt2acuxLXvIGproniPoq9,196277.0,4.0
Did You Ever Hurt for Me?,Jess Benko,2745376,gen z singer-songwriter,0.614,0.0595,0.0,-16.254,1.0,0.107,0.957,5.58e-06,0.105,0.146,75.339,audio_features,2OR29bTCjzyPuPuHiB0fJC,spotify:track:2OR29bTCjzyPuPuHiB0fJC,https://api.spotify.com/v1/tracks/2OR29bTCjzyPuPuHiB0fJC,https://api.spotify.com/v1/audio-analysis/2OR29bTCjzyPuPuHiB0fJC,341820.0,4.0
Forever & Always,Zeph,2497040,gen z singer-songwriter,0.497,0.103,8.0,-23.581,0.0,0.0443,0.989,0.945,0.111,0.347,154.881,audio_features,3aI4n3KHtrQ2MDeGmXhgWt,spotify:track:3aI4n3KHtrQ2MDeGmXhgWt,https://api.spotify.com/v1/tracks/3aI4n3KHtrQ2MDeGmXhgWt,https://api.spotify.com/v1/audio-analysis/3aI4n3KHtrQ2MDeGmXhgWt,249706.0,4.0
Forever With You,Keenan Te,3715431,gen z singer-songwriter,0.515,0.249,11.0,-8.59,1.0,0.0461,0.699,0.0,0.0947,0.297,140.243,audio_features,4fTHlSAySrSeveDQpxBSfp,spotify:track:4fTHlSAySrSeveDQpxBSfp,https://api.spotify.com/v1/tracks/4fTHlSAySrSeveDQpxBSfp,https://api.spotify.com/v1/audio-analysis/4fTHlSAySrSeveDQpxBSfp,204800.0,3.0
Gone,Sky McCreery,322560,gen z singer-songwriter,0.601,0.0989,9.0,-17.165,1.0,0.0568,0.91,1.35e-06,0.369,0.274,124.363,audio_features,4usJd0yjr5igV4cIOHm1Rx,spotify:track:4usJd0yjr5igV4cIOHm1Rx,https://api.spotify.com/v1/tracks/4usJd0yjr5igV4cIOHm1Rx,https://api.spotify.com/v1/audio-analysis/4usJd0yjr5igV4cIOHm1Rx,161280.0,4.0
Gonna Be Okay,Brent Morgan,396602,gen z singer-songwriter,0.609,0.506,11.0,-8.902,1.0,0.0292,0.0204,0.0,0.102,0.364,77.427,audio_features,2Ocao0XJlBrKgIQm9ckhsH,spotify:track:2Ocao0XJlBrKgIQm9ckhsH,https://api.spotify.com/v1/tracks/2Ocao0XJlBrKgIQm9ckhsH,https://api.spotify.com/v1/audio-analysis/2Ocao0XJlBrKgIQm9ckhsH,210165.0,4.0
Head In The Clouds,Hayd,7247830,gen z singer-songwriter,0.778,0.134,4.0,-17.927,1.0,0.0506,0.967,0.00352,0.0936,0.287,116.078,audio_features,3CeKc83EsgRPItgvlDHo5B,spotify:track:3CeKc83EsgRPItgvlDHo5B,https://api.spotify.com/v1/tracks/3CeKc83EsgRPItgvlDHo5B,https://api.spotify.com/v1/audio-analysis/3CeKc83EsgRPItgvlDHo5B,184559.0,4.0
Insane,Sky McCreery,831945,gen z singer-songwriter,0.806,0.405,6.0,-11.277,0.0,0.0727,0.508,0.0915,0.104,0.329,119.961,audio_features,3mLFCocZgUvih60frphM6l,spotify:track:3mLFCocZgUvih60frphM6l,https://api.spotify.com/v1/tracks/3mLFCocZgUvih60frphM6l,https://api.spotify.com/v1/audio-analysis/3mLFCocZgUvih60frphM6l,166390.0,4.0
Kayla,Stephen Sanchez,101877,gen z singer-songwriter,0.41,0.256,8.0,-8.653,1.0,0.0284,0.845,6.31e-06,0.116,0.308,137.741,audio_features,0p5xEJ10MMJEGTuwJbngbn,spotify:track:0p5xEJ10MMJEGTuwJbngbn,https://api.spotify.com/v1/tracks/0p5xEJ10MMJEGTuwJbngbn,https://api.spotify.com/v1/audio-analysis/0p5xEJ10MMJEGTuwJbngbn,175200.0,4.0
Keeping Everything Inside,Sophie Pecora,123200,gen z singer-songwriter,0.561,0.522,6.0,-7.699,0.0,0.108,0.613,0.0,0.103,0.43,94.321,audio_features,04wmRKlU8lSjmYql1mt052,spotify:track:04wmRKlU8lSjmYql1mt052,https://api.spotify.com/v1/tracks/04wmRKlU8lSjmYql1mt052,https://api.spotify.com/v1/audio-analysis/04wmRKlU8lSjmYql1mt052,178105.0,4.0
Lady by the Sea,Stephen Sanchez,1662,gen z singer-songwriter,0.439,0.503,8.0,-10.029,1.0,0.0281,0.284,5.6e-05,0.152,0.519,186.01,audio_features,4wPKUEm0EOoyUiFtI6mz1a,spotify:track:4wPKUEm0EOoyUiFtI6mz1a,https://api.spotify.com/v1/tracks/4wPKUEm0EOoyUiFtI6mz1a,https://api.spotify.com/v1/audio-analysis/4wPKUEm0EOoyUiFtI6mz1a,182984.0,3.0
Like My Father,Jax,8794378,gen z singer-songwriter,0.492,0.224,5.0,-8.098,1.0,0.0493,0.91,0.0,0.142,0.424,93.039,audio_features,5YVmHTAsdWnoanWXB7AwZX,spotify:track:5YVmHTAsdWnoanWXB7AwZX,https://api.spotify.com/v1/tracks/5YVmHTAsdWnoanWXB7AwZX,https://api.spotify.com/v1/audio-analysis/5YVmHTAsdWnoanWXB7AwZX,183429.0,4.0
Never Let You Go,Keenan Te,202434,gen z singer-songwriter,0.726,0.499,1.0,-9.056,1.0,0.0379,0.0921,0.0,0.0717,0.465,114.9,audio_features,5MdZOhx2f37BPtxaEn0F85,spotify:track:5MdZOhx2f37BPtxaEn0F85,https://api.spotify.com/v1/tracks/5MdZOhx2f37BPtxaEn0F85,https://api.spotify.com/v1/audio-analysis/5MdZOhx2f37BPtxaEn0F85,202435.0,4.0
Raining in June,Olive Klug,5000697,gen z singer-songwriter,0.369,0.195,2.0,-13.836,1.0,0.0369,0.935,4.62e-05,0.347,0.143,92.085,audio_features,72Q3BQhu0w6A81ouAUp7UL,spotify:track:72Q3BQhu0w6A81ouAUp7UL,https://api.spotify.com/v1/tracks/72Q3BQhu0w6A81ouAUp7UL,https://api.spotify.com/v1/audio-analysis/72Q3BQhu0w6A81ouAUp7UL,166139.0,4.0
The King,Sarah Kinsley,1291425,gen z singer-songwriter,0.632,0.668,6.0,-6.196,1.0,0.0514,0.078,0.111,0.0863,0.716,108.997,audio_features,3qs1ozCx271UQqmzC7oNuj,spotify:track:3qs1ozCx271UQqmzC7oNuj,https://api.spotify.com/v1/tracks/3qs1ozCx271UQqmzC7oNuj,https://api.spotify.com/v1/audio-analysis/3qs1ozCx271UQqmzC7oNuj,206373.0,4.0
Turning Page,Sydney Rose,4652172,gen z singer-songwriter,0.404,0.0182,2.0,-20.969,1.0,0.0414,0.964,0.00037,0.108,0.114,109.107,audio_features,2QFyOnJfJ49OnNgMvKXvTM,spotify:track:2QFyOnJfJ49OnNgMvKXvTM,https://api.spotify.com/v1/tracks/2QFyOnJfJ49OnNgMvKXvTM,https://api.spotify.com/v1/audio-analysis/2QFyOnJfJ49OnNgMvKXvTM,218452.0,4.0
Until I Found You,Stephen Sanchez,64160505,gen z singer-songwriter,0.551,0.55,10.0,-5.339,1.0,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440.0,3.0
Until I Found You - Piano Version,Stephen Sanchez,713287,gen z singer-songwriter,0.603,0.148,7.0,-10.449,1.0,0.0279,0.927,0.0,0.101,0.228,95.451,audio_features,06vNG6CiV4k8oNA0wUUAO7,spotify:track:06vNG6CiV4k8oNA0wUUAO7,https://api.spotify.com/v1/tracks/06vNG6CiV4k8oNA0wUUAO7,https://api.spotify.com/v1/audio-analysis/06vNG6CiV4k8oNA0wUUAO7,184895.0,3.0
When She Loved Me,Lyn Lapid,2175210,gen z singer-songwriter,0.604,0.0458,4.0,-19.031,1.0,0.0762,0.973,0.0,0.0963,0.617,76.235,audio_features,3198LMj0bpnXj8Mb1GLo3u,spotify:track:3198LMj0bpnXj8Mb1GLo3u,https://api.spotify.com/v1/tracks/3198LMj0bpnXj8Mb1GLo3u,https://api.spotify.com/v1/audio-analysis/3198LMj0bpnXj8Mb1GLo3u,187709.0,3.0
Why Can't I Have You,Gloria Laing,1996831,gen z singer-songwriter,0.827,0.195,7.0,-17.651,1.0,0.0638,0.662,0.141,0.0987,0.229,137.966,audio_features,2FpzO4dqbCUPtZUQDjcLL3,spotify:track:2FpzO4dqbCUPtZUQDjcLL3,https://api.spotify.com/v1/tracks/2FpzO4dqbCUPtZUQDjcLL3,https://api.spotify.com/v1/audio-analysis/2FpzO4dqbCUPtZUQDjcLL3,285209.0,4.0
