trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Black Out Days - Sped Up,Phantogram,181584,indietronica,0.585,0.85,6.0,-4.113,0.0,0.035,0.0133,0.208,0.0729,0.517,115.27,audio_features,2pXZpxidEYMMNUlPOBADGa,spotify:track:2pXZpxidEYMMNUlPOBADGa,https://api.spotify.com/v1/tracks/2pXZpxidEYMMNUlPOBADGa,https://api.spotify.com/v1/audio-analysis/2pXZpxidEYMMNUlPOBADGa,181585.0,4.0
Burn,Ellie Goulding,231099,indietronica,0.555,0.772,1.0,-5.007,1.0,0.0523,0.315,0.0,0.105,0.346,86.921,audio_features,5lF0pHbsJ0QqyIrLweHJPW,spotify:track:5lF0pHbsJ0QqyIrLweHJPW,https://api.spotify.com/v1/tracks/5lF0pHbsJ0QqyIrLweHJPW,https://api.spotify.com/v1/audio-analysis/5lF0pHbsJ0QqyIrLweHJPW,231213.0,4.0
Death Stranding,CHVRCHES,409512,indietronica,0.487,0.704,1.0,-5.825,1.0,0.0514,0.00126,0.0652,0.0686,0.0542,121.951,audio_features,7kOlqMHboyS604AmNVM4Zy,spotify:track:7kOlqMHboyS604AmNVM4Zy,https://api.spotify.com/v1/tracks/7kOlqMHboyS604AmNVM4Zy,https://api.spotify.com/v1/audio-analysis/7kOlqMHboyS604AmNVM4Zy,316214.0,4.0
Fireflies,Owl City,535054,indietronica,0.512,0.662,3.0,-6.797,1.0,0.0439,0.0275,0.0,0.118,0.472,180.114,audio_features,3DamFFqW32WihKkTVlwTYQ,spotify:track:3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/audio-analysis/3DamFFqW32WihKkTVlwTYQ,228347.0,4.0
Hate Me (with Juice WRLD),Ellie Goulding,1492958,indietronica,0.657,0.768,8.0,-4.628,1.0,0.0507,0.108,0.0,0.144,0.759,75.025,audio_features,6kls8cSlUyHW2BUOkDJIZE,spotify:track:6kls8cSlUyHW2BUOkDJIZE,https://api.spotify.com/v1/tracks/6kls8cSlUyHW2BUOkDJIZE,https://api.spotify.com/v1/audio-analysis/6kls8cSlUyHW2BUOkDJIZE,186223.0,4.0
Lights - Sped Up Version,Ellie Goulding,190053,indietronica,0.653,0.836,10.0,-5.626,0.0,0.0457,0.0452,0.299,0.1,0.804,133.182,audio_features,4TZ2Ub8bZh4LTs06eANDXa,spotify:track:4TZ2Ub8bZh4LTs06eANDXa,https://api.spotify.com/v1/tracks/4TZ2Ub8bZh4LTs06eANDXa,https://api.spotify.com/v1/audio-analysis/4TZ2Ub8bZh4LTs06eANDXa,190054.0,4.0
Mind Over Matter,Young the Giant,3118886,indietronica,0.466,0.763,0.0,-4.448,1.0,0.0318,0.000501,0.0,0.0973,0.293,154.914,audio_features,5Az8KU81g2aLBbJN67F2CI,spotify:track:5Az8KU81g2aLBbJN67F2CI,https://api.spotify.com/v1/tracks/5Az8KU81g2aLBbJN67F2CI,https://api.spotify.com/v1/audio-analysis/5Az8KU81g2aLBbJN67F2CI,244693.0,4.0
Miracle,CHVRCHES,188075,indietronica,0.573,0.741,5.0,-4.426,1.0,0.0316,0.0147,0.0,0.178,0.434,124.002,audio_features,2Kc1WhZsBbR2ZLbSyv83hO,spotify:track:2Kc1WhZsBbR2ZLbSyv83hO,https://api.spotify.com/v1/tracks/2Kc1WhZsBbR2ZLbSyv83hO,https://api.spotify.com/v1/audio-analysis/2Kc1WhZsBbR2ZLbSyv83hO,188252.0,4.0
Never Say Die,CHVRCHES,3006018,indietronica,0.534,0.621,1.0,-5.878,0.0,0.0325,0.00856,7.23e-05,0.116,0.0591,111.034,audio_features,3R2jaCtqawdBv6mZ2Ym7Ty,spotify:track:3R2jaCtqawdBv6mZ2Ym7Ty,https://api.spotify.com/v1/tracks/3R2jaCtqawdBv6mZ2Ym7Ty,https://api.spotify.com/v1/audio-analysis/3R2jaCtqawdBv6mZ2Ym7Ty,263645.0,4.0
Oh shit…are we in love?,Valley,1903370,indietronica,0.697,0.515,6.0,-6.335,1.0,0.0502,0.0576,1.81e-06,0.294,0.37,95.086,audio_features,4BIuY0oEopXizyP3WvkNrT,spotify:track:4BIuY0oEopXizyP3WvkNrT,https://api.spotify.com/v1/tracks/4BIuY0oEopXizyP3WvkNrT,https://api.spotify.com/v1/audio-analysis/4BIuY0oEopXizyP3WvkNrT,155385.0,4.0
Pumped Up Kicks,Foster The People,984331,indietronica,0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975,audio_features,7w87IxuO7BDcJ3YUqCyMTT,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT,239600.0,4.0
Silhouette,Goldroom,268040,indietronica,0.715,0.641,0.0,-7.008,1.0,0.0391,0.0827,0.125,0.122,0.222,115.014,audio_features,4Vdbb7QK3czCJVdfxOBbCZ,spotify:track:4Vdbb7QK3czCJVdfxOBbCZ,https://api.spotify.com/v1/tracks/4Vdbb7QK3czCJVdfxOBbCZ,https://api.spotify.com/v1/audio-analysis/4Vdbb7QK3czCJVdfxOBbCZ,268040.0,4.0
Slow Grenade,Ellie Goulding,571391,indietronica,0.758,0.562,9.0,-6.302,1.0,0.0771,0.0996,0.0,0.0996,0.581,142.035,audio_features,5z8uLrYMcUVvzTV28twt44,spotify:track:5z8uLrYMcUVvzTV28twt44,https://api.spotify.com/v1/tracks/5z8uLrYMcUVvzTV28twt44,https://api.spotify.com/v1/audio-analysis/5z8uLrYMcUVvzTV28twt44,217493.0,4.0
Swim - Reprise,Valley,1434827,indietronica,0.493,0.782,2.0,-6.968,1.0,0.0353,0.0187,1.88e-05,0.321,0.314,104.941,audio_features,4eVE7ruYH5dNGYKT2jd5So,spotify:track:4eVE7ruYH5dNGYKT2jd5So,https://api.spotify.com/v1/tracks/4eVE7ruYH5dNGYKT2jd5So,https://api.spotify.com/v1/audio-analysis/4eVE7ruYH5dNGYKT2jd5So,233933.0,4.0
