trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Anyone,Justin Bieber,619034,canadian pop,0.686,0.538,2.0,-8.026,1.0,0.0345,0.181,3.13e-06,0.113,0.584,115.884,audio_features,513uSXDTLPcXZkLoJr0TOO,spotify:track:513uSXDTLPcXZkLoJr0TOO,https://api.spotify.com/v1/tracks/513uSXDTLPcXZkLoJr0TOO,https://api.spotify.com/v1/audio-analysis/513uSXDTLPcXZkLoJr0TOO,190779.0,4.0
As Long As You Love Me,Justin Bieber,6885,canadian pop,0.571,0.873,0.0,-3.382,0.0,0.1,0.0811,0.0,0.361,0.613,139.691,audio_features,0pwYLVXVknPSGUQb39cePC,spotify:track:0pwYLVXVknPSGUQb39cePC,https://api.spotify.com/v1/tracks/0pwYLVXVknPSGUQb39cePC,https://api.spotify.com/v1/audio-analysis/0pwYLVXVknPSGUQb39cePC,229467.0,4.0
Boyfriend,Justin Bieber,2926304,canadian pop,0.717,0.55,10.0,-6.019,0.0,0.0521,0.0358,0.00196,0.126,0.332,96.976,audio_features,3UGIZ8qcrMTwzLbx6Kttqt,spotify:track:3UGIZ8qcrMTwzLbx6Kttqt,https://api.spotify.com/v1/tracks/3UGIZ8qcrMTwzLbx6Kttqt,https://api.spotify.com/v1/audio-analysis/3UGIZ8qcrMTwzLbx6Kttqt,171333.0,4.0
Favorite Girl,Justin Bieber,71683,canadian pop,0.581,0.681,7.0,-4.469,1.0,0.0435,0.0472,0.0,0.104,0.634,176.034,audio_features,4nTjkWK590oBDcnIxTr1mI,spotify:track:4nTjkWK590oBDcnIxTr1mI,https://api.spotify.com/v1/tracks/4nTjkWK590oBDcnIxTr1mI,https://api.spotify.com/v1/audio-analysis/4nTjkWK590oBDcnIxTr1mI,256800.0,4.0
Ghost,Justin Bieber,306380,canadian pop,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,audio_features,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,153190.0,4.0
"Heartbeat (From the “Lyle, Lyle, Crocodile” Original Motion Picture Soundtrack) - “ From the “Lyle, Lyle, Crocodile” Original Motion Picture Soundtrack ”",Shawn Mendes,0,canadian pop,0.668,0.589,0.0,-6.978,1.0,0.1,0.289,0.0,0.279,0.813,91.053,audio_features,1gACe11pZiy8Xv3SY0ocyz,spotify:track:1gACe11pZiy8Xv3SY0ocyz,https://api.spotify.com/v1/tracks/1gACe11pZiy8Xv3SY0ocyz,https://api.spotify.com/v1/audio-analysis/1gACe11pZiy8Xv3SY0ocyz,140444.0,4.0
Hold On,Justin Bieber,370551,canadian pop,0.658,0.634,1.0,-5.797,0.0,0.0413,0.0106,0.0,0.132,0.29,139.98,audio_features,5x4qstpOnDaBNt1ILJJSHI,spotify:track:5x4qstpOnDaBNt1ILJJSHI,https://api.spotify.com/v1/tracks/5x4qstpOnDaBNt1ILJJSHI,https://api.spotify.com/v1/audio-analysis/5x4qstpOnDaBNt1ILJJSHI,170813.0,4.0
Imagination,Shawn Mendes,217773,canadian pop,0.64,0.455,0.0,-5.942,1.0,0.0247,0.0743,0.0,0.0694,0.333,89.948,audio_features,21TcDbGosp7w9YhTjOszgA,spotify:track:21TcDbGosp7w9YhTjOszgA,https://api.spotify.com/v1/tracks/21TcDbGosp7w9YhTjOszgA,https://api.spotify.com/v1/audio-analysis/21TcDbGosp7w9YhTjOszgA,217773.0,4.0
Maria,Justin Bieber,62709,canadian pop,0.825,0.687,6.0,-6.794,0.0,0.0414,0.00997,1.32e-05,0.19,0.294,111.002,audio_features,7E1dQbOk1qcx9gEPUMBKsk,spotify:track:7E1dQbOk1qcx9gEPUMBKsk,https://api.spotify.com/v1/tracks/7E1dQbOk1qcx9gEPUMBKsk,https://api.spotify.com/v1/audio-analysis/7E1dQbOk1qcx9gEPUMBKsk,248293.0,4.0
Mercy,Shawn Mendes,0,canadian pop,0.555,0.662,11.0,-4.952,0.0,0.0827,0.125,0.0,0.111,0.356,148.128,audio_features,0AS63m1wHv9n4VVRizK6Hc,spotify:track:0AS63m1wHv9n4VVRizK6Hc,https://api.spotify.com/v1/tracks/0AS63m1wHv9n4VVRizK6Hc,https://api.spotify.com/v1/audio-analysis/0AS63m1wHv9n4VVRizK6Hc,208733.0,4.0
Mistletoe,Justin Bieber,1372144,canadian pop,0.657,0.56,6.0,-9.049,0.0,0.0467,0.498,0.0,0.0794,0.854,161.993,audio_features,7xapw9Oy21WpfEcib2ErSA,spotify:track:7xapw9Oy21WpfEcib2ErSA,https://api.spotify.com/v1/tracks/7xapw9Oy21WpfEcib2ErSA,https://api.spotify.com/v1/audio-analysis/7xapw9Oy21WpfEcib2ErSA,182947.0,4.0
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,1406270,canadian pop,0.652,0.383,2.0,-7.076,0.0,0.0516,0.0676,0.0,0.0828,0.549,145.765,audio_features,2Z8yfpFX0ZMavHkcIeHiO1,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,https://api.spotify.com/v1/tracks/2Z8yfpFX0ZMavHkcIeHiO1,https://api.spotify.com/v1/audio-analysis/2Z8yfpFX0ZMavHkcIeHiO1,178994.0,4.0
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,69583,canadian pop,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082.0,4.0
Perfectly Wrong,Shawn Mendes,2669257,canadian pop,0.361,0.311,2.0,-11.748,0.0,0.0369,0.872,0.0,0.0987,0.323,89.362,audio_features,6nat4Z7iRKWVk1qngQqI0Q,spotify:track:6nat4Z7iRKWVk1qngQqI0Q,https://api.spotify.com/v1/tracks/6nat4Z7iRKWVk1qngQqI0Q,https://api.spotify.com/v1/audio-analysis/6nat4Z7iRKWVk1qngQqI0Q,212773.0,4.0
Purpose,Justin Bieber,1009,canadian pop,0.481,0.285,0.0,-10.848,1.0,0.0424,0.9,0.0,0.123,0.316,130.021,audio_features,2EUUMCGMtQgQ9GVDIic3tU,spotify:track:2EUUMCGMtQgQ9GVDIic3tU,https://api.spotify.com/v1/tracks/2EUUMCGMtQgQ9GVDIic3tU,https://api.spotify.com/v1/audio-analysis/2EUUMCGMtQgQ9GVDIic3tU,210173.0,4.0
Señorita,Shawn Mendes,254609,canadian pop,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,audio_features,6v3KW9xbzN5yKLt9YKDYA2,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,190800.0,4.0
