trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
This City,Sam Fischer,3142149,australian pop,0.605,0.377,11.0,-6.213,1.0,0.0443,0.733,0.0,0.0808,0.519,73.877,audio_features,3H3r2nKWa3Yk5gt8xgmsEt,spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,https://api.spotify.com/v1/tracks/3H3r2nKWa3Yk5gt8xgmsEt,https://api.spotify.com/v1/audio-analysis/3H3r2nKWa3Yk5gt8xgmsEt,194853.0,4.0
7 Minutes,Dean Lewis,3049703,australian pop,0.613,0.739,10.0,-6.478,1.0,0.0311,0.526,0.0,0.149,0.712,104.966,audio_features,6FYbr9QzRoZPh0Re8lDO9z,spotify:track:6FYbr9QzRoZPh0Re8lDO9z,https://api.spotify.com/v1/tracks/6FYbr9QzRoZPh0Re8lDO9z,https://api.spotify.com/v1/audio-analysis/6FYbr9QzRoZPh0Re8lDO9z,211453.0,4.0
Angel Baby,Troye Sivan,1801289,australian pop,0.559,0.559,11.0,-6.425,1.0,0.0358,0.0145,0.0,0.138,0.338,72.498,audio_features,2m6Ko3CY1qXNNja8AlugNc,spotify:track:2m6Ko3CY1qXNNja8AlugNc,https://api.spotify.com/v1/tracks/2m6Ko3CY1qXNNja8AlugNc,https://api.spotify.com/v1/audio-analysis/2m6Ko3CY1qXNNja8AlugNc,220780.0,4.0
Artistry,Jacob Lee,2073810,australian pop,0.437,0.681,3.0,-5.178,0.0,0.0354,0.159,0.0,0.136,0.26,146.015,audio_features,0JanZrjJc3yn63AGgBDLAb,spotify:track:0JanZrjJc3yn63AGgBDLAb,https://api.spotify.com/v1/tracks/0JanZrjJc3yn63AGgBDLAb,https://api.spotify.com/v1/audio-analysis/0JanZrjJc3yn63AGgBDLAb,244530.0,4.0
Be Alright,Dean Lewis,392746,australian pop,0.553,0.586,11.0,-6.319,1.0,0.0362,0.697,0.0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373.0,4.0
Count On You,Banoffee,2894097,australian pop,0.573,0.462,3.0,-8.238,1.0,0.199,0.232,1.14e-06,0.126,0.45,172.076,audio_features,4jxglnKqDelplul1pTxeH8,spotify:track:4jxglnKqDelplul1pTxeH8,https://api.spotify.com/v1/tracks/4jxglnKqDelplul1pTxeH8,https://api.spotify.com/v1/audio-analysis/4jxglnKqDelplul1pTxeH8,195002.0,4.0
Eyes Don’t Lie,Tones And I,55040,australian pop,0.649,0.73,9.0,-4.742,0.0,0.0318,0.0452,0.0,0.497,0.399,94.979,audio_features,2RSqIGxbnTQQjZIS5Iyakn,spotify:track:2RSqIGxbnTQQjZIS5Iyakn,https://api.spotify.com/v1/tracks/2RSqIGxbnTQQjZIS5Iyakn,https://api.spotify.com/v1/audio-analysis/2RSqIGxbnTQQjZIS5Iyakn,236184.0,4.0
FOOLS,Troye Sivan,72520,australian pop,0.292,0.678,10.0,-5.595,1.0,0.0724,0.192,0.0,0.146,0.365,87.436,audio_features,0tjfognbowyFM3RHTdxjPK,spotify:track:0tjfognbowyFM3RHTdxjPK,https://api.spotify.com/v1/tracks/0tjfognbowyFM3RHTdxjPK,https://api.spotify.com/v1/audio-analysis/0tjfognbowyFM3RHTdxjPK,220403.0,4.0
Fly Away,Tones And I,452197,australian pop,0.806,0.513,4.0,-6.208,1.0,0.0685,0.217,0.0,0.217,0.503,124.988,audio_features,2zBDKzqa6sdxeI0fC6OWIC,spotify:track:2zBDKzqa6sdxeI0fC6OWIC,https://api.spotify.com/v1/tracks/2zBDKzqa6sdxeI0fC6OWIC,https://api.spotify.com/v1/audio-analysis/2zBDKzqa6sdxeI0fC6OWIC,178157.0,4.0
For Now,Sam Fischer,211812,australian pop,0.731,0.233,1.0,-11.109,1.0,0.0376,0.89,0.0,0.3,0.408,108.008,audio_features,5wV2TAUTKHcKgaEB6XnWDI,spotify:track:5wV2TAUTKHcKgaEB6XnWDI,https://api.spotify.com/v1/tracks/5wV2TAUTKHcKgaEB6XnWDI,https://api.spotify.com/v1/audio-analysis/5wV2TAUTKHcKgaEB6XnWDI,211813.0,4.0
Half A Man,Dean Lewis,3752791,australian pop,0.507,0.204,0.0,-11.575,1.0,0.0504,0.855,0.0,0.143,0.343,77.765,audio_features,1ugQtcwmKOXvKAYzhjncmv,spotify:track:1ugQtcwmKOXvKAYzhjncmv,https://api.spotify.com/v1/tracks/1ugQtcwmKOXvKAYzhjncmv,https://api.spotify.com/v1/audio-analysis/1ugQtcwmKOXvKAYzhjncmv,179120.0,4.0
Heartburn,Wafia,64923,australian pop,0.511,0.346,1.0,-11.308,1.0,0.137,0.592,5e-06,0.134,0.515,131.225,audio_features,3tjfbu0G0PPy8UjhxfxVIe,spotify:track:3tjfbu0G0PPy8UjhxfxVIe,https://api.spotify.com/v1/tracks/3tjfbu0G0PPy8UjhxfxVIe,https://api.spotify.com/v1/audio-analysis/3tjfbu0G0PPy8UjhxfxVIe,206459.0,5.0
Hopeless Romantic,Sam Fischer,2184184,australian pop,0.654,0.636,8.0,-6.913,1.0,0.0391,0.117,0.00179,0.0919,0.392,113.994,audio_features,22VPpAWB7qzV8L9rgza11j,spotify:track:22VPpAWB7qzV8L9rgza11j,https://api.spotify.com/v1/tracks/22VPpAWB7qzV8L9rgza11j,https://api.spotify.com/v1/audio-analysis/22VPpAWB7qzV8L9rgza11j,181178.0,4.0
La Da Dee,Cody Simpson,2571670,australian pop,0.657,0.828,5.0,-5.544,1.0,0.0728,0.00847,0.0,0.326,0.566,115.954,audio_features,0ccwMrlZONy5yXrirq7lTe,spotify:track:0ccwMrlZONy5yXrirq7lTe,https://api.spotify.com/v1/tracks/0ccwMrlZONy5yXrirq7lTe,https://api.spotify.com/v1/audio-analysis/0ccwMrlZONy5yXrirq7lTe,196787.0,4.0
Looks Like Me,Dean Lewis,352313,australian pop,0.769,0.724,11.0,-5.12,1.0,0.0864,0.548,0.0,0.161,0.464,110.659,audio_features,2ovD8bBdl2E7jEdsTzIJXq,spotify:track:2ovD8bBdl2E7jEdsTzIJXq,https://api.spotify.com/v1/tracks/2ovD8bBdl2E7jEdsTzIJXq,https://api.spotify.com/v1/audio-analysis/2ovD8bBdl2E7jEdsTzIJXq,190528.0,5.0
Movie Star (feat. FR33SOL & Lavva),The Veronicas,84847,australian pop,0.523,0.653,10.0,-5.638,1.0,0.0884,0.163,0.0,0.234,0.325,134.809,audio_features,3eiE8mPoqgsBTQDQg95BRi,spotify:track:3eiE8mPoqgsBTQDQg95BRi,https://api.spotify.com/v1/tracks/3eiE8mPoqgsBTQDQg95BRi,https://api.spotify.com/v1/audio-analysis/3eiE8mPoqgsBTQDQg95BRi,196634.0,4.0
Please Don't Go,Joel Adams,373645,australian pop,0.513,0.768,4.0,-4.868,0.0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,audio_features,3cNjgVBKTJ1SvKhunrCdVy,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/tracks/3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/audio-analysis/3cNjgVBKTJ1SvKhunrCdVy,210580.0,4.0
Pretty Brown Eyes,Cody Simpson,2476892,australian pop,0.653,0.737,1.0,-5.446,1.0,0.0388,0.0181,0.0,0.136,0.763,99.033,audio_features,54PUd1iY2N2a5DPb7qnrzj,spotify:track:54PUd1iY2N2a5DPb7qnrzj,https://api.spotify.com/v1/tracks/54PUd1iY2N2a5DPb7qnrzj,https://api.spotify.com/v1/audio-analysis/54PUd1iY2N2a5DPb7qnrzj,168200.0,4.0
Silhouette,Jacob Lee,3926583,australian pop,0.246,0.486,11.0,-9.752,0.0,0.0664,0.493,0.0,0.136,0.328,79.946,audio_features,45EJrENg8Aa72uLX22JxY7,spotify:track:45EJrENg8Aa72uLX22JxY7,https://api.spotify.com/v1/tracks/45EJrENg8Aa72uLX22JxY7,https://api.spotify.com/v1/audio-analysis/45EJrENg8Aa72uLX22JxY7,301804.0,4.0
Strawberries & Cigarettes,Troye Sivan,433330,australian pop,0.578,0.537,9.0,-8.676,1.0,0.0832,0.162,0.0,0.076,0.25,83.909,audio_features,3afkJSKX0EAMsJXTZnDXXJ,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,https://api.spotify.com/v1/tracks/3afkJSKX0EAMsJXTZnDXXJ,https://api.spotify.com/v1/audio-analysis/3afkJSKX0EAMsJXTZnDXXJ,201539.0,4.0
This City,Sam Fischer,3142149,australian pop,0.605,0.377,11.0,-6.213,1.0,0.0443,0.733,0.0,0.0808,0.519,73.877,audio_features,3H3r2nKWa3Yk5gt8xgmsEt,spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,https://api.spotify.com/v1/tracks/3H3r2nKWa3Yk5gt8xgmsEt,https://api.spotify.com/v1/audio-analysis/3H3r2nKWa3Yk5gt8xgmsEt,194853.0,4.0
