trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
After Midnight,Slushii,178438,brostep,0.418,0.965,10.0,-2.417,0.0,0.163,0.0477,3.88e-06,0.561,0.28,139.759,audio_features,5NSr0xa9Qf4J8xKzDnC0uq,spotify:track:5NSr0xa9Qf4J8xKzDnC0uq,https://api.spotify.com/v1/tracks/5NSr0xa9Qf4J8xKzDnC0uq,https://api.spotify.com/v1/audio-analysis/5NSr0xa9Qf4J8xKzDnC0uq,178519.0,4.0
All I Ask of You (feat. Pennybirdrabbit),Skrillex,680412,brostep,0.774,0.909,9.0,-2.89,0.0,0.0365,0.0173,0.121,0.0739,0.696,126.977,audio_features,1A3XPibNuMPTbTWlPgRfTD,spotify:track:1A3XPibNuMPTbTWlPgRfTD,https://api.spotify.com/v1/tracks/1A3XPibNuMPTbTWlPgRfTD,https://api.spotify.com/v1/audio-analysis/1A3XPibNuMPTbTWlPgRfTD,340341.0,4.0
All In (feat. Jimmy Levy),NITTI,666014,brostep,0.288,0.754,6.0,-3.376,0.0,0.0476,0.0938,0.0,0.238,0.311,174.095,audio_features,5gLNj5gftjqnYhPScCpsr2,spotify:track:5gLNj5gftjqnYhPScCpsr2,https://api.spotify.com/v1/tracks/5gLNj5gftjqnYhPScCpsr2,https://api.spotify.com/v1/audio-analysis/5gLNj5gftjqnYhPScCpsr2,234518.0,4.0
All Is Fair in Love and Brostep,Skrillex,45034,brostep,0.581,0.925,11.0,-3.213,1.0,0.151,0.00112,0.0,0.406,0.269,139.982,audio_features,3XThyUoEI8BPDjdu954Uof,spotify:track:3XThyUoEI8BPDjdu954Uof,https://api.spotify.com/v1/tracks/3XThyUoEI8BPDjdu954Uof,https://api.spotify.com/v1/audio-analysis/3XThyUoEI8BPDjdu954Uof,249120.0,4.0
American Psycho (with Mae Muller feat. Trippie Redd),Marshmello,3615,brostep,0.617,0.514,9.0,-7.099,1.0,0.0722,0.0154,0.0,0.118,0.365,81.067,audio_features,32il27dOrLpIru8Evp4Pu7,spotify:track:32il27dOrLpIru8Evp4Pu7,https://api.spotify.com/v1/tracks/32il27dOrLpIru8Evp4Pu7,https://api.spotify.com/v1/audio-analysis/32il27dOrLpIru8Evp4Pu7,153196.0,4.0
Bangarang (feat. Sirah),Skrillex,433884,brostep,0.716,0.972,7.0,-2.302,1.0,0.196,0.0145,3.22e-05,0.317,0.576,110.026,audio_features,6VRhkROS2SZHGlp0pxndbJ,spotify:track:6VRhkROS2SZHGlp0pxndbJ,https://api.spotify.com/v1/tracks/6VRhkROS2SZHGlp0pxndbJ,https://api.spotify.com/v1/audio-analysis/6VRhkROS2SZHGlp0pxndbJ,215253.0,4.0
Better Off Alone,Kai Wachi,0,brostep,0.536,0.782,2.0,-3.164,0.0,0.0539,0.0498,0.00914,0.0773,0.183,150.131,audio_features,6wPBOv9UlysxoASQgRPPkU,spotify:track:6wPBOv9UlysxoASQgRPPkU,https://api.spotify.com/v1/tracks/6wPBOv9UlysxoASQgRPPkU,https://api.spotify.com/v1/audio-analysis/6wPBOv9UlysxoASQgRPPkU,291635.0,4.0
Breakn' a Sweat,Skrillex,2032,brostep,0.596,0.921,11.0,-2.5,0.0,0.074,0.0049,0.00019,0.536,0.232,139.969,audio_features,1ShWHEgisDGPl9G3g85ANu,spotify:track:1ShWHEgisDGPl9G3g85ANu,https://api.spotify.com/v1/tracks/1ShWHEgisDGPl9G3g85ANu,https://api.spotify.com/v1/audio-analysis/1ShWHEgisDGPl9G3g85ANu,301987.0,4.0
Chicken Soup,Skrillex,2765,brostep,0.823,0.815,11.0,-3.947,1.0,0.134,0.00129,0.0494,0.599,0.474,125.989,audio_features,7hU38LHqMSPFrvoqADFJp4,spotify:track:7hU38LHqMSPFrvoqADFJp4,https://api.spotify.com/v1/tracks/7hU38LHqMSPFrvoqADFJp4,https://api.spotify.com/v1/audio-analysis/7hU38LHqMSPFrvoqADFJp4,207293.0,4.0
Cold Hearted,Seven Lions,479337,brostep,0.436,0.938,2.0,-3.534,1.0,0.0917,0.000521,0.00907,0.344,0.131,149.993,audio_features,1M4WM9HnZSTtjbdBMlOeJk,spotify:track:1M4WM9HnZSTtjbdBMlOeJk,https://api.spotify.com/v1/tracks/1M4WM9HnZSTtjbdBMlOeJk,https://api.spotify.com/v1/audio-analysis/1M4WM9HnZSTtjbdBMlOeJk,272951.0,4.0
Cold Skin - INTERCOM Remix,Seven Lions,122684,brostep,0.42,0.641,7.0,-5.11,0.0,0.0474,0.0194,0.00012,0.166,0.141,75.229,audio_features,0nFVzh0z6TfWSBH2z8jqgW,spotify:track:0nFVzh0z6TfWSBH2z8jqgW,https://api.spotify.com/v1/tracks/0nFVzh0z6TfWSBH2z8jqgW,https://api.spotify.com/v1/audio-analysis/0nFVzh0z6TfWSBH2z8jqgW,288024.0,4.0
Don’t Go (with Justin Bieber & Don Toliver),Skrillex,10642,brostep,0.689,0.695,11.0,-5.22,1.0,0.0429,0.019,0.0,0.123,0.359,75.05,audio_features,55sgQENF3LY1sUcJUwasLl,spotify:track:55sgQENF3LY1sUcJUwasLl,https://api.spotify.com/v1/tracks/55sgQENF3LY1sUcJUwasLl,https://api.spotify.com/v1/audio-analysis/55sgQENF3LY1sUcJUwasLl,168253.0,4.0
Don’t Lie (feat. KARRA),Tisoki,2899838,brostep,0.86,0.805,9.0,-2.524,0.0,0.108,0.0286,0.00812,0.487,0.797,150.061,audio_features,2aopGDfpPD9s6IhhyocnAv,spotify:track:2aopGDfpPD9s6IhhyocnAv,https://api.spotify.com/v1/tracks/2aopGDfpPD9s6IhhyocnAv,https://api.spotify.com/v1/audio-analysis/2aopGDfpPD9s6IhhyocnAv,196000.0,4.0
Ease My Mind,Skrillex,3556,brostep,0.404,0.753,8.0,-2.986,0.0,0.0656,0.0649,0.0,0.281,0.207,150.147,audio_features,3AGawd3ZkLbYQlxe4nZIEK,spotify:track:3AGawd3ZkLbYQlxe4nZIEK,https://api.spotify.com/v1/tracks/3AGawd3ZkLbYQlxe4nZIEK,https://api.spotify.com/v1/audio-analysis/3AGawd3ZkLbYQlxe4nZIEK,302520.0,4.0
