trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Dreaming,Smallpools,454053,hopebeat,0.612,0.89,10.0,-2.827,0.0,0.047,0.000478,0.0,0.0672,0.886,118.989,audio_features,6cMswWRv4lAU3mh5lclgCc,spotify:track:6cMswWRv4lAU3mh5lclgCc,https://api.spotify.com/v1/tracks/6cMswWRv4lAU3mh5lclgCc,https://api.spotify.com/v1/audio-analysis/6cMswWRv4lAU3mh5lclgCc,216253.0,4.0
Find Yourself,Great Good Fine Ok,3359330,hopebeat,0.718,0.621,5.0,-4.799,0.0,0.0388,0.693,2.07e-05,0.13,0.456,112.104,audio_features,75bpVVgp0HCT9Ad6uIFGvH,spotify:track:75bpVVgp0HCT9Ad6uIFGvH,https://api.spotify.com/v1/tracks/75bpVVgp0HCT9Ad6uIFGvH,https://api.spotify.com/v1/audio-analysis/75bpVVgp0HCT9Ad6uIFGvH,176439.0,4.0
Fond,nodisco.,1071411,hopebeat,0.606,0.672,4.0,-6.616,1.0,0.0269,0.0361,0.00243,0.0919,0.667,100.008,audio_features,60hFArLNQ0hba2I5cv0qYn,spotify:track:60hFArLNQ0hba2I5cv0qYn,https://api.spotify.com/v1/tracks/60hFArLNQ0hba2I5cv0qYn,https://api.spotify.com/v1/audio-analysis/60hFArLNQ0hba2I5cv0qYn,189733.0,4.0
Julia,Colony House,2628725,hopebeat,0.558,0.558,4.0,-10.455,1.0,0.0367,0.706,6.83e-05,0.27,0.524,139.914,audio_features,01OOLvNYxeSttThtUj8Mor,spotify:track:01OOLvNYxeSttThtUj8Mor,https://api.spotify.com/v1/tracks/01OOLvNYxeSttThtUj8Mor,https://api.spotify.com/v1/audio-analysis/01OOLvNYxeSttThtUj8Mor,205413.0,3.0
"June, After Dark",Elliot Root,496,hopebeat,0.59,0.697,9.0,-6.973,1.0,0.0356,0.115,0.00308,0.121,0.323,106.06,audio_features,1nSWQ5Y7OcuGiWGdA1UYlr,spotify:track:1nSWQ5Y7OcuGiWGdA1UYlr,https://api.spotify.com/v1/tracks/1nSWQ5Y7OcuGiWGdA1UYlr,https://api.spotify.com/v1/audio-analysis/1nSWQ5Y7OcuGiWGdA1UYlr,219134.0,4.0
Lose My Number,Nightly,5655835,hopebeat,0.783,0.705,4.0,-4.513,0.0,0.0336,0.306,9.31e-05,0.23,0.671,94.986,audio_features,6YG2PNDqV4qfKcKRhyMPKU,spotify:track:6YG2PNDqV4qfKcKRhyMPKU,https://api.spotify.com/v1/tracks/6YG2PNDqV4qfKcKRhyMPKU,https://api.spotify.com/v1/audio-analysis/6YG2PNDqV4qfKcKRhyMPKU,143423.0,4.0
Moonlight in my Bedroom,nodisco.,9408746,hopebeat,0.718,0.584,1.0,-7.342,1.0,0.0492,0.128,0.00351,0.0686,0.806,106.994,audio_features,4UeDsgBvGIAqfb8VuOqjl3,spotify:track:4UeDsgBvGIAqfb8VuOqjl3,https://api.spotify.com/v1/tracks/4UeDsgBvGIAqfb8VuOqjl3,https://api.spotify.com/v1/audio-analysis/4UeDsgBvGIAqfb8VuOqjl3,211733.0,4.0
Moving Forward,Colony House,217804,hopebeat,0.411,0.591,1.0,-6.135,1.0,0.0262,0.0597,3.22e-06,0.084,0.268,94.906,audio_features,11W2ChJ4XCnFpVIQtzUDUL,spotify:track:11W2ChJ4XCnFpVIQtzUDUL,https://api.spotify.com/v1/tracks/11W2ChJ4XCnFpVIQtzUDUL,https://api.spotify.com/v1/audio-analysis/11W2ChJ4XCnFpVIQtzUDUL,217987.0,3.0
New Religion,The Heydaze,1545,hopebeat,0.537,0.863,7.0,-4.46,1.0,0.0446,0.00201,0.0,0.201,0.484,97.02,audio_features,4DZghpw50ZnO3ckfDuNkft,spotify:track:4DZghpw50ZnO3ckfDuNkft,https://api.spotify.com/v1/tracks/4DZghpw50ZnO3ckfDuNkft,https://api.spotify.com/v1/audio-analysis/4DZghpw50ZnO3ckfDuNkft,203587.0,4.0
Opposites Attract,Great Good Fine Ok,157693,hopebeat,0.65,0.708,11.0,-5.05,1.0,0.145,0.154,1.38e-05,0.19,0.47,159.557,audio_features,3u1VVczCH5NzYxJV3gZaYn,spotify:track:3u1VVczCH5NzYxJV3gZaYn,https://api.spotify.com/v1/tracks/3u1VVczCH5NzYxJV3gZaYn,https://api.spotify.com/v1/audio-analysis/3u1VVczCH5NzYxJV3gZaYn,157693.0,4.0
Permanent Residence,nodisco.,925216,hopebeat,0.733,0.651,10.0,-5.028,1.0,0.056,0.26,0.0,0.331,0.628,148.036,audio_features,1PhYEgcsYnzGgn7SSkFrk3,spotify:track:1PhYEgcsYnzGgn7SSkFrk3,https://api.spotify.com/v1/tracks/1PhYEgcsYnzGgn7SSkFrk3,https://api.spotify.com/v1/audio-analysis/1PhYEgcsYnzGgn7SSkFrk3,231356.0,4.0
Second Summer,nodisco.,562758,hopebeat,0.619,0.914,6.0,-4.684,1.0,0.155,0.156,3.13e-06,0.163,0.811,94.828,audio_features,7uIbzEfNNeJVEolHCCXJbJ,spotify:track:7uIbzEfNNeJVEolHCCXJbJ,https://api.spotify.com/v1/tracks/7uIbzEfNNeJVEolHCCXJbJ,https://api.spotify.com/v1/audio-analysis/7uIbzEfNNeJVEolHCCXJbJ,210500.0,4.0
Thoughts From Your Car,nodisco.,1231570,hopebeat,0.693,0.683,11.0,-6.368,1.0,0.0347,0.00375,0.00039,0.347,0.572,140.042,audio_features,2GbqlGQQTDyjazbXTc4cmp,spotify:track:2GbqlGQQTDyjazbXTc4cmp,https://api.spotify.com/v1/tracks/2GbqlGQQTDyjazbXTc4cmp,https://api.spotify.com/v1/audio-analysis/2GbqlGQQTDyjazbXTc4cmp,239267.0,4.0
Unrelated,nodisco.,796422,hopebeat,0.764,0.561,8.0,-8.242,1.0,0.0384,0.205,2.74e-05,0.694,0.712,130.024,audio_features,6t0AlThJmJEWcS23ovAkqS,spotify:track:6t0AlThJmJEWcS23ovAkqS,https://api.spotify.com/v1/tracks/6t0AlThJmJEWcS23ovAkqS,https://api.spotify.com/v1/audio-analysis/6t0AlThJmJEWcS23ovAkqS,199125.0,4.0
Who Knew I'd Write Songs About You?,nodisco.,727412,hopebeat,0.414,0.393,4.0,-6.911,1.0,0.0295,0.28,0.151,0.49,0.405,68.885,audio_features,7970tNYnUbiviAwCRJZZvq,spotify:track:7970tNYnUbiviAwCRJZZvq,https://api.spotify.com/v1/tracks/7970tNYnUbiviAwCRJZZvq,https://api.spotify.com/v1/audio-analysis/7970tNYnUbiviAwCRJZZvq,121304.0,4.0
