trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Dead Eyes,Promoting Sounds,6290005,aesthetic rap,0.719,0.651,7.0,-5.872,1.0,0.0274,0.127,0.0,0.0762,0.289,104.956,audio_features,7BdlyzVvOqmwPH9dYtZfsx,spotify:track:7BdlyzVvOqmwPH9dYtZfsx,https://api.spotify.com/v1/tracks/7BdlyzVvOqmwPH9dYtZfsx,https://api.spotify.com/v1/audio-analysis/7BdlyzVvOqmwPH9dYtZfsx,219429.0,4.0
Demons,Promoting Sounds,614451,aesthetic rap,0.532,0.543,4.0,-10.596,1.0,0.0568,0.0176,0.0,0.217,0.116,150.038,audio_features,2ydhzORAj3FWMTOhzyqxMQ,spotify:track:2ydhzORAj3FWMTOhzyqxMQ,https://api.spotify.com/v1/tracks/2ydhzORAj3FWMTOhzyqxMQ,https://api.spotify.com/v1/audio-analysis/2ydhzORAj3FWMTOhzyqxMQ,204868.0,4.0
Forever,ilyTOMMY,65913,aesthetic rap,0.613,0.339,5.0,-14.908,0.0,0.135,0.678,0.0,0.166,0.292,106.582,audio_features,7uHRKSQ9WIlBBuBY7BHcbq,spotify:track:7uHRKSQ9WIlBBuBY7BHcbq,https://api.spotify.com/v1/tracks/7uHRKSQ9WIlBBuBY7BHcbq,https://api.spotify.com/v1/audio-analysis/7uHRKSQ9WIlBBuBY7BHcbq,108696.0,5.0
GOSHA,$NOT,360000,aesthetic rap,0.847,0.448,0.0,-10.14,1.0,0.416,0.81,1.35e-05,0.325,0.488,79.975,audio_features,0j8ppsOOawdPCJnSTcXgOy,spotify:track:0j8ppsOOawdPCJnSTcXgOy,https://api.spotify.com/v1/tracks/0j8ppsOOawdPCJnSTcXgOy,https://api.spotify.com/v1/audio-analysis/0j8ppsOOawdPCJnSTcXgOy,120000.0,4.0
Killin' On Demand,Freddie Dredd,129196,aesthetic rap,0.886,0.741,10.0,-5.043,1.0,0.0682,0.00254,0.000134,0.151,0.95,140.024,audio_features,2qOfyyZc41LfQ63U9p3GVV,spotify:track:2qOfyyZc41LfQ63U9p3GVV,https://api.spotify.com/v1/tracks/2qOfyyZc41LfQ63U9p3GVV,https://api.spotify.com/v1/audio-analysis/2qOfyyZc41LfQ63U9p3GVV,129196.0,4.0
Killshot,ssjishmael,127067,aesthetic rap,0.755,0.715,1.0,-6.401,1.0,0.122,0.106,0.000142,0.164,0.452,144.855,audio_features,3Mur7gYENrN0nvKMKIw1ZS,spotify:track:3Mur7gYENrN0nvKMKIw1ZS,https://api.spotify.com/v1/tracks/3Mur7gYENrN0nvKMKIw1ZS,https://api.spotify.com/v1/audio-analysis/3Mur7gYENrN0nvKMKIw1ZS,127081.0,4.0
Memory,Promoting Sounds,4276141,aesthetic rap,0.748,0.694,1.0,-7.616,1.0,0.0861,0.0616,0.000167,0.331,0.197,115.044,audio_features,3UkPmK7Sk0wuLXzVnQihva,spotify:track:3UkPmK7Sk0wuLXzVnQihva,https://api.spotify.com/v1/tracks/3UkPmK7Sk0wuLXzVnQihva,https://api.spotify.com/v1/audio-analysis/3UkPmK7Sk0wuLXzVnQihva,134609.0,4.0
Sabrina,lilbubblegum,288183,aesthetic rap,0.656,0.585,11.0,-7.708,0.0,0.182,0.19,0.000152,0.211,0.56,154.055,audio_features,6MWAjPXdw19mWpZxFZ1XPW,spotify:track:6MWAjPXdw19mWpZxFZ1XPW,https://api.spotify.com/v1/tracks/6MWAjPXdw19mWpZxFZ1XPW,https://api.spotify.com/v1/audio-analysis/6MWAjPXdw19mWpZxFZ1XPW,133929.0,4.0
Step Back!,1nonly,270757,aesthetic rap,0.783,0.89,1.0,-5.995,1.0,0.2,0.185,0.00417,0.0969,0.437,127.996,audio_features,6jdwbcH788txYS6Doy1F1j,spotify:track:6jdwbcH788txYS6Doy1F1j,https://api.spotify.com/v1/tracks/6jdwbcH788txYS6Doy1F1j,https://api.spotify.com/v1/audio-analysis/6jdwbcH788txYS6Doy1F1j,150675.0,4.0
To The Souls That Leave Us Too Soon,Promoting Sounds,4528732,aesthetic rap,0.763,0.35,4.0,-11.464,0.0,0.0478,0.774,4e-06,0.258,0.429,140.101,audio_features,0mp9nN5CtD1xfDeMoebDPM,spotify:track:0mp9nN5CtD1xfDeMoebDPM,https://api.spotify.com/v1/tracks/0mp9nN5CtD1xfDeMoebDPM,https://api.spotify.com/v1/audio-analysis/0mp9nN5CtD1xfDeMoebDPM,156429.0,4.0
